backend,model,physical_units,concurrency,repetition,requests,throughput_rps,mean_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,error_rate,timestamp_unix
wasmtime,naive_bayes,20,16,1,5000,7088.904243556,2.243586350,2.597353500,2.741909700,3.102114000,3.164006560,6.175295000,0.000000000,1787686787.068562
wasmtime,naive_bayes,20,16,2,5000,6877.305884949,2.312399277,2.526386500,2.583583100,3.088856900,3.169593500,6.656429000,0.000000000,1787686788.136552
wasmtime,naive_bayes,20,16,3,5000,6746.674183808,2.357273925,2.512247500,2.597633700,3.098082050,3.214438040,6.795886000,0.000000000,1787686789.228451
wasmtime,naive_bayes,20,16,4,5000,6990.040095143,2.274956855,2.496535000,2.544938000,3.077807200,3.155888380,6.610037000,0.000000000,1787686790.291997
wasmtime,naive_bayes,20,16,5,5000,9305.456666963,1.708465123,1.611274000,1.714131700,2.535684600,2.593573310,5.275585000,0.000000000,1787686791.083492
wasmtime,naive_bayes,20,16,6,5000,9302.660315911,1.709108794,1.613391000,1.823043800,2.499934250,2.556343560,5.280314000,0.000000000,1787686791.869760
wasmtime,naive_bayes,20,16,7,5000,9337.614222817,1.702617118,1.605913500,1.781952600,2.509734550,2.572081790,5.377441000,0.000000000,1787686792.663378
wasmtime,naive_bayes,20,16,8,5000,9352.252673590,1.699964436,1.603970000,1.763402600,2.491617650,2.539205760,5.278958000,0.000000000,1787686793.444872
wasmtime,naive_bayes,20,16,9,5000,9328.473957343,1.704429128,1.607486000,1.809491700,2.506694450,2.544339710,5.411975000,0.000000000,1787686794.227527
wasmtime,naive_bayes,20,16,10,5000,9278.566569238,1.713520397,1.616839000,1.753853200,2.510210450,2.579523080,5.196323000,0.000000000,1787686795.013500
wasmtime,naive_bayes,20,16,11,5000,9296.248581074,1.710286099,1.609475000,2.298013500,2.510769800,2.568670770,5.376837000,0.000000000,1787686795.799592
wasmtime,naive_bayes,20,16,12,5000,6343.382251891,2.507467437,2.529255500,2.571714800,3.097339950,3.179166970,6.018448000,0.000000000,1787686796.935801
wasmtime,naive_bayes,20,16,13,5000,9210.146269113,1.726266102,1.623131000,2.089847000,2.517401750,2.571422190,5.368510000,0.000000000,1787686797.733668
wasmtime,naive_bayes,20,16,14,5000,9344.199830078,1.701527564,1.604591000,1.756858200,2.513162300,2.560308180,5.562525000,0.000000000,1787686798.516880
wasmtime,naive_bayes,20,16,15,5000,9271.430737503,1.714824967,1.619757000,1.752209200,2.520691100,2.578433700,5.378244000,0.000000000,1787686799.313511
wasmtime,naive_bayes,20,16,16,5000,9301.902539825,1.709136915,1.614424000,1.739238400,2.508677150,2.563130400,5.514273000,0.000000000,1787686800.108157
wasmtime,naive_bayes,20,16,17,5000,9359.255340369,1.698735148,1.604171000,1.767499300,2.496409200,2.527691530,5.270352000,0.000000000,1787686800.898425
wasmtime,naive_bayes,20,16,18,5000,9263.214924746,1.716362841,1.620985000,1.696039600,2.533733700,2.581537420,5.294758000,0.000000000,1787686801.695980
wasmtime,naive_bayes,20,16,19,5000,9305.887014732,1.708624166,1.612652000,1.805249800,2.514904500,2.552026420,5.231413000,0.000000000,1787686802.481488
wasmtime,naive_bayes,20,16,20,5000,6169.625590396,2.577956347,2.525637500,2.565419900,3.078986700,3.139897360,6.827587000,0.000000000,1787686803.653856
wasmtime,naive_bayes,20,16,21,5000,6279.512601288,2.533041705,2.503416000,2.548966100,3.062510900,3.121694530,6.426272000,0.000000000,1787686804.801216
wasmtime,naive_bayes,20,16,22,5000,9367.768343486,1.697133762,1.601680000,1.737859100,2.506759050,2.554668740,5.408069000,0.000000000,1787686805.593491
wasmtime,naive_bayes,20,16,23,5000,9236.806451451,1.721229085,1.626722500,1.824120200,2.524560500,2.565463780,5.299609000,0.000000000,1787686806.383444
wasmtime,naive_bayes,20,16,24,5000,9297.707586694,1.710145202,1.613664000,1.732804600,2.540187100,2.605515860,5.162939000,0.000000000,1787686807.170544
wasmtime,naive_bayes,20,16,25,5000,9273.183533711,1.714509005,1.611497500,2.065651200,2.504786300,2.554138600,5.237029000,0.000000000,1787686807.957080
wasmtime,naive_bayes,20,16,26,5000,9318.012100477,1.706402961,1.610171500,1.795525400,2.512127350,2.555644720,5.369595000,0.000000000,1787686808.741482
wasmtime,naive_bayes,20,16,27,5000,9231.768766044,1.722256427,1.626663500,1.814362200,2.522155650,2.561753530,5.353349000,0.000000000,1787686809.529722
wasmtime,naive_bayes,20,16,28,5000,9328.240199635,1.704460232,1.610200500,1.775083500,2.492790100,2.538491540,5.253711000,0.000000000,1787686810.319444
wasmtime,naive_bayes,20,16,29,5000,6261.385663555,2.539806775,2.489645500,2.529374500,3.043278150,3.112335960,6.659570000,0.000000000,1787686811.478860
wasmtime,naive_bayes,20,16,30,5000,6135.127835731,2.592783097,2.542255000,2.596275700,3.111964650,3.346700470,6.460327000,0.000000000,1787686812.641605
wasmtime,naive_bayes,20,16,31,5000,9271.325681263,1.714882884,1.620825000,1.735282600,2.514806000,2.561235320,5.487674000,0.000000000,1787686813.438305
wasmtime,naive_bayes,20,16,32,5000,9303.395443396,1.708953768,1.612807500,1.752026400,2.516297200,2.555734410,5.302927000,0.000000000,1787686814.223203
wasmtime,naive_bayes,20,16,33,5000,9373.650742728,1.696128410,1.601534500,1.771822400,2.493160250,2.527769290,5.273954000,0.000000000,1787686815.014048
wasmtime,naive_bayes,20,16,34,5000,9309.674348935,1.707796920,1.613009500,1.728689200,2.519930100,2.555244290,5.249193000,0.000000000,1787686815.804854
wasmtime,naive_bayes,20,16,35,5000,9252.532620575,1.718382319,1.623592500,1.735435800,2.517244000,2.558856950,5.268827000,0.000000000,1787686816.605398
wasmtime,naive_bayes,20,16,36,5000,9288.797338420,1.711649439,1.616583000,1.776124400,2.510891900,2.548936430,5.323747000,0.000000000,1787686817.401487
wasmtime,naive_bayes,20,16,37,5000,6150.679289659,2.585727751,2.536236000,2.580374500,3.068787050,3.141655090,6.331717000,0.000000000,1787686818.570240
wasmtime,naive_bayes,20,16,38,5000,6576.682542059,2.418306128,2.506378500,2.549277000,3.061910550,3.133335840,6.401482000,0.000000000,1787686819.676722
wasmtime,naive_bayes,20,16,39,5000,9247.617044914,1.719344450,1.625708500,1.757483400,2.524002800,2.561742540,5.615449000,0.000000000,1787686820.476958
wasmtime,naive_bayes,20,16,40,5000,9278.560643997,1.713567637,1.618702500,1.778384000,2.522455250,2.574980900,5.450965000,0.000000000,1787686821.270959
wasmtime,naive_bayes,20,16,41,5000,9332.959309805,1.703523937,1.610612500,1.748349900,2.502436600,2.539845870,5.284586000,0.000000000,1787686822.068819
wasmtime,naive_bayes,20,16,42,5000,6352.142040068,2.504095484,2.515160500,2.557526300,3.053030950,3.118224550,6.459552000,0.000000000,1787686823.204628
wasmtime,naive_bayes,20,16,43,5000,9379.472521423,1.695074707,1.599768500,1.757682700,2.506333250,2.548313490,5.404277000,0.000000000,1787686823.994484
