model,backend,concurrency,tenants,memory_budget_mib,predicted_memory_mib,predicted_p95_ms,throughput_rps,memory_feasible,scheduler_feasible,throughput_per_tenant_rps,density_point_empirically_measured
logistic_regression,wasmtime,32,20,100.0,17.9992871094,3.2851091991666665,9910.266304900933,True,True,495.51331524504667,True
logistic_regression,docker,32,20,100.0,49.3989160157,5.419468475961539,6257.347937457615,True,True,312.86739687288076,True
logistic_regression,wasmtime,32,100,100.0,18.85927734375,3.2851091991666665,9910.266304900933,True,True,99.10266304900934,True
logistic_regression,docker,32,100,100.0,235.97124023455,5.419468475961539,6257.347937457615,False,False,,True
logistic_regression,wasmtime,32,200,100.0,20.0078906249,3.2851091991666665,9910.266304900933,True,True,49.55133152450467,True
logistic_regression,docker,32,200,100.0,468.40520507815,5.419468475961539,6257.347937457615,False,False,,True
naive_bayes,wasmtime,32,20,100.0,17.76476562485,5.0312788375,9296.60593016755,True,True,464.8302965083775,True
naive_bayes,docker,32,20,100.0,49.50364257825,5.8948845211538465,5792.178999984846,True,True,289.6089499992423,True
naive_bayes,wasmtime,32,100,100.0,18.63437499995,5.0312788375,9296.60593016755,True,True,92.9660593016755,True
naive_bayes,docker,32,100,100.0,236.24727539065,5.8948845211538465,5792.178999984846,False,False,,True
naive_bayes,wasmtime,32,200,100.0,19.73958007815,5.0312788375,9296.60593016755,True,True,46.48302965083775,True
naive_bayes,docker,32,200,100.0,469.47108398415,5.8948845211538465,5792.178999984846,False,False,,True
decision_tree,wasmtime,32,20,100.0,33.58730468755,5.0206311525,9397.70863261265,True,True,469.8854316306325,True
decision_tree,docker,32,20,100.0,49.47999023445,5.8748099975,5770.68091544305,True,True,288.5340457721525,True
decision_tree,wasmtime,32,100,100.0,34.1003808592,5.0206311525,9397.70863261265,True,True,93.9770863261265,True
decision_tree,docker,32,100,100.0,236.45789062494998,5.8748099975,5770.68091544305,False,False,,True
decision_tree,wasmtime,32,200,100.0,35.61951171865,5.0206311525,9397.70863261265,True,True,46.98854316306325,True
decision_tree,docker,32,200,100.0,469.5296191407,5.8748099975,5770.68091544305,False,False,,True
kmeans,wasmtime,32,20,100.0,17.5116015625,4.6283718025,9981.00224313485,True,True,499.0501121567425,True
kmeans,docker,32,20,100.0,49.43943359375,5.592856335714286,6169.372433421905,True,True,308.46862167109526,True
kmeans,wasmtime,32,100,100.0,18.3807617188,4.6283718025,9981.00224313485,True,True,99.8100224313485,True
kmeans,docker,32,100,100.0,235.68550781255,5.592856335714286,6169.372433421905,False,False,,True
kmeans,wasmtime,32,200,100.0,19.46453125005,4.6283718025,9981.00224313485,True,True,49.90501121567425,True
kmeans,docker,32,200,100.0,467.91478515615,5.592856335714286,6169.372433421905,False,False,,True
random_forest,wasmtime,32,20,100.0,34.047900390900004,4.961437607407407,9406.85613451763,True,True,470.3428067258815,True
random_forest,docker,32,20,100.0,49.4206445312,5.8983387125,5717.99032943405,True,True,285.8995164717025,True
random_forest,wasmtime,32,100,100.0,34.4755761719,4.961437607407407,9406.85613451763,True,True,94.06856134517629,True
random_forest,docker,32,100,100.0,235.7152734374,5.8983387125,5717.99032943405,False,False,,True
random_forest,wasmtime,32,200,100.0,35.878203125,4.961437607407407,9406.85613451763,True,True,47.034280672588146,True
random_forest,docker,32,200,100.0,468.86633789065,5.8983387125,5717.99032943405,False,False,,True
svm,wasmtime,32,20,100.0,18.376123047,5.02280324,9397.9380348936,True,True,469.89690174467995,True
svm,docker,32,20,100.0,49.52264648435,5.9367624975,5684.0891816825,True,True,284.204459084125,True
svm,wasmtime,32,100,100.0,19.2697460938,5.02280324,9397.9380348936,True,True,93.97938034893599,True
svm,docker,32,100,100.0,236.4492285158,5.9367624975,5684.0891816825,False,False,,True
svm,wasmtime,32,200,100.0,20.35249023445,5.02280324,9397.9380348936,True,True,46.989690174467995,True
svm,docker,32,200,100.0,468.9291308594,5.9367624975,5684.0891816825,False,False,,True
mlp,wasmtime,32,20,100.0,18.64169921875,5.0187092875,9423.75968278865,True,True,471.1879841394325,True
mlp,docker,32,20,100.0,49.53568359385,5.18393816,6205.03632789145,True,True,310.25181639457253,True
mlp,wasmtime,32,100,100.0,19.87099609365,5.0187092875,9423.75968278865,True,True,94.2375968278865,True
mlp,docker,32,100,100.0,236.4156640624,5.18393816,6205.03632789145,False,False,,True
mlp,wasmtime,32,200,100.0,21.36231445315,5.0187092875,9423.75968278865,True,True,47.11879841394325,True
mlp,docker,32,200,100.0,469.2202441405,5.18393816,6205.03632789145,False,False,,True
