backend,pair,pair_label,stream,model,repetitions,ci_pass,solo_p95_ms,mixed_p95_ms,p95_ci_pct,solo_throughput_rps,mixed_throughput_rps,throughput_ci_pct,p95_degradation_pct,throughput_degradation_pct,mixed_p99_ms,error_rate
wasmtime,nb_nb,NB + NB,stream_a,naive_bayes,60,False,5.09624495,7.035633620833334,3.247087770188258,8638.87621991533,4704.4759418973745,0.8995965225278155,38.0552483222639,45.54296389787278,7.556187513333336,0.0
wasmtime,nb_nb,NB + NB,stream_b,naive_bayes,60,False,5.09624495,7.033777919166667,3.2552233316125148,8638.87621991533,4681.639442988786,0.8809063158870004,38.018835204667056,45.80730961052396,7.377978597000001,0.0
docker,nb_nb,NB + NB,stream_a,naive_bayes,20,True,5.968795085344827,12.20051154,0.4814643992553807,5699.578597778807,2717.8837145368143,0.5174584888830606,104.40493207675863,52.31430415581942,13.745640374000025,0.0
docker,nb_nb,NB + NB,stream_b,naive_bayes,20,True,5.968795085344827,12.202988285,0.48496357820320346,5699.578597778807,2707.004121815058,0.5046783441966282,104.44642696751269,52.505188315676364,13.81157237050002,0.0
wasmtime,lr_lr,LR + LR,stream_a,logistic_regression,60,False,4.699557257017544,6.910396378333333,4.479622905937712,9264.298042159553,4983.918226681681,1.660728255132538,47.04356177413281,46.20295888580993,7.778232831000005,0.0
wasmtime,lr_lr,LR + LR,stream_b,logistic_regression,60,False,4.699557257017544,6.910241373333333,4.497480884387469,9264.298042159553,4954.083853413955,1.6535175877361818,47.04026348470845,46.52499486880569,7.349020367333336,0.0
docker,lr_lr,LR + LR,stream_a,logistic_regression,20,True,5.5502426675,11.34741987,0.6034474113091469,6114.543026408402,2915.4828983214097,0.5361582880772363,104.44907637004684,52.318875086337826,12.456297298000024,0.0
docker,lr_lr,LR + LR,stream_b,logistic_regression,20,True,5.5502426675,11.34966904,0.6124405008031517,6114.543026408402,2901.381587764989,0.5636285659954244,104.48960018377431,52.54949429198439,12.345482677500016,0.0
wasmtime,lr_svm,LR + SVM,stream_a,logistic_regression,60,False,4.699557257017544,7.8430340225,5.449724144621335,9264.298042159553,4589.754059437387,2.389732462673841,66.8887853379913,50.45761655604623,8.365471198666668,0.0
wasmtime,lr_svm,LR + SVM,stream_b,svm,60,False,5.120822280833334,7.837855855833333,5.4804816391295565,8630.56231753076,4562.58213122228,2.364968269512295,53.05854071853954,47.13459026934349,8.259869023166667,0.0
docker,lr_svm,LR + SVM,stream_a,logistic_regression,20,True,5.5502426675,11.931975905,0.8414246074820119,6114.543026408402,2779.8391825545377,0.7096185511668275,114.98115703785126,54.53725371546896,13.366176150500023,0.0
docker,lr_svm,LR + SVM,stream_b,svm,20,True,5.8933824150000005,11.94703827,0.8403532355429334,5724.20893504771,2756.3946191618465,0.7450810704196704,102.71954929637803,51.84671540751731,13.274779047000028,0.0
wasmtime,kmeans_rf,K-Means + RF,stream_a,kmeans,60,False,4.678579236666667,6.8782849975,3.2515077228732077,9137.630529617929,4823.495331380957,1.1094042833117748,47.016533215766394,47.21284346366933,7.635653310833337,0.0
wasmtime,kmeans_rf,K-Means + RF,stream_b,random_forest,60,False,5.012833509259259,6.870032500833333,3.265327195188948,9306.419698281696,4792.136371895784,1.095607058915548,37.04888638618501,48.50719688925499,7.377292648500002,0.0
docker,kmeans_rf,K-Means + RF,stream_a,kmeans,20,True,5.6221799875,11.902975365,0.4039501041759199,6083.369656644528,2790.187256608657,0.4318234605897828,111.71459098542422,54.13418197329024,13.371270466500018,0.0
docker,kmeans_rf,K-Means + RF,stream_b,random_forest,20,True,5.9617496975,11.9095493,0.38621287527561665,5699.32529237453,2773.432402238494,0.42589623216163175,99.7660066975665,51.33753102408042,13.309449029500025,0.0
wasmtime,dt_mlp,DT + MLP,stream_a,decision_tree,42,True,5.0906876,6.889850297619048,2.44645294995587,8653.840433473335,4727.25232977239,0.7650047755000018,35.3422334856896,45.373936969218605,7.429606007857147,0.0
wasmtime,dt_mlp,DT + MLP,stream_b,mlp,42,True,5.029298155,6.894880655952381,2.4369471730749916,9136.394613983748,4705.251275553656,0.7677540284149518,37.094291160639706,48.49991189793823,7.296990800238096,0.0
docker,dt_mlp,DT + MLP,stream_a,decision_tree,20,True,5.8764148325,12.1524271125,0.4627287089817126,5727.7484056101675,2727.3292699582194,0.4091365798090808,106.80002108241224,52.383919878762875,13.60686317950003,0.0
docker,dt_mlp,DT + MLP,stream_b,mlp,20,True,5.907889625,12.149788375,0.452537250110264,5697.982583846676,2717.764390190704,0.5371102274560903,105.65361146197785,52.303041467775834,13.610267983500028,0.0
wasmtime,svm_mlp,SVM + MLP,stream_a,svm,60,False,5.120822280833334,8.3614575125,5.491121255938296,8630.56231753076,4431.193748234831,2.4014920027607753,63.28349343026415,48.65695205938082,8.919954631166668,0.0
wasmtime,svm_mlp,SVM + MLP,stream_b,mlp,60,False,5.029298155,8.35089932,5.522565095285117,9136.394613983748,4407.9752651032995,2.38424012283592,66.04502383096434,51.7536681443613,8.778493063,0.0
docker,svm_mlp,SVM + MLP,stream_a,svm,20,True,5.8933824150000005,12.19698713,0.3800870990391689,5724.20893504771,2717.407804963757,0.3950625373942281,106.96072766219768,52.527801905939555,13.65528704550002,0.0
docker,svm_mlp,SVM + MLP,stream_b,mlp,20,True,5.907889625,12.19446977,0.3877124264281815,5697.982583846676,2711.6607274787766,0.43802479810906136,106.40991189810862,52.41016118290502,13.51291084400003,0.0
