backend,pair,pair_label,mean_p95_degradation_pct,mean_throughput_degradation_pct,mean_mixed_p99_ms,mean_error_rate,repetitions,ci_pass
docker,dt_mlp,DT + MLP,106.22681627219504,52.343480673269354,13.608565581500029,0.0,20,True
docker,kmeans_rf,K-Means + RF,105.74029884149536,52.73585649868533,13.340359748000022,0.0,20,True
docker,lr_lr,LR + LR,104.46933827691058,52.43418468916111,12.40088998775002,0.0,20,True
docker,lr_svm,LR + SVM,108.85035316711465,53.19198456149313,13.320477598750024,0.0,20,True
docker,svm_mlp,SVM + MLP,106.68531978015315,52.46898154442229,13.584098944750025,0.0,20,True
wasmtime,dt_mlp,DT + MLP,36.21826232316465,46.93692443357842,7.3632984040476215,0.0,42,True
wasmtime,kmeans_rf,K-Means + RF,42.0327098009757,47.86002017646216,7.50647297966667,0.0,60,False
wasmtime,lr_lr,LR + LR,47.04191262942063,46.363976877307806,7.56362659916667,0.0,60,False
wasmtime,lr_svm,LR + SVM,59.97366302826542,48.79610341269486,8.312670110916667,0.0,60,False
wasmtime,svm_mlp,SVM + MLP,64.66425863061424,50.20531010187106,8.849223847083334,0.0,60,False
