backend,model,repetition,startup_ms,first_inference_ms,cold_to_first_result_ms,warm_inference_ms,timestamp_unix
docker,decision_tree,1,556.718507,42.829646,600.701553,0.88912105,1788104545.6460235
docker,decision_tree,2,528.164574,4.487821,532.991899,0.7855914,1788104547.7410429
docker,decision_tree,3,526.90496,4.454102,531.659586,0.8794233,1788104549.8356562
docker,decision_tree,4,516.547707,3.612914,520.491711,0.9581586,1788104551.8939078
docker,decision_tree,5,516.61492,3.447748,520.372414,0.77607575,1788104553.9434562
docker,decision_tree,6,502.147654,3.665763,506.159049,0.7416966,1788104556.0020144
docker,decision_tree,7,558.64917,4.808471,563.803714,0.8571049,1788104558.1098506
docker,decision_tree,8,525.897519,3.405235,529.619581,0.84181925,1788104560.1824217
docker,decision_tree,9,537.493637,3.131534,540.91488,0.80743695,1788104562.2611127
docker,decision_tree,10,552.720993,4.025461,557.074081,0.81250175,1788104564.3600292
docker,decision_tree,11,535.483114,4.927501,540.730068,0.7978876,1788104566.4362206
docker,decision_tree,12,539.474419,3.509273,543.300916,0.77052935,1788104568.5347195
docker,decision_tree,13,544.716358,3.306391,548.307693,0.80121575,1788104570.6242206
docker,decision_tree,14,561.820391,4.121117,566.308154,0.77542355,1788104572.733341
docker,decision_tree,15,548.242806,3.947906,552.508217,0.79326945,1788104574.870886
docker,decision_tree,16,548.213837,4.662932,553.236883,0.83819895,1788104576.9655857
docker,decision_tree,17,506.086377,4.04177,510.456743,0.7796117499999999,1788104579.024657
docker,decision_tree,18,525.955477,3.938481,530.231469,0.8477328,1788104581.0865595
docker,decision_tree,19,539.632926,3.938634,543.902215,0.81357635,1788104583.1741753
docker,decision_tree,20,540.026186,3.286441,543.669038,0.74240105,1788104585.2672484
