backend,model,repetition,startup_ms,first_inference_ms,cold_to_first_result_ms,warm_inference_ms,timestamp_unix
docker,kmeans,1,549.467186,39.483363,590.047837,1.11178985,1788104660.494309
docker,kmeans,2,583.699666,3.263659,587.241383,0.74816145,1788104662.6205642
docker,kmeans,3,527.54921,3.809769,531.668024,0.7838974,1788104664.6930006
docker,kmeans,4,559.429694,3.494155,563.225174,0.87899505,1788104666.808159
docker,kmeans,5,556.345193,4.775478,561.41552,0.75525005,1788104668.9139292
docker,kmeans,6,518.551822,4.012305,522.816666,0.76426885,1788104670.9876473
docker,kmeans,7,531.117924,3.427152,534.826749,0.8170975,1788104673.0628514
docker,kmeans,8,535.193562,4.200606,539.680473,0.8614492499999999,1788104675.1735513
docker,kmeans,9,574.355179,4.210369,578.868026,0.78249565,1788104677.28907
docker,kmeans,10,515.154319,3.535722,519.003606,0.83033655,1788104679.3532336
docker,kmeans,11,521.709589,3.4621,525.446753,0.8089052999999999,1788104681.4050448
docker,kmeans,12,567.386787,4.365819,572.05934,0.7843443,1788104683.517379
docker,kmeans,13,562.739032,3.617265,566.577081,0.70123585,1788104685.5536606
docker,kmeans,14,488.742582,3.840045,492.86212,0.780595,1788104687.582762
docker,kmeans,15,467.325436,3.808493,471.424507,0.6578081,1788104689.5494978
docker,kmeans,16,461.24241,2.520929,463.955931,0.62823615,1788104691.5472128
docker,kmeans,17,497.990555,3.448528,501.747033,0.78799765,1788104693.6141477
docker,kmeans,18,572.535738,3.717835,576.529554,0.737667,1788104695.724483
docker,kmeans,19,549.748406,4.553293,554.578605,0.78501345,1788104697.8328848
docker,kmeans,20,560.848743,4.096814,565.20341,0.75432085,1788104699.9384904
docker,kmeans,21,531.150119,4.094244,535.501797,0.7576378,1788104702.02854
docker,kmeans,22,547.790433,3.373161,551.466181,0.75635365,1788104704.1230462
docker,kmeans,23,564.089284,4.73461,569.105037,0.75390475,1788104706.2431064
docker,kmeans,24,531.370296,4.213984,535.881123,0.88265415,1788104708.3265228
docker,kmeans,25,548.554343,3.848174,552.686633,0.82228945,1788104710.4269023
docker,kmeans,26,538.566894,3.829656,542.631388,0.7922672,1788104712.5219026
