backend,model,repetition,startup_ms,first_inference_ms,cold_to_first_result_ms,warm_inference_ms,timestamp_unix
docker,logistic_regression,1,459.51426,31.266229,491.719796,0.72008725,1788104205.111183
docker,logistic_regression,2,532.859355,3.579111,536.716183,0.8022536,1788104207.2211607
docker,logistic_regression,3,520.772642,3.501549,524.582651,0.76611865,1788104209.2896168
docker,logistic_regression,4,528.501621,4.178403,532.959324,0.82952965,1788104211.3732889
docker,logistic_regression,5,567.537513,4.468614,572.343539,0.83720145,1788104213.4839764
docker,logistic_regression,6,553.366089,4.707606,558.386074,0.78403415,1788104215.5966861
docker,logistic_regression,7,543.234598,3.444919,546.968148,0.86908295,1788104217.6745267
docker,logistic_regression,8,537.167526,3.636772,541.128816,0.76211235,1788104219.7536838
docker,logistic_regression,9,529.298158,3.036242,532.577255,0.68216755,1788104221.8070595
docker,logistic_regression,10,556.171533,4.236481,560.69288,0.7675564,1788104223.9290667
docker,logistic_regression,11,560.432855,4.151617,564.890892,0.8401807,1788104226.0225258
docker,logistic_regression,12,516.554584,4.099691,520.981173,0.8213511,1788104228.0908148
docker,logistic_regression,13,533.642126,4.724835,538.905044,0.8607783,1788104230.1841588
docker,logistic_regression,14,529.423683,3.86358,533.588248,0.8393781,1788104232.2564535
docker,logistic_regression,15,538.729523,3.910923,542.911887,0.8719568,1788104234.335632
docker,logistic_regression,16,549.305102,4.92653,554.516226,0.87326835,1788104236.4332042
docker,logistic_regression,17,525.940638,2.973841,529.152469,0.8099211,1788104238.498488
docker,logistic_regression,18,514.977378,3.872452,519.151656,0.7871058,1788104240.5534453
docker,logistic_regression,19,531.865181,3.717836,535.853803,0.96885685,1788104242.6297493
docker,logistic_regression,20,520.475045,3.628213,524.387032,0.77552235,1788104244.6856685
