backend,model,repetition,startup_ms,first_inference_ms,cold_to_first_result_ms,warm_inference_ms,timestamp_unix
docker,mlp,1,566.477761,39.421765,610.365904,0.7129366,1788104940.9411464
docker,mlp,2,536.404963,3.894612,540.645587,0.84708715,1788104943.0197518
docker,mlp,3,549.584624,4.253876,554.184092,0.94369315,1788104945.159661
docker,mlp,4,570.585166,5.250519,576.150332,0.78078115,1788104947.2676673
docker,mlp,5,542.019608,3.319738,545.653387,0.9115298,1788104949.3632028
docker,mlp,6,538.073558,3.684349,542.08789,0.83655935,1788104951.4563284
docker,mlp,7,533.636865,3.635574,537.611827,0.777592,1788104953.542037
docker,mlp,8,569.668528,3.323328,573.317165,0.84030235,1788104955.659748
docker,mlp,9,533.666641,4.007876,538.004182,0.8250219,1788104957.7368793
docker,mlp,10,535.73105,4.536032,540.60779,0.80494435,1788104959.8212428
docker,mlp,11,542.754684,3.609158,546.692129,0.84392845,1788104961.9230893
docker,mlp,12,550.724438,4.552197,555.513698,0.8127635,1788104964.0099173
docker,mlp,13,532.452769,3.49117,536.266439,0.832695,1788104966.0999238
docker,mlp,14,549.152589,4.550149,554.052193,0.7868407,1788104968.195883
docker,mlp,15,514.87592,4.146365,519.376898,0.80433765,1788104970.2526872
docker,mlp,16,554.451779,4.277479,559.031431,0.82165775,1788104972.3588862
docker,mlp,17,543.462703,3.448656,547.233465,0.77859845,1788104974.455044
docker,mlp,18,541.653813,3.504787,545.45974,0.7757394,1788104976.5380921
docker,mlp,19,547.930121,4.652187,552.930029,0.8477065,1788104978.6287158
docker,mlp,20,535.59282,3.404535,539.306733,0.792738,1788104980.7114506
