backend,repetition,startup_ms,first_inference_ms,cold_to_first_result_ms,warm_inference_ms
docker,1,458.188491,38.071998,497.277421,0.68842525
docker,2,495.286508,2.658989,498.226654,0.80910685
docker,3,485.775145,2.90391,488.984596,0.7775396
docker,4,448.551459,2.73599,451.502737,0.67068155
docker,5,539.094933,4.863293,544.27046,0.7751962
docker,6,509.825977,4.093024,514.261698,0.78243225
docker,7,530.598329,3.832888,534.74489,1.09291105
docker,8,536.689652,4.021756,541.041352,0.82731755
docker,9,526.936688,3.795625,531.048107,0.7745465
docker,10,519.89801,3.639343,523.841115,0.79703285
docker,11,519.839963,3.837268,523.981034,0.75713355
docker,12,533.425838,4.063843,537.833995,0.78477575
docker,13,534.965286,4.251014,539.565367,0.7722342
docker,14,549.791762,4.302336,554.38081,0.7874436
docker,15,548.10072,3.446183,551.856771,0.78028455
docker,16,553.79925,4.559848,558.670771,0.8656226
docker,17,517.378295,3.532881,521.241975,0.7582125
docker,18,548.129079,3.842506,552.29949,0.8202605
docker,19,550.349466,4.548085,555.209037,0.81692335
docker,20,544.445139,3.720802,548.475258,0.79861115
docker,21,547.68221,3.855235,551.857715,0.7756727
docker,22,545.739087,3.309829,549.368474,0.8588488
docker,23,529.95653,3.735114,534.016202,0.8314678
docker,24,525.247491,4.605523,530.199674,0.77566795
docker,25,538.575658,3.90861,542.801808,0.8156337
docker,26,548.076807,4.454706,552.842951,0.78254365
docker,27,530.898743,3.94429,535.142635,0.8627587999999999
docker,28,533.864341,3.278606,537.510626,0.7671608
docker,29,527.557673,3.389533,531.302054,0.97349945
docker,30,535.264202,3.74291,539.311696,0.8066564
docker,31,547.254819,5.005033,552.6075,0.80332005
docker,32,543.669616,4.247946,548.271878,0.85301685
docker,33,526.989115,3.522877,530.833736,0.753324
docker,34,531.639897,3.721685,535.708896,0.8104919
docker,35,528.328909,3.799428,532.513154,0.85671335
docker,36,557.107282,3.805752,561.226221,0.9505103
docker,37,531.63953,3.814094,535.682278,0.8258449999999999
docker,38,543.776395,3.411379,547.513691,0.7812307000000001
docker,39,522.956013,4.854776,528.132597,0.75115015
docker,40,537.726289,3.890866,541.979786,0.7511971
docker,41,527.515404,3.996305,531.845539,0.81831785
docker,42,537.244413,2.718887,540.20023,0.77886845
docker,43,550.703948,3.619877,554.655632,0.74549815
docker,44,542.201386,3.801703,546.355373,0.73065795
docker,45,534.200412,3.266874,537.740472,0.8125208
docker,46,536.605101,3.169311,540.099916,0.6956612
docker,47,536.878232,4.46767,541.655456,0.8077032
docker,48,513.38052,4.064472,517.801143,0.8128331
docker,49,518.132056,3.589388,522.023148,0.76681425
docker,50,531.652801,5.487196,537.469106,0.72590825
docker,51,541.852479,3.830043,546.022065,0.81214205
docker,52,551.912281,3.728897,556.018092,0.8973261
docker,53,551.197063,3.756162,555.283135,0.7765739
docker,54,552.126071,3.240688,555.686816,0.77679385
docker,55,507.953248,3.648382,511.93769,0.8058339
docker,56,547.979146,3.986432,552.286004,0.92224185
docker,57,524.260385,3.803583,528.445361,0.84573705
docker,58,543.245951,4.142912,547.744998,0.70807715
docker,59,535.343013,3.67153,539.368499,0.7968961999999999
docker,60,544.893451,4.513143,549.723795,0.7276098
