backend,model,repetition,startup_ms,first_inference_ms,cold_to_first_result_ms,warm_inference_ms,timestamp_unix
docker,naive_bayes,1,479.073947,43.697801,523.80262,0.61146475,1788104476.1408403
docker,naive_bayes,2,471.143243,3.851392,475.310909,0.71868555,1788104478.146086
docker,naive_bayes,3,501.724601,3.743175,505.753926,0.83809495,1788104480.2011867
docker,naive_bayes,4,503.723251,3.33534,507.406512,0.8473255,1788104482.2346928
docker,naive_bayes,5,538.59934,3.805511,542.722339,0.8055234,1788104484.3107064
docker,naive_bayes,6,553.555226,4.534921,558.386765,0.7736035,1788104486.4115977
docker,naive_bayes,7,540.249505,3.780791,544.321811,0.75392745,1788104488.5136683
docker,naive_bayes,8,545.528957,3.543525,549.430753,0.83603215,1788104490.613928
docker,naive_bayes,9,527.591735,4.023836,531.952694,0.9521006,1788104492.7010896
docker,naive_bayes,10,541.630582,4.094001,546.025354,0.874927,1788104494.7908967
docker,naive_bayes,11,560.595541,4.704019,565.625445,0.8034629,1788104496.8955038
docker,naive_bayes,12,537.517043,3.539114,541.35683,0.7371347,1788104498.973172
docker,naive_bayes,13,522.20836,3.544913,526.084655,0.74241825,1788104501.042364
docker,naive_bayes,14,564.130704,3.924505,568.37479,0.81043835,1788104503.1442366
docker,naive_bayes,15,566.530165,4.12677,570.946647,0.785635,1788104505.2841482
docker,naive_bayes,16,556.312025,3.878694,560.490807,0.8117824499999999,1788104507.397088
docker,naive_bayes,17,543.857713,3.606914,547.772468,0.8058967,1788104509.48152
docker,naive_bayes,18,507.111418,4.1169,511.568209,0.8335003,1788104511.5499725
docker,naive_bayes,19,541.093205,4.856009,546.257336,1.19000805,1788104513.6744363
docker,naive_bayes,20,550.184146,3.782248,554.305389,0.9086971,1788104515.8146055
