backend,model,repetition,startup_ms,first_inference_ms,cold_to_first_result_ms,warm_inference_ms,timestamp_unix
docker,random_forest,1,568.96694,41.549946,611.620201,0.9018059,1788104739.841083
docker,random_forest,2,527.81897,3.68045,531.817801,0.83171855,1788104741.915527
docker,random_forest,3,520.325315,3.903383,524.500558,0.8561828,1788104743.982667
docker,random_forest,4,551.554266,4.043655,555.963588,0.7779324,1788104746.092886
docker,random_forest,5,531.425187,3.920681,535.700451,0.8570062,1788104748.1790824
docker,random_forest,6,506.089538,4.820532,511.245196,0.86421285,1788104750.2360253
docker,random_forest,7,533.476196,3.592404,537.381587,0.8015414,1788104752.3157232
docker,random_forest,8,533.987792,3.779091,538.09457,0.81801815,1788104754.39309
docker,random_forest,9,543.334592,4.352837,548.011023,0.8301931499999999,1788104756.4644594
docker,random_forest,10,555.879797,3.736803,559.937292,0.74843485,1788104758.5646927
docker,random_forest,11,523.90626,3.658954,527.886208,0.73553715,1788104760.6303859
docker,random_forest,12,554.860444,3.950449,559.104254,0.864012,1788104762.7359488
docker,random_forest,13,542.943098,3.886559,547.162863,0.88467585,1788104764.8394585
docker,random_forest,14,540.9638,3.425359,544.686202,0.7872951,1788104766.917927
docker,random_forest,15,538.323918,4.471879,543.14211,0.79217025,1788104769.015809
docker,random_forest,16,536.053298,3.661972,540.05251,0.8324859,1788104771.1117532
docker,random_forest,17,560.257726,3.962892,564.610755,0.8593465,1788104773.224677
docker,random_forest,18,540.928101,3.734218,544.931219,0.86342745,1788104775.3519862
docker,random_forest,19,537.310092,3.850854,541.524715,0.8184226,1788104777.4337025
docker,random_forest,20,545.663663,4.091877,550.037191,0.8315822,1788104779.5473244
