backend,model,repetition,startup_ms,first_inference_ms,cold_to_first_result_ms,warm_inference_ms,timestamp_unix
docker,svm,1,456.024667,28.675329,485.635125,0.70122345,1788104842.6448467
docker,svm,2,482.223462,3.442402,486.01356,0.7616339,1788104844.6371262
docker,svm,3,497.382408,4.524144,502.187216,0.77332885,1788104846.6553075
docker,svm,4,517.673424,3.737433,521.78708,0.8188276,1788104848.7265522
docker,svm,5,555.029327,4.035321,559.37807,0.84291705,1788104850.8360088
docker,svm,6,535.329562,4.423867,540.102625,0.84401625,1788104852.918788
docker,svm,7,553.152491,4.528581,558.419274,0.7487868,1788104855.0485735
docker,svm,8,543.619354,5.075131,549.028049,0.8192279,1788104857.1527348
docker,svm,9,552.658371,3.454296,556.472708,0.8241377,1788104859.2495303
docker,svm,10,536.223753,4.113816,540.66125,0.82317315,1788104861.3345041
docker,svm,11,549.396371,3.345404,553.084374,0.7900847,1788104863.4318023
docker,svm,12,547.787427,4.298167,552.457299,0.73062375,1788104865.5455618
docker,svm,13,514.225312,4.166647,518.746409,0.81799925,1788104867.591534
docker,svm,14,544.273289,3.409531,548.000051,0.81808615,1788104869.6854281
docker,svm,15,547.272355,3.449334,551.08531,0.8104223,1788104871.7830064
docker,svm,16,536.859887,3.978979,541.153857,0.7856969,1788104873.8823605
docker,svm,17,535.587587,3.433565,539.354099,0.78638335,1788104875.9469452
docker,svm,18,535.532234,3.78088,539.614165,0.8215002,1788104878.0227377
docker,svm,19,550.768022,3.538516,554.625059,0.81162695,1788104880.1024404
docker,svm,20,543.924972,3.82955,548.105992,0.7990434,1788104882.1779363
