backend,model,repetition,startup_ms,first_inference_ms,cold_to_first_result_ms,warm_inference_ms,timestamp_unix
wasmtime,kmeans,1,32.771962,1.325615,34.39637,0.329423,1788104586.5755105
wasmtime,kmeans,2,30.941878,0.805025,31.883158,0.40252285,1788104587.782739
wasmtime,kmeans,3,42.23728,0.682566,43.00349,0.32585065,1788104589.0112176
wasmtime,kmeans,4,33.259893,0.794417,34.207934,0.37061565,1788104590.214546
wasmtime,kmeans,5,37.417075,1.07004,38.64,0.65242125,1788104591.433555
wasmtime,kmeans,6,30.838995,0.64233,31.577091,0.33899465,1788104592.6297772
wasmtime,kmeans,7,43.610406,1.386478,45.151319,0.39909105,1788104593.8469274
wasmtime,kmeans,8,40.905871,0.5598,41.547535,0.42630840000000003,1788104595.0620112
wasmtime,kmeans,9,35.400009,0.858184,36.405587,0.39411315,1788104596.2643878
wasmtime,kmeans,10,41.735428,0.792445,42.68733,0.3755465,1788104597.4755435
wasmtime,kmeans,11,42.587888,1.090071,43.860642,0.39229175,1788104598.683841
wasmtime,kmeans,12,32.804283,0.812373,33.741138,0.43411489999999997,1788104599.885821
wasmtime,kmeans,13,40.908987,1.217442,42.285514,0.37362685,1788104601.0955925
wasmtime,kmeans,14,33.325259,0.854906,34.309844,0.4136182,1788104602.2965493
wasmtime,kmeans,15,46.117222,1.862638,48.133245,0.41650925,1788104603.5145967
wasmtime,kmeans,16,48.789989,1.924261,50.913449,0.48688075000000003,1788104604.737574
wasmtime,kmeans,17,47.224065,0.953052,48.308983,0.57889585,1788104605.9599626
wasmtime,kmeans,18,45.142304,0.926975,46.202594,0.5177056,1788104607.1744206
wasmtime,kmeans,19,42.66481,1.673939,44.524652,0.410777,1788104608.3923695
wasmtime,kmeans,20,40.565655,0.814638,41.526005,0.3640605,1788104609.602726
wasmtime,kmeans,21,45.359329,1.165362,46.715743,0.4274755,1788104610.820238
wasmtime,kmeans,22,44.31957,1.254589,45.753407,0.43079915,1788104612.035767
wasmtime,kmeans,23,41.351516,1.151862,42.694372,0.3980332,1788104613.2454302
wasmtime,kmeans,24,43.026359,1.092083,44.292351,0.3715415,1788104614.4580925
wasmtime,kmeans,25,44.495609,0.776302,45.35539,0.34139010000000003,1788104615.6767018
wasmtime,kmeans,26,42.255064,0.995281,43.407731,0.3888986,1788104616.8918328
wasmtime,kmeans,27,42.15702,1.016549,43.329757,0.3904001,1788104618.107622
wasmtime,kmeans,28,46.769611,1.536819,48.490866,0.38617205,1788104619.3243039
wasmtime,kmeans,29,46.872565,1.263337,48.327518,0.41300365,1788104620.5427809
wasmtime,kmeans,30,43.759416,0.829831,44.714138,0.3871983,1788104621.7526321
wasmtime,kmeans,31,43.948204,0.927131,45.030474,0.35632915,1788104622.9668956
wasmtime,kmeans,32,46.28552,1.081356,47.537376,0.4039567,1788104624.1839774
wasmtime,kmeans,33,44.875814,0.672353,45.667649,0.36573435,1788104625.4003437
wasmtime,kmeans,34,43.602006,0.923518,44.69391,0.3799823,1788104626.6216211
wasmtime,kmeans,35,44.733138,0.578635,45.376856,0.3302285,1788104627.8352463
wasmtime,kmeans,36,44.776189,1.953661,46.842449,0.4723521,1788104629.047925
wasmtime,kmeans,37,44.081907,1.51367,45.767097,0.5816382,1788104630.2748659
wasmtime,kmeans,38,41.984352,1.027544,43.173939,0.39847135,1788104631.487923
wasmtime,kmeans,39,43.389266,1.445791,45.030084,0.37599625000000003,1788104632.7008743
wasmtime,kmeans,40,42.721908,1.26435,44.168416,0.4166086,1788104633.9178286
wasmtime,kmeans,41,46.053284,0.604697,46.739017,0.3092793,1788104635.1386628
wasmtime,kmeans,42,44.393298,1.274872,45.822799,0.40490205,1788104636.3555322
wasmtime,kmeans,43,44.525369,0.964838,45.631933,0.41520415,1788104637.5787024
wasmtime,kmeans,44,44.369957,0.875623,45.392331,0.35825125,1788104638.7933261
wasmtime,kmeans,45,44.573727,0.712071,45.40002,0.33503145,1788104640.0113444
wasmtime,kmeans,46,42.951755,0.934522,44.031621,0.3614289,1788104641.2219126
wasmtime,kmeans,47,40.288746,0.985322,41.420659,0.37963135,1788104642.426389
wasmtime,kmeans,48,44.490519,1.24288,45.880169,0.3805856,1788104643.6374493
wasmtime,kmeans,49,40.139788,1.077143,41.390722,0.3840926,1788104644.8588343
wasmtime,kmeans,50,44.493659,0.610327,45.185742,0.3133534,1788104646.0800257
wasmtime,kmeans,51,41.619255,0.882406,42.636562,0.3905486,1788104647.293585
wasmtime,kmeans,52,43.344884,0.933366,44.417231,0.37663545,1788104648.512296
wasmtime,kmeans,53,41.960171,1.455953,43.548435,0.45999275,1788104649.727135
wasmtime,kmeans,54,44.697947,0.75071,45.554646,0.343273,1788104650.9422064
wasmtime,kmeans,55,43.495769,0.867023,44.50736,0.3626296,1788104652.1526752
wasmtime,kmeans,56,41.167114,1.287848,42.595378,0.3846124,1788104653.3656304
wasmtime,kmeans,57,41.552585,1.510623,43.229807,0.3682305,1788104654.577788
wasmtime,kmeans,58,44.025534,0.811234,44.990264,0.41046065,1788104655.7940242
wasmtime,kmeans,59,45.684674,0.985462,46.817698,0.4386967,1788104657.006384
wasmtime,kmeans,60,43.370284,1.163847,44.747858,0.4173647,1788104658.2291512
