backend,model,repetition,startup_ms,first_inference_ms,cold_to_first_result_ms,warm_inference_ms,timestamp_unix
wasmtime,logistic_regression,1,33.607822,0.465556,34.151958,0.25034145,1788104072.292019
wasmtime,logistic_regression,2,42.370917,1.105436,43.673318,0.40020835,1788104073.5031078
wasmtime,logistic_regression,3,30.152205,1.390958,31.729998,0.4069543,1788104074.7008157
wasmtime,logistic_regression,4,41.310184,1.279532,42.785222,0.3881624,1788104075.9158351
wasmtime,logistic_regression,5,44.031754,0.940987,45.124089,0.34679045,1788104077.1270306
wasmtime,logistic_regression,6,30.706232,1.002522,31.865067,0.3650608,1788104078.3213856
wasmtime,logistic_regression,7,44.822626,1.230176,46.213275,0.38568884999999997,1788104079.5354276
wasmtime,logistic_regression,8,48.379394,1.383386,50.048033,0.4092018,1788104080.7538111
wasmtime,logistic_regression,9,45.055244,1.036311,46.213209,0.58462775,1788104081.9686754
wasmtime,logistic_regression,10,43.926181,0.858275,44.933426,0.40953375,1788104083.181956
wasmtime,logistic_regression,11,42.387847,0.744181,43.246381,0.3520194,1788104084.3915467
wasmtime,logistic_regression,12,47.929564,0.751449,48.767578,0.5466199,1788104085.618941
wasmtime,logistic_regression,13,42.095522,0.814476,43.049351,0.3698303,1788104086.827037
wasmtime,logistic_regression,14,47.672921,1.187844,49.050969,0.5484485,1788104088.044909
wasmtime,logistic_regression,15,43.871114,1.327474,45.390584,0.4161817,1788104089.253673
wasmtime,logistic_regression,16,43.162959,0.925474,44.242997,0.41382385,1788104090.4727101
wasmtime,logistic_regression,17,45.280597,1.46506,46.914004,0.441812,1788104091.6898887
wasmtime,logistic_regression,18,46.153292,1.291496,47.612765,0.5480876,1788104092.903353
wasmtime,logistic_regression,19,45.90577,1.183895,47.235426,0.37303935,1788104094.1221242
wasmtime,logistic_regression,20,49.323436,1.231294,50.711626,0.3990464,1788104095.347288
wasmtime,logistic_regression,21,45.030098,1.636427,46.853185,0.4228118,1788104096.5630019
wasmtime,logistic_regression,22,48.068671,0.905747,49.126699,0.7229207,1788104097.7918897
wasmtime,logistic_regression,23,43.688053,2.041261,45.852574,0.4818017,1788104099.005579
wasmtime,logistic_regression,24,44.247951,1.216058,45.660058,0.4017387,1788104100.2191317
wasmtime,logistic_regression,25,44.203733,1.367525,45.764154,0.3643737,1788104101.4340808
wasmtime,logistic_regression,26,44.988132,1.4497,46.568265,0.4430225,1788104102.645243
wasmtime,logistic_regression,27,45.841762,0.913619,46.904896,0.38654575,1788104103.8587933
wasmtime,logistic_regression,28,42.538584,1.191746,43.892845,0.5616591,1788104105.0776029
wasmtime,logistic_regression,29,42.596572,0.818097,43.495125,0.4032513,1788104106.2898476
wasmtime,logistic_regression,30,45.656122,1.152441,46.979716,0.40520785,1788104107.5107226
wasmtime,logistic_regression,31,42.892643,1.239998,44.255546,0.4172206,1788104108.7226114
wasmtime,logistic_regression,32,45.281276,0.859616,46.240233,0.37574165,1788104109.934046
wasmtime,logistic_regression,33,46.595916,1.222952,47.99301,0.4112117,1788104111.1513085
wasmtime,logistic_regression,34,44.167451,1.191895,45.560331,0.4054317,1788104112.3675945
wasmtime,logistic_regression,35,44.501403,1.276452,45.968866,0.6402385,1788104113.5918295
wasmtime,logistic_regression,36,45.348064,0.901932,46.382696,0.37882475,1788104114.8062944
wasmtime,logistic_regression,37,46.677695,0.784239,47.578174,0.34956135,1788104116.0289621
wasmtime,logistic_regression,38,47.630352,1.487912,49.265369,0.40023885,1788104117.2466943
wasmtime,logistic_regression,39,44.476366,0.852672,45.468176,0.3671583,1788104118.4627476
wasmtime,logistic_regression,40,44.897726,1.158069,46.220201,0.37476335,1788104119.6764216
wasmtime,logistic_regression,41,44.68666,1.23899,46.079866,0.39719909999999997,1788104120.890177
wasmtime,logistic_regression,42,44.537592,1.043098,45.744083,0.3980805,1788104122.0998943
wasmtime,logistic_regression,43,41.607447,1.460898,43.258537,0.417014,1788104123.3118553
wasmtime,logistic_regression,44,42.747686,1.145301,44.06127,0.38556975,1788104124.5238206
wasmtime,logistic_regression,45,42.267192,1.299866,43.757904,0.35469269999999997,1788104125.734972
wasmtime,logistic_regression,46,46.030274,1.396359,47.562945,0.4158703,1788104126.9526227
wasmtime,logistic_regression,47,42.464067,0.872324,43.469701,0.38254305,1788104128.1597123
wasmtime,logistic_regression,48,45.69561,0.819098,46.629273,0.39447395,1788104129.3740833
