backend,model,repetition,startup_ms,first_inference_ms,cold_to_first_result_ms,warm_inference_ms,timestamp_unix
wasmtime,mlp,1,49.95618,0.790084,50.940958,0.33747355,1788104883.6483707
wasmtime,mlp,2,47.735436,1.479507,49.46469,0.37491755,1788104884.8861873
wasmtime,mlp,3,68.950134,0.559055,69.626989,0.45443855,1788104886.1484091
wasmtime,mlp,4,46.889997,1.233973,48.28945,0.3895032,1788104887.3733628
wasmtime,mlp,5,45.17532,1.379865,46.777948,0.3843418,1788104888.5957525
wasmtime,mlp,6,46.184506,0.954164,47.325351,0.37453435,1788104889.815811
wasmtime,mlp,7,43.768511,0.980588,44.910377,0.3779806,1788104891.0323443
wasmtime,mlp,8,45.988251,1.369004,47.58852,0.43842205,1788104892.250699
wasmtime,mlp,9,47.557386,1.427682,49.173727,0.4605786,1788104893.471033
wasmtime,mlp,10,44.345643,0.620885,45.046569,0.3281016,1788104894.6791809
wasmtime,mlp,11,45.938676,1.318968,47.45921,0.3941443,1788104895.8965461
wasmtime,mlp,12,48.780991,1.411437,50.381687,0.42793595,1788104897.1236124
wasmtime,mlp,13,45.603104,0.984914,46.769204,0.4273963,1788104898.3423085
wasmtime,mlp,14,44.748133,0.563727,45.387907,0.3147582,1788104899.5589437
wasmtime,mlp,15,46.23006,1.028332,47.447596,0.54392315,1788104900.7804432
wasmtime,mlp,16,47.240387,1.318873,48.727647,0.6712067,1788104902.0059915
wasmtime,mlp,17,43.525629,1.051006,44.755721,0.5694079,1788104903.225052
wasmtime,mlp,18,49.732375,1.094665,51.008111,0.39827945,1788104904.453012
wasmtime,mlp,19,46.43308,1.355586,47.981559,0.3874867,1788104905.674713
wasmtime,mlp,20,48.041708,1.225899,49.492735,0.4115664,1788104906.903805
wasmtime,mlp,21,49.286164,1.296403,50.829522,0.48198795,1788104908.12663
wasmtime,mlp,22,44.143379,1.285141,45.644658,0.37547215,1788104909.3396764
wasmtime,mlp,23,43.937629,1.075756,45.202055,0.3804827,1788104910.5558221
wasmtime,mlp,24,47.792784,1.211502,49.226837,0.5394225,1788104911.7781615
wasmtime,mlp,25,48.559375,1.232913,50.008533,0.3886198,1788104912.9981694
wasmtime,mlp,26,44.167661,0.962402,45.313695,0.37649775,1788104914.211475
wasmtime,mlp,27,46.795091,1.437562,48.463085,0.3875249,1788104915.43635
wasmtime,mlp,28,41.341407,0.841249,42.35877,0.41660535,1788104916.6494696
wasmtime,mlp,29,46.613926,1.379214,48.186116,0.38955395,1788104917.8724303
wasmtime,mlp,30,45.755383,0.941424,46.875632,0.3656087,1788104919.0877707
wasmtime,mlp,31,43.107019,0.936381,44.211378,0.38586005,1788104920.3015974
wasmtime,mlp,32,46.70966,1.574939,48.472552,0.41620235,1788104921.5196846
wasmtime,mlp,33,43.940491,1.180514,45.280434,0.42632435,1788104922.7372174
wasmtime,mlp,34,48.254867,0.811174,49.160478,0.5891553,1788104923.957336
wasmtime,mlp,35,47.985981,1.392482,49.544529,0.44066584999999997,1788104925.1835327
wasmtime,mlp,36,45.753013,0.912234,46.781241,0.3615755,1788104926.4052231
wasmtime,mlp,37,45.714493,0.913791,46.759806,0.40919315,1788104927.6245406
wasmtime,mlp,38,44.01959,1.225972,45.434549,0.4055223,1788104928.8431242
wasmtime,mlp,39,44.965706,0.919367,46.054425,0.3719556,1788104930.0606816
wasmtime,mlp,40,41.928437,1.428445,43.603884,0.4162595,1788104931.2804127
wasmtime,mlp,41,49.225262,0.938602,50.339105,0.40515405,1788104932.500845
wasmtime,mlp,42,47.924126,1.041795,49.17063,0.4029137,1788104933.719673
wasmtime,mlp,43,47.041606,1.183541,48.399988,0.5909004,1788104934.9434624
wasmtime,mlp,44,44.204204,1.000266,45.368172,0.4114693,1788104936.160604
wasmtime,mlp,45,46.573519,1.515887,48.284977,0.37840645,1788104937.384408
wasmtime,mlp,46,45.820546,1.422561,47.452159,0.38355085,1788104938.600711
