backend,repetition,startup_ms,first_inference_ms,cold_to_first_result_ms,warm_inference_ms
wasmtime,1,34.282838,1.14831,35.72773,0.35200815
wasmtime,2,39.000362,0.553549,39.633796,0.33606875
wasmtime,3,28.251353,0.725043,29.116337,0.3376746
wasmtime,4,41.312579,0.889136,42.354006,0.3815046
wasmtime,5,32.473016,0.950746,33.584643,0.3809056
wasmtime,6,40.622268,0.962324,41.757708,0.37732755
wasmtime,7,34.717953,0.958907,35.860854,0.3662469
wasmtime,8,45.437094,0.979514,46.613001,0.36161155
wasmtime,9,42.776049,0.688205,43.582897,0.32308645
wasmtime,10,41.293297,1.893905,43.427219,0.42099125
wasmtime,11,45.377899,0.860288,46.375616,0.3374905
wasmtime,12,44.279749,2.030762,46.534327,0.44710235
wasmtime,13,43.165932,0.983964,44.305819,0.42190295
wasmtime,14,46.609602,1.000822,47.804237,0.3854556
wasmtime,15,43.275308,0.795252,44.203988,0.4015178
wasmtime,16,43.619064,1.248958,45.077216,0.3602732
wasmtime,17,47.513923,1.195826,48.938553,0.5340768
wasmtime,18,43.161652,1.624275,44.998779,0.4335532
wasmtime,19,45.974522,1.491965,47.691731,0.5895147000000001
wasmtime,20,44.275352,1.40785,45.863723,0.3987071
wasmtime,21,44.173672,0.879636,45.220133,0.40968145
wasmtime,22,44.480361,0.672488,45.258617,0.34889
wasmtime,23,44.93226,1.385936,46.528781,0.39053575
wasmtime,24,45.259672,1.232845,46.619798,0.3548525
wasmtime,25,45.316401,0.746055,46.173188,0.34725564999999997
wasmtime,26,45.662732,1.531714,47.439682,0.42871735
wasmtime,27,44.50235,0.901568,45.556412,0.3762211
wasmtime,28,46.028811,1.047044,47.261245,0.38545155
wasmtime,29,43.563743,0.898656,44.621872,0.37235245
wasmtime,30,46.777844,0.957463,47.91714,0.38001985
wasmtime,31,46.155965,1.243321,47.673258,0.5692058
wasmtime,32,42.715853,1.42391,44.373464,0.40794125
wasmtime,33,44.645431,1.304454,46.145217,0.36576555
wasmtime,34,44.737633,0.99087,45.923708,0.3991796
wasmtime,35,44.123587,1.094291,45.42209,0.3840925
wasmtime,36,27.631077,1.202993,29.03295,0.3839577
wasmtime,37,34.143262,1.11555,35.459523,0.37736245
wasmtime,38,46.35893,1.412353,47.96195,0.3814878
wasmtime,39,32.9305,0.858821,33.952828,0.38940255
wasmtime,40,40.024636,1.31837,41.530925,0.4357916
wasmtime,41,30.230218,0.804337,31.184025,0.38083525
wasmtime,42,32.806255,1.056384,34.058191,0.2902318
wasmtime,43,41.161192,1.332674,42.697805,0.36244715
wasmtime,44,32.717334,0.831874,33.700461,0.37714565
wasmtime,45,44.37634,1.246229,45.825547,0.375936
wasmtime,46,44.962511,1.240021,46.415626,0.39172975
wasmtime,47,42.350687,1.082355,43.633398,0.38800765
wasmtime,48,44.676179,0.59238,45.345942,0.3347105
wasmtime,49,46.124172,0.907952,47.189485,0.37188325
wasmtime,50,45.243768,0.963157,46.39975,0.55721
wasmtime,51,40.872631,1.609899,42.711022,0.4230832
wasmtime,52,40.29948,0.867616,41.279346,0.3781969
wasmtime,53,45.265735,1.531973,46.98788,0.4159911
wasmtime,54,45.02783,0.722367,45.831057,0.31122125
wasmtime,55,41.757232,0.79673,42.707983,0.32036875
wasmtime,56,41.100763,0.900884,42.186751,0.36052965000000003
wasmtime,57,41.289307,0.921248,42.372359,0.3797012
wasmtime,58,45.656149,0.632312,46.389683,0.31483415
wasmtime,59,45.296468,1.233878,46.73002,0.39969265
wasmtime,60,43.171279,0.814445,44.120704,0.4010017
