backend,model,repetition,startup_ms,first_inference_ms,cold_to_first_result_ms,warm_inference_ms,timestamp_unix
wasmtime,naive_bayes,1,30.937046,0.634375,31.681308,0.26221585000000003,1788104404.5718677
wasmtime,naive_bayes,2,31.210147,1.401994,32.87297,0.48733055,1788104405.7716424
wasmtime,naive_bayes,3,32.799667,0.819264,33.785514,0.37424665,1788104406.9674158
wasmtime,naive_bayes,4,30.256655,0.846873,31.271495,0.36147345000000003,1788104408.1581614
wasmtime,naive_bayes,5,32.780404,0.613779,33.502826,0.3480029,1788104409.3512812
wasmtime,naive_bayes,6,40.195245,0.624824,40.912448,0.34534575,1788104410.564662
wasmtime,naive_bayes,7,43.76179,0.791381,44.675976,0.35774255,1788104411.777031
wasmtime,naive_bayes,8,43.432746,1.332001,45.03866,0.5538514999999999,1788104412.9968162
wasmtime,naive_bayes,9,44.006406,0.85846,45.036081,0.377566,1788104414.210637
wasmtime,naive_bayes,10,44.134448,0.917962,45.252871,0.54137565,1788104415.4347339
wasmtime,naive_bayes,11,43.426402,0.948427,44.554899,0.40279195,1788104416.656666
wasmtime,naive_bayes,12,45.011478,0.799304,45.985677,0.35254155,1788104417.8753822
wasmtime,naive_bayes,13,41.985141,1.294768,43.44291,0.3885909,1788104419.0873368
wasmtime,naive_bayes,14,44.874338,0.829174,45.848355,0.35071955,1788104420.302764
wasmtime,naive_bayes,15,44.216579,0.943157,45.296097,0.4928914,1788104421.5187
wasmtime,naive_bayes,16,45.067405,1.262188,46.524552,0.39048535,1788104422.7361608
wasmtime,naive_bayes,17,45.578967,1.0823,46.850989,0.36884905,1788104423.9612877
wasmtime,naive_bayes,18,41.474145,0.851758,42.498134,0.3735608,1788104425.1804478
wasmtime,naive_bayes,19,46.592229,1.427513,48.207727,0.426602,1788104426.399676
wasmtime,naive_bayes,20,42.384361,0.480852,42.93944,0.3070239,1788104427.6055322
wasmtime,naive_bayes,21,43.275358,0.963038,44.427691,0.3734513,1788104428.821395
wasmtime,naive_bayes,22,45.715021,0.581348,46.378586,0.32370215,1788104430.0355399
wasmtime,naive_bayes,23,45.843766,1.275797,47.287884,0.39404385000000003,1788104431.2528176
wasmtime,naive_bayes,24,42.529178,1.19881,43.895786,0.43658485,1788104432.4665189
wasmtime,naive_bayes,25,46.865956,1.307857,48.395992,0.40958934999999996,1788104433.6844049
wasmtime,naive_bayes,26,47.25881,0.745463,48.131509,0.51671955,1788104434.9020903
wasmtime,naive_bayes,27,44.547589,1.079826,45.813781,0.42622035,1788104436.1210747
wasmtime,naive_bayes,28,45.557055,1.011152,46.770048,0.4331602,1788104437.3442316
wasmtime,naive_bayes,29,40.168728,0.554264,40.805652,0.33733694999999997,1788104438.554067
wasmtime,naive_bayes,30,41.771666,1.128743,43.119167,0.39066670000000003,1788104439.7691505
wasmtime,naive_bayes,31,46.828729,1.162582,48.198735,0.37286125,1788104440.9941585
wasmtime,naive_bayes,32,45.06399,0.777957,45.967016,0.3440549,1788104442.2050068
wasmtime,naive_bayes,33,45.890735,1.171304,47.220252,0.57173665,1788104443.4274523
wasmtime,naive_bayes,34,47.928529,1.062074,49.145847,0.38856515,1788104444.6515908
wasmtime,naive_bayes,35,45.955995,1.082819,47.232117,0.41170095,1788104445.8767896
wasmtime,naive_bayes,36,46.230902,0.849168,47.254827,0.38863615,1788104447.0954165
wasmtime,naive_bayes,37,46.004274,1.116257,47.318733,0.42322585,1788104448.3176148
wasmtime,naive_bayes,38,44.607477,1.593111,46.421083,0.42429755,1788104449.5327635
wasmtime,naive_bayes,39,48.151971,1.41577,49.821108,0.41460525000000004,1788104450.7514012
wasmtime,naive_bayes,40,45.043378,1.223486,46.450537,0.42237315000000003,1788104451.9679015
wasmtime,naive_bayes,41,43.965889,0.968262,45.121978,0.40498835,1788104453.1859264
wasmtime,naive_bayes,42,43.280835,1.028721,44.494703,0.3987717,1788104454.4010322
wasmtime,naive_bayes,43,42.707202,0.955816,43.826266,0.3597344,1788104455.6203132
wasmtime,naive_bayes,44,44.828086,1.247701,46.306766,0.4224848,1788104456.8399065
wasmtime,naive_bayes,45,47.409648,1.343135,48.942857,0.3795488,1788104458.062638
wasmtime,naive_bayes,46,43.431899,0.879794,44.466415,0.3744801,1788104459.2773767
wasmtime,naive_bayes,47,45.140877,0.969494,46.28164,0.38455715,1788104460.5016973
wasmtime,naive_bayes,48,41.612794,0.605167,42.312184,0.3647657,1788104461.7139225
wasmtime,naive_bayes,49,42.148716,1.286549,43.633545,0.39689785,1788104462.9274905
wasmtime,naive_bayes,50,47.586018,1.158492,48.988746,0.41657015000000003,1788104464.14316
wasmtime,naive_bayes,51,43.824422,0.918108,44.90942,0.3700048,1788104465.3624847
wasmtime,naive_bayes,52,44.807824,1.207306,46.288549,0.53949905,1788104466.5834143
wasmtime,naive_bayes,53,44.811728,0.968928,45.921558,0.39255195,1788104467.8041117
wasmtime,naive_bayes,54,45.119758,1.466842,46.775887,0.58575475,1788104469.025066
wasmtime,naive_bayes,55,43.88677,1.472344,45.568764,0.63160655,1788104470.246854
wasmtime,naive_bayes,56,46.952137,1.471194,48.638738,0.4554941,1788104471.4674256
wasmtime,naive_bayes,57,44.709678,0.854298,45.716741,0.45126265,1788104472.6808348
wasmtime,naive_bayes,58,43.85484,1.159965,45.158049,0.39638075,1788104473.8919516
