backend,model,repetition,startup_ms,first_inference_ms,cold_to_first_result_ms,warm_inference_ms,timestamp_unix
wasmtime,random_forest,1,56.101035,0.993741,57.425366,0.5677099,1788104713.9501305
wasmtime,random_forest,2,54.207696,1.59205,56.014086,0.4905014,1788104715.2080507
wasmtime,random_forest,3,58.476327,2.190965,60.879323,0.64966625,1788104716.4560666
wasmtime,random_forest,4,54.427663,0.81131,55.388813,0.3448887,1788104717.6951985
wasmtime,random_forest,5,58.23501,1.332594,59.797962,0.42331975,1788104718.9358764
wasmtime,random_forest,6,54.843443,1.257659,56.267599,0.4275531,1788104720.1749074
wasmtime,random_forest,7,53.985171,0.699762,54.783142,0.37150835,1788104721.411691
wasmtime,random_forest,8,55.983544,1.726812,57.863741,0.43521965,1788104722.6529732
wasmtime,random_forest,9,54.343898,0.947284,55.465276,0.40173675000000003,1788104723.890687
wasmtime,random_forest,10,54.051662,0.710075,54.873962,0.358179,1788104725.1269126
wasmtime,random_forest,11,60.634745,1.496566,62.323724,0.4509818,1788104726.3609805
wasmtime,random_forest,12,51.67581,0.624167,52.383702,0.30063105,1788104727.5943792
wasmtime,random_forest,13,54.939735,0.947466,56.04659,0.43568365,1788104728.8338678
wasmtime,random_forest,14,51.854068,0.904258,52.882065,0.35991505,1788104730.0680556
wasmtime,random_forest,15,53.685097,0.980192,54.838961,0.35752925,1788104731.2998333
wasmtime,random_forest,16,58.482877,1.361915,60.076407,0.55417945,1788104732.5464401
wasmtime,random_forest,17,57.613425,1.123438,58.881569,0.4154743,1788104733.7843237
wasmtime,random_forest,18,54.734867,1.108538,56.022867,0.3789969,1788104735.0221598
wasmtime,random_forest,19,55.684496,1.33444,57.216973,0.4138152,1788104736.2670856
wasmtime,random_forest,20,53.431742,0.688872,54.221647,0.5311315,1788104737.5057592
