backend,model,physical_tenants,repetition,rss_mib,pss_mib,private_mib,warmup_requests_per_unit,memory_samples,timestamp_unix
docker,decision_tree,1,1,5.722656250,3.212500000,2.351562500,100,5,1787704994.786080
docker,decision_tree,1,2,5.769531250,3.229296875,2.359375000,100,5,1787704998.207368
docker,decision_tree,1,3,5.765625000,3.220507813,2.351562500,100,5,1787705001.717617
docker,decision_tree,1,4,5.734375000,3.212109375,2.355468750,100,5,1787705005.232525
docker,decision_tree,1,5,5.628906250,3.192382812,2.331250000,100,5,1787705008.739057
docker,decision_tree,1,6,5.675781250,3.208789063,2.363281250,100,5,1787705012.223778
docker,decision_tree,1,7,5.628906250,3.161328125,2.316406250,100,5,1787705015.680531
docker,decision_tree,1,8,5.640625000,3.173046875,2.328125000,100,5,1787705019.167797
docker,decision_tree,1,9,5.625000000,3.178515625,2.335937500,100,5,1787705022.655489
docker,decision_tree,1,10,5.722656250,3.178710938,2.312500000,100,5,1787705026.140333
docker,decision_tree,1,11,5.699218750,3.202734375,2.343750000,100,5,1787705029.638612
docker,decision_tree,1,12,5.652343750,3.217968750,2.357812500,100,5,1787705033.133374
docker,decision_tree,1,13,5.679687500,3.243164062,2.382812500,100,5,1787705036.615659
docker,decision_tree,1,14,5.628906250,3.203320312,2.347656250,100,5,1787705040.104852
docker,decision_tree,1,15,5.683593750,3.214062500,2.347656250,100,5,1787705043.572664
docker,decision_tree,1,16,5.675781250,3.191210938,2.335156250,100,5,1787705047.081730
docker,decision_tree,1,17,5.683593750,3.207226562,2.351562500,100,5,1787705050.575381
docker,decision_tree,1,18,5.660156250,3.163281250,2.316406250,100,5,1787705054.050510
docker,decision_tree,1,19,5.683593750,3.214453125,2.351562500,100,5,1787705057.530956
docker,decision_tree,1,20,5.675781250,3.215429687,2.355468750,100,5,1787705061.052030
docker,decision_tree,20,1,113.851562500,49.383984375,46.460937500,100,5,1787705511.844438
docker,decision_tree,20,2,113.800781250,49.654101563,46.703125000,100,5,1787705545.692092
docker,decision_tree,20,3,113.980468750,49.538085938,46.593750000,100,5,1787705580.116286
docker,decision_tree,20,4,113.531250000,49.492187500,46.563281250,100,5,1787705612.500141
docker,decision_tree,20,5,114.195312500,49.617578125,46.670312500,100,5,1787705643.795606
docker,decision_tree,20,6,113.441406250,49.478515625,46.539062500,100,5,1787705675.265152
docker,decision_tree,20,7,113.613281250,49.445312500,46.488281250,100,5,1787705706.277748
docker,decision_tree,20,8,114.105468750,49.639062500,46.691406250,100,5,1787705737.108308
docker,decision_tree,20,9,113.570312500,49.428125000,46.507812500,100,5,1787705767.870492
docker,decision_tree,20,10,113.589843750,49.396679687,46.482812500,100,5,1787705798.520823
docker,decision_tree,20,11,113.910156250,49.438671875,46.519531250,100,5,1787705829.441060
docker,decision_tree,20,12,113.984375000,49.456640625,46.522656250,100,5,1787705860.212102
docker,decision_tree,20,13,114.074218750,49.461523437,46.519531250,100,5,1787705890.978142
docker,decision_tree,20,14,113.851562500,49.465625000,46.554687500,100,5,1787705921.768333
docker,decision_tree,20,15,113.691406250,49.394335938,46.458593750,100,5,1787705952.422337
docker,decision_tree,20,16,113.566406250,49.444335938,46.511718750,100,5,1787705983.230860
docker,decision_tree,20,17,113.585937500,49.482226563,46.560937500,100,5,1787706013.851290
docker,decision_tree,20,18,113.824218750,49.505664063,46.558593750,100,5,1787706044.612534
docker,decision_tree,20,19,113.679687500,49.496289062,46.577343750,100,5,1787706075.497431
docker,decision_tree,20,20,113.484375000,49.380859375,46.460937500,100,5,1787706106.381541
docker,decision_tree,100,1,568.886718750,236.572070312,233.085937500,100,5,1787706257.878718
docker,decision_tree,100,2,568.464843750,236.161718750,232.675781250,100,5,1787706407.934570
docker,decision_tree,100,3,568.937500000,236.645312500,233.156250000,100,5,1787706558.658146
docker,decision_tree,100,4,569.734375000,236.586523438,233.101562500,100,5,1787706709.202571
docker,decision_tree,100,5,569.097656250,236.625585938,233.144531250,100,5,1787706859.788962
docker,decision_tree,100,6,569.519531250,236.608789062,233.125000000,100,5,1787707010.440237
docker,decision_tree,100,7,568.746093750,236.415039062,232.933593750,100,5,1787707160.327112
docker,decision_tree,100,8,568.449218750,236.736132812,233.253906250,100,5,1787707310.849483
docker,decision_tree,100,9,569.113281250,236.237109375,232.757812500,100,5,1787707460.641742
docker,decision_tree,100,10,569.296875000,236.526171875,233.039062500,100,5,1787707610.608943
docker,decision_tree,100,11,568.710937500,236.135351563,232.656250000,100,5,1787707761.493608
docker,decision_tree,100,12,568.664062500,236.383789062,232.902343750,100,5,1787707911.888385
docker,decision_tree,100,13,569.093750000,236.141796875,232.660156250,100,5,1787708061.967075
docker,decision_tree,100,14,568.949218750,236.488281250,233.007812500,100,5,1787708212.315053
docker,decision_tree,100,15,569.203125000,236.368164062,232.886718750,100,5,1787708362.464536
docker,decision_tree,100,16,567.820312500,236.146679688,232.667968750,100,5,1787708512.991102
docker,decision_tree,100,17,568.234375000,236.511718750,233.027343750,100,5,1787708663.672081
docker,decision_tree,100,18,568.910156250,236.787109375,233.308593750,100,5,1787708814.574110
docker,decision_tree,100,19,568.996093750,236.330859375,232.851562500,100,5,1787708965.156696
docker,decision_tree,100,20,569.796875000,236.749609375,233.265625000,100,5,1787709116.115882
docker,decision_tree,200,1,1136.773437500,469.497265625,465.976562500,100,5,1787709399.020197
docker,decision_tree,200,2,1137.546875000,469.423046875,465.894531250,100,5,1787709679.773277
docker,decision_tree,200,3,1138.742187500,469.628710937,466.105468750,100,5,1787709960.028639
docker,decision_tree,200,4,1138.082031250,469.583398438,466.058593750,100,5,1787710241.285329
docker,decision_tree,200,5,1138.363281250,469.582031250,466.062500000,100,5,1787710522.333082
docker,decision_tree,200,6,1137.414062500,469.654101562,466.132812500,100,5,1787710803.747679
docker,decision_tree,200,7,1138.601562500,469.671484375,466.144531250,100,5,1787711085.048857
docker,decision_tree,200,8,1136.853125000,469.482812500,465.962500000,100,5,1787711365.043719
docker,decision_tree,200,9,1137.707031250,469.083984375,465.562500000,100,5,1787711645.622190
docker,decision_tree,200,10,1137.203125000,469.593945313,466.070312500,100,5,1787711926.210603
docker,decision_tree,200,11,1137.964843750,469.563085937,466.046875000,100,5,1787712207.901899
docker,decision_tree,200,12,1137.847656250,469.395898438,465.871093750,100,5,1787712487.745331
docker,decision_tree,200,13,1137.128906250,469.083984375,465.566406250,100,5,1787712767.366907
docker,decision_tree,200,14,1136.171875000,469.328515625,465.800781250,100,5,1787713046.809171
docker,decision_tree,200,15,1136.851562500,469.424804688,465.894531250,100,5,1787713326.842425
docker,decision_tree,200,16,1137.875000000,469.909375000,466.386718750,100,5,1787713607.334931
docker,decision_tree,200,17,1137.953125000,469.700390625,466.175781250,100,5,1787713886.913670
docker,decision_tree,200,18,1137.718750000,469.791210938,466.277343750,100,5,1787714166.670367
docker,decision_tree,200,19,1138.890625000,469.546289063,466.027343750,100,5,1787714447.483720
docker,decision_tree,200,20,1138.960937500,469.648046875,466.132812500,100,5,1787714727.509714
