backend,model,physical_tenants,repetition,rss_mib,pss_mib,private_mib,warmup_requests_per_unit,memory_samples,timestamp_unix
docker,kmeans,20,1,113.484375000,49.517773437,46.523437500,100,5,1788106447.606994
docker,kmeans,20,2,113.425781250,49.448828125,46.440625000,100,5,1788106481.295330
docker,kmeans,20,3,113.300781250,49.343164063,46.343750000,100,5,1788106512.436662
docker,kmeans,20,4,113.769531250,49.487695313,46.484375000,100,5,1788106543.813372
docker,kmeans,20,5,113.867187500,49.421289063,46.406250000,100,5,1788106575.243858
docker,kmeans,20,6,113.183593750,49.355859375,46.371093750,100,5,1788106606.571538
docker,kmeans,20,7,113.238281250,49.435937500,46.456250000,100,5,1788106637.169016
docker,kmeans,20,8,113.289062500,49.399023437,46.426562500,100,5,1788106667.455784
docker,kmeans,20,9,114.101562500,49.567382812,46.566406250,100,5,1788106698.371667
docker,kmeans,20,10,113.914062500,49.451367187,46.457031250,100,5,1788106729.354631
docker,kmeans,20,11,113.363281250,49.337304688,46.347656250,100,5,1788106760.248385
docker,kmeans,20,12,113.492187500,49.435546875,46.428906250,100,5,1788106791.263538
docker,kmeans,20,13,113.875000000,49.470507813,46.480468750,100,5,1788106821.962622
docker,kmeans,20,14,113.507812500,49.520312500,46.533593750,100,5,1788106852.808048
docker,kmeans,20,15,113.839843750,49.446289062,46.464843750,100,5,1788106883.648827
docker,kmeans,20,16,113.152343750,49.346875000,46.374218750,100,5,1788106914.547446
docker,kmeans,20,17,113.687500000,49.415234375,46.414062500,100,5,1788106945.499856
docker,kmeans,20,18,113.265625000,49.387890625,46.394531250,100,5,1788106976.435492
docker,kmeans,20,19,113.679687500,49.604882813,46.613281250,100,5,1788107007.195189
docker,kmeans,20,20,113.496093750,49.395507812,46.402343750,100,5,1788107037.721508
docker,kmeans,100,1,567.222656250,235.217382813,231.726562500,100,5,1788107190.297617
docker,kmeans,100,2,568.265625000,235.576367188,232.082031250,100,5,1788107341.025131
docker,kmeans,100,3,568.234375000,235.551562500,232.054687500,100,5,1788107491.617157
docker,kmeans,100,4,568.539062500,235.676562500,232.179687500,100,5,1788107642.317435
docker,kmeans,100,5,568.042968750,235.602929687,232.113281250,100,5,1788107793.125657
docker,kmeans,100,6,567.718750000,235.778906250,232.285156250,100,5,1788107943.897644
docker,kmeans,100,7,568.062500000,235.746484375,232.253906250,100,5,1788108094.607752
docker,kmeans,100,8,567.128906250,235.754492188,232.269531250,100,5,1788108245.014775
docker,kmeans,100,9,567.804687500,235.442968750,231.945312500,100,5,1788108394.853840
docker,kmeans,100,10,567.625000000,235.599414062,232.101562500,100,5,1788108545.516511
docker,kmeans,100,11,567.867187500,235.970117187,232.476562500,100,5,1788108696.304014
docker,kmeans,100,12,568.054687500,235.989648437,232.492187500,100,5,1788108847.231681
docker,kmeans,100,13,566.976562500,235.502734375,232.015625000,100,5,1788108997.990862
docker,kmeans,100,14,567.960937500,235.816992188,232.332031250,100,5,1788109148.133141
docker,kmeans,100,15,567.125000000,236.050585937,232.558593750,100,5,1788109298.865923
docker,kmeans,100,16,568.585937500,235.775585938,232.289062500,100,5,1788109449.924393
docker,kmeans,100,17,567.132812500,235.402929688,231.914062500,100,5,1788109600.450449
docker,kmeans,100,18,567.285156250,235.616601562,232.128906250,100,5,1788109751.750202
docker,kmeans,100,19,567.718750000,235.701367188,232.207031250,100,5,1788109902.237295
docker,kmeans,100,20,568.160156250,235.936523438,232.441406250,100,5,1788110052.879412
docker,kmeans,200,1,1135.140625000,467.339062500,463.808593750,100,5,1788110339.538514
docker,kmeans,200,2,1136.320312500,467.726953125,464.195312500,100,5,1788110622.608938
docker,kmeans,200,3,1134.441406250,467.803710938,464.277343750,100,5,1788110904.675576
docker,kmeans,200,4,1135.808593750,468.450195312,464.921875000,100,5,1788111186.917936
docker,kmeans,200,5,1134.441406250,467.650390625,464.125000000,100,5,1788111468.574358
docker,kmeans,200,6,1134.942968750,467.712500000,464.189062500,100,5,1788111752.388204
docker,kmeans,200,7,1135.082031250,467.637695312,464.105468750,100,5,1788112036.333949
docker,kmeans,200,8,1135.050781250,467.939257812,464.410156250,100,5,1788112320.420694
docker,kmeans,200,9,1135.601562500,467.981445312,464.457031250,100,5,1788112604.565630
docker,kmeans,200,10,1133.789062500,467.504101563,463.976562500,100,5,1788112888.525978
docker,kmeans,200,11,1134.062500000,467.914453125,464.394531250,100,5,1788113172.235071
docker,kmeans,200,12,1136.335937500,468.397265625,464.863281250,100,5,1788113454.482602
docker,kmeans,200,13,1135.878906250,467.875585937,464.343750000,100,5,1788113736.766248
docker,kmeans,200,14,1135.734375000,467.551953125,464.023437500,100,5,1788114019.114160
docker,kmeans,200,15,1134.308593750,467.281835937,463.757812500,100,5,1788114301.997477
docker,kmeans,200,16,1134.609375000,468.310156250,464.777343750,100,5,1788114584.239341
docker,kmeans,200,17,1135.777343750,468.290429688,464.765625000,100,5,1788114866.590749
docker,kmeans,200,18,1134.863281250,468.650195312,465.117187500,100,5,1788115150.029588
docker,kmeans,200,19,1136.179687500,468.332226563,464.808593750,100,5,1788115433.594601
docker,kmeans,200,20,1135.593750000,467.946289062,464.414062500,100,5,1788115716.781216
