backend,model,physical_tenants,repetition,rss_mib,pss_mib,private_mib,warmup_requests_per_unit,memory_samples,timestamp_unix
docker,logistic_regression,1,1,5.656250000,3.169140625,2.320312500,100,5,1787946048.977058
docker,logistic_regression,1,2,5.605468750,3.173828125,2.318750000,100,5,1787946052.407521
docker,logistic_regression,1,3,5.730468750,3.233789063,2.366406250,100,5,1787946055.919606
docker,logistic_regression,1,4,5.652343750,3.176171875,2.326562500,100,5,1787946059.395812
docker,logistic_regression,1,5,5.652343750,3.205078125,2.355468750,100,5,1787946062.915658
docker,logistic_regression,1,6,5.707031250,3.204101562,2.363281250,100,5,1787946066.440997
docker,logistic_regression,1,7,5.601562500,3.172851562,2.321875000,100,5,1787946069.926857
docker,logistic_regression,1,8,5.765625000,3.221679688,2.355468750,100,5,1787946073.438377
docker,logistic_regression,1,9,5.699218750,3.176171875,2.316406250,100,5,1787946076.948357
docker,logistic_regression,1,10,5.687500000,3.161328125,2.308593750,100,5,1787946080.429111
docker,logistic_regression,1,11,5.566406250,3.148828125,2.316406250,100,5,1787946083.949841
docker,logistic_regression,1,12,5.722656250,3.211523437,2.355468750,100,5,1787946087.459373
docker,logistic_regression,1,13,5.734375000,3.191992187,2.312500000,100,5,1787946090.979788
docker,logistic_regression,1,14,5.625000000,3.181640625,2.328125000,100,5,1787946094.517292
docker,logistic_regression,1,15,5.710937500,3.220703125,2.359375000,100,5,1787946098.018467
docker,logistic_regression,1,16,5.675781250,3.170312500,2.328125000,100,5,1787946101.550550
docker,logistic_regression,1,17,5.730468750,3.208593750,2.351562500,100,5,1787946105.066154
docker,logistic_regression,1,18,5.664062500,3.165234375,2.316406250,100,5,1787946108.533807
docker,logistic_regression,1,19,5.593750000,3.185351563,2.350000000,100,5,1787946112.059701
docker,logistic_regression,1,20,5.660156250,3.169531250,2.316406250,100,5,1787946115.437544
docker,logistic_regression,20,1,113.164062500,49.433398438,46.511718750,100,5,1787946727.132415
docker,logistic_regression,20,2,113.273437500,49.400000000,46.476562500,100,5,1787946761.077563
docker,logistic_regression,20,3,112.902343750,49.419726563,46.511718750,100,5,1787946794.787867
docker,logistic_regression,20,4,113.562500000,49.439648437,46.519531250,100,5,1787946827.867301
docker,logistic_regression,20,5,113.605468750,49.403125000,46.484375000,100,5,1787946859.307904
docker,logistic_regression,20,6,113.296875000,49.419921875,46.519531250,100,5,1787946890.818283
docker,logistic_regression,20,7,113.429687500,49.459179687,46.542968750,100,5,1787946921.825888
docker,logistic_regression,20,8,113.359375000,49.436914063,46.535156250,100,5,1787946952.723978
docker,logistic_regression,20,9,113.515625000,49.437500000,46.519531250,100,5,1787946983.592072
docker,logistic_regression,20,10,113.058593750,49.463281250,46.546093750,100,5,1787947014.325106
docker,logistic_regression,20,11,112.941406250,49.309570312,46.402343750,100,5,1787947045.060183
docker,logistic_regression,20,12,113.132812500,49.244335937,46.332031250,100,5,1787947075.845074
docker,logistic_regression,20,13,113.148437500,49.409375000,46.523437500,100,5,1787947106.754862
docker,logistic_regression,20,14,113.585937500,49.353320313,46.433593750,100,5,1787947137.532640
docker,logistic_regression,20,15,113.140625000,49.323437500,46.417187500,100,5,1787947168.318578
docker,logistic_regression,20,16,112.882812500,49.317773438,46.414062500,100,5,1787947199.176308
docker,logistic_regression,20,17,113.414062500,49.512500000,46.589843750,100,5,1787947229.951717
docker,logistic_regression,20,18,113.097656250,49.378320313,46.467968750,100,5,1787947260.734466
docker,logistic_regression,20,19,112.816406250,49.358593750,46.463281250,100,5,1787947291.558687
docker,logistic_regression,20,20,113.550781250,49.458398438,46.523437500,100,5,1787947321.624767
docker,logistic_regression,100,1,565.960937500,235.940039063,232.476562500,100,5,1787947473.006595
docker,logistic_regression,100,2,566.425781250,236.108593750,232.648437500,100,5,1787947623.656033
docker,logistic_regression,100,3,566.878906250,236.121289063,232.660156250,100,5,1787947774.676630
docker,logistic_regression,100,4,566.636718750,236.085937500,232.628906250,100,5,1787947925.059112
docker,logistic_regression,100,5,566.320312500,235.781835938,232.320312500,100,5,1787948075.484355
docker,logistic_regression,100,6,566.375000000,235.917968750,232.453125000,100,5,1787948226.172110
docker,logistic_regression,100,7,566.707031250,236.117773438,232.656250000,100,5,1787948376.776660
docker,logistic_regression,100,8,565.980468750,235.869921875,232.406250000,100,5,1787948527.542576
docker,logistic_regression,100,9,566.277343750,235.800585937,232.339843750,100,5,1787948677.264344
docker,logistic_regression,100,10,565.820312500,236.021679688,232.554687500,100,5,1787948828.180684
docker,logistic_regression,100,11,566.195312500,235.902929688,232.437500000,100,5,1787948979.675617
docker,logistic_regression,100,12,566.621093750,235.992382813,232.531250000,100,5,1787949129.969422
docker,logistic_regression,100,13,566.066406250,235.718750000,232.257812500,100,5,1787949280.721076
docker,logistic_regression,100,14,566.046875000,235.980664063,232.519531250,100,5,1787949431.613893
docker,logistic_regression,100,15,566.914062500,236.065429688,232.601562500,100,5,1787949582.279310
docker,logistic_regression,100,16,565.320312500,236.046484375,232.585937500,100,5,1787949732.919902
docker,logistic_regression,100,17,566.070312500,236.063476562,232.605468750,100,5,1787949883.257147
docker,logistic_regression,100,18,566.984375000,236.061328125,232.601562500,100,5,1787950033.499171
docker,logistic_regression,100,19,566.363281250,236.047656250,232.582031250,100,5,1787950184.157192
docker,logistic_regression,100,20,564.589843750,235.780078125,232.320312500,100,5,1787950334.385707
docker,logistic_regression,200,1,1132.484375000,468.567578125,465.054687500,100,5,1787950620.049967
docker,logistic_regression,200,2,1132.671875000,468.646679688,465.136718750,100,5,1787950903.988793
docker,logistic_regression,200,3,1132.234375000,468.394531250,464.886718750,100,5,1787951188.632950
docker,logistic_regression,200,4,1132.457031250,468.541406250,465.035156250,100,5,1787951472.280420
docker,logistic_regression,200,5,1132.441406250,468.107812500,464.605468750,100,5,1787951755.061119
docker,logistic_regression,200,6,1133.121093750,468.723828125,465.210937500,100,5,1787952037.813391
docker,logistic_regression,200,7,1132.414062500,468.429687500,464.914062500,100,5,1787952321.102375
docker,logistic_regression,200,8,1132.199218750,468.145507812,464.628906250,100,5,1787952603.506131
docker,logistic_regression,200,9,1132.871093750,468.350781250,464.839843750,100,5,1787952885.697775
docker,logistic_regression,200,10,1131.597656250,468.432421875,464.929687500,100,5,1787953167.885707
docker,logistic_regression,200,11,1131.058593750,468.567773438,465.058593750,100,5,1787953449.983036
docker,logistic_regression,200,12,1132.718750000,468.630859375,465.128906250,100,5,1787953732.152590
docker,logistic_regression,200,13,1132.207031250,468.820117187,465.320312500,100,5,1787954014.045745
docker,logistic_regression,200,14,1131.160156250,467.922851562,464.421875000,100,5,1787954296.420533
docker,logistic_regression,200,15,1132.144531250,468.406445313,464.902343750,100,5,1787954578.559042
docker,logistic_regression,200,16,1132.164062500,468.325781250,464.820312500,100,5,1787954858.943543
docker,logistic_regression,200,17,1132.156250000,468.373828125,464.867187500,100,5,1787955140.142549
docker,logistic_regression,200,18,1130.664062500,467.749023438,464.242187500,100,5,1787955422.068056
docker,logistic_regression,200,19,1131.605468750,468.446289062,464.937500000,100,5,1787955702.365608
docker,logistic_regression,200,20,1133.218750000,468.520898438,465.007812500,100,5,1787955984.405568
