backend,model,physical_tenants,repetition,rss_mib,pss_mib,private_mib,warmup_requests_per_unit,memory_samples,timestamp_unix
docker,mlp,1,1,5.664062500,3.184375000,2.320312500,100,5,1787863102.470229
docker,mlp,1,2,5.726562500,3.205859375,2.335937500,100,5,1787863105.855465
docker,mlp,1,3,5.703125000,3.205078125,2.335937500,100,5,1787863109.382639
docker,mlp,1,4,5.707031250,3.232421875,2.359375000,100,5,1787863112.949220
docker,mlp,1,5,5.757812500,3.221875000,2.359375000,100,5,1787863116.398651
docker,mlp,1,6,5.769531250,3.216015625,2.324218750,100,5,1787863119.865180
docker,mlp,1,7,5.699218750,3.224414063,2.355468750,100,5,1787863123.380475
docker,mlp,1,8,5.730468750,3.193554687,2.316406250,100,5,1787863126.876631
docker,mlp,1,9,5.750000000,3.227539062,2.359375000,100,5,1787863130.352482
docker,mlp,1,10,5.660156250,3.180078125,2.316406250,100,5,1787863133.874488
docker,mlp,1,11,5.746093750,3.193359375,2.316406250,100,5,1787863137.397681
docker,mlp,1,12,5.722656250,3.209960938,2.347656250,100,5,1787863140.923047
docker,mlp,1,13,5.687500000,3.205468750,2.332031250,100,5,1787863144.412843
docker,mlp,1,14,5.699218750,3.194140625,2.317968750,100,5,1787863147.945500
docker,mlp,1,15,5.601562500,3.152343750,2.316406250,100,5,1787863151.429689
docker,mlp,1,16,5.718750000,3.179882812,2.320312500,100,5,1787863154.996660
docker,mlp,1,17,5.621093750,3.183789062,2.320312500,100,5,1787863158.508613
docker,mlp,1,18,5.753906250,3.199609375,2.320312500,100,5,1787863162.035533
docker,mlp,1,19,5.765625000,3.215039062,2.335937500,100,5,1787863165.568464
docker,mlp,1,20,5.714843750,3.240039063,2.363281250,100,5,1787863169.097245
docker,mlp,20,1,113.535156250,49.528515625,46.582031250,100,5,1787864127.615238
docker,mlp,20,2,114.019531250,49.547460937,46.589843750,100,5,1787864161.480719
docker,mlp,20,3,113.687500000,49.507617188,46.562500000,100,5,1787864195.816495
docker,mlp,20,4,114.136718750,49.487109375,46.537500000,100,5,1787864228.747207
docker,mlp,20,5,113.632812500,49.386718750,46.453125000,100,5,1787864259.417299
docker,mlp,20,6,114.324218750,49.558203125,46.589843750,100,5,1787864291.085296
docker,mlp,20,7,113.808593750,49.602734375,46.652343750,100,5,1787864322.215444
docker,mlp,20,8,113.589843750,49.501953125,46.554687500,100,5,1787864353.288903
docker,mlp,20,9,113.554687500,49.437500000,46.510937500,100,5,1787864384.116367
docker,mlp,20,10,113.535156250,49.578125000,46.636718750,100,5,1787864415.364430
docker,mlp,20,11,113.957031250,49.589843750,46.644531250,100,5,1787864445.915596
docker,mlp,20,12,114.105468750,49.582031250,46.651562500,100,5,1787864476.936327
docker,mlp,20,13,114.128906250,49.401757813,46.457031250,100,5,1787864507.835185
docker,mlp,20,14,113.968750000,49.530664063,46.578125000,100,5,1787864538.500683
docker,mlp,20,15,114.359375000,49.698632813,46.750000000,100,5,1787864569.419448
docker,mlp,20,16,114.152343750,49.590429687,46.632812500,100,5,1787864600.638330
docker,mlp,20,17,113.710937500,49.476562500,46.558593750,100,5,1787864631.596844
docker,mlp,20,18,114.281250000,49.596875000,46.640625000,100,5,1787864662.925138
docker,mlp,20,19,113.617187500,49.501757813,46.593750000,100,5,1787864693.908627
docker,mlp,20,20,114.273437500,49.609179688,46.660156250,100,5,1787864725.068085
docker,mlp,100,1,568.488281250,235.701171875,232.207031250,100,5,1787864876.059761
docker,mlp,100,2,568.441406250,236.209765625,232.718750000,100,5,1787865027.247516
docker,mlp,100,3,570.148437500,236.671679687,233.175781250,100,5,1787865178.576076
docker,mlp,100,4,570.089843750,236.165820312,232.671875000,100,5,1787865329.700573
docker,mlp,100,5,569.878906250,236.527734375,233.031250000,100,5,1787865479.774068
docker,mlp,100,6,570.328125000,236.556835938,233.058593750,100,5,1787865631.390178
docker,mlp,100,7,570.074218750,236.442968750,232.953125000,100,5,1787865781.437593
docker,mlp,100,8,569.117187500,236.373828125,232.878906250,100,5,1787865932.510490
docker,mlp,100,9,569.253906250,236.317187500,232.820312500,100,5,1787866083.665177
