backend,model,physical_tenants,repetition,rss_mib,pss_mib,private_mib,warmup_requests_per_unit,memory_samples,timestamp_unix
docker,naive_bayes,1,1,5.695312500,3.209570312,2.339843750,100,5,1787668224.730487
docker,naive_bayes,1,2,5.656250000,3.199218750,2.339062500,100,5,1787668228.090861
docker,naive_bayes,1,3,5.769531250,3.231835938,2.355468750,100,5,1787668231.603287
docker,naive_bayes,1,4,5.730468750,3.192187500,2.320312500,100,5,1787668235.080759
docker,naive_bayes,1,5,5.625000000,3.158984375,2.323437500,100,5,1787668238.511245
docker,naive_bayes,1,6,5.636718750,3.197656250,2.335937500,100,5,1787668241.990667
docker,naive_bayes,1,7,5.800781250,3.257031250,2.375000000,100,5,1787668245.457477
docker,naive_bayes,1,8,5.753906250,3.211132812,2.328125000,100,5,1787668248.949752
docker,naive_bayes,1,9,5.628906250,3.169921875,2.316406250,100,5,1787668252.437889
docker,naive_bayes,1,10,5.746093750,3.207812500,2.335937500,100,5,1787668255.918426
docker,naive_bayes,1,11,5.656250000,3.179882812,2.351562500,100,5,1787668259.398636
docker,naive_bayes,1,12,5.613281250,3.170312500,2.323437500,100,5,1787668262.863360
docker,naive_bayes,1,13,5.691406250,3.187890625,2.320312500,100,5,1787668266.338651
docker,naive_bayes,1,14,5.738281250,3.212304688,2.343750000,100,5,1787668269.821166
docker,naive_bayes,1,15,5.687500000,3.209765625,2.351562500,100,5,1787668273.328722
docker,naive_bayes,1,16,5.562500000,3.164453125,2.324218750,100,5,1787668276.781200
docker,naive_bayes,1,17,5.738281250,3.211328125,2.343750000,100,5,1787668280.241548
docker,naive_bayes,1,18,5.652343750,3.186328125,2.355468750,100,5,1787668283.743757
docker,naive_bayes,1,19,5.781250000,3.233398438,2.359375000,100,5,1787668287.199460
docker,naive_bayes,1,20,5.722656250,3.208398438,2.355468750,100,5,1787668290.702354
docker,naive_bayes,5,1,28.304687500,13.563085938,11.627343750,100,5,1787668456.052070
docker,naive_bayes,5,2,28.472656250,13.578515625,11.609375000,100,5,1787668464.964968
docker,naive_bayes,5,3,28.437500000,13.587695312,11.624218750,100,5,1787668473.936858
docker,naive_bayes,5,4,28.375000000,13.595703125,11.632031250,100,5,1787668482.906088
docker,naive_bayes,5,5,28.496093750,13.583789062,11.625000000,100,5,1787668491.920887
docker,naive_bayes,5,6,28.511718750,13.613281250,11.667968750,100,5,1787668500.877887
docker,naive_bayes,5,7,28.187500000,13.553906250,11.613281250,100,5,1787668509.993239
docker,naive_bayes,5,8,28.496093750,13.583007812,11.609375000,100,5,1787668519.143462
docker,naive_bayes,5,9,28.441406250,13.604687500,11.632031250,100,5,1787668528.252828
docker,naive_bayes,5,10,28.429687500,13.605859375,11.654687500,100,5,1787668537.386544
docker,naive_bayes,5,11,28.457031250,13.575000000,11.605468750,100,5,1787668546.685407
docker,naive_bayes,5,12,28.386718750,13.568359375,11.621093750,100,5,1787668555.897340
docker,naive_bayes,5,13,28.410156250,13.620312500,11.675781250,100,5,1787668565.295826
docker,naive_bayes,5,14,28.179687500,13.585742187,11.640625000,100,5,1787668574.688327
docker,naive_bayes,5,15,28.550781250,13.615234375,11.650781250,100,5,1787668583.903393
docker,naive_bayes,5,16,28.519531250,13.605468750,11.651562500,100,5,1787668593.221497
docker,naive_bayes,5,17,28.433593750,13.625585938,11.683593750,100,5,1787668602.492918
docker,naive_bayes,5,18,28.253906250,13.557421875,11.605468750,100,5,1787668611.861191
docker,naive_bayes,5,19,28.429687500,13.587500000,11.625000000,100,5,1787668621.158941
docker,naive_bayes,5,20,28.367187500,13.610156250,11.656250000,100,5,1787668630.508385
docker,naive_bayes,10,1,56.640625000,25.754882812,23.269531250,100,5,1787668647.163138
docker,naive_bayes,10,2,56.964843750,25.717773438,23.210937500,100,5,1787668663.435196
docker,naive_bayes,10,3,56.792968750,25.755468750,23.275781250,100,5,1787668679.456950
docker,naive_bayes,10,4,57.054687500,25.735937500,23.261718750,100,5,1787668695.545523
docker,naive_bayes,10,5,56.835937500,25.713476562,23.226562500,100,5,1787668711.763376
docker,naive_bayes,10,6,57.027343750,25.748242188,23.261718750,100,5,1787668728.062228
docker,naive_bayes,10,7,56.746093750,25.725781250,23.242187500,100,5,1787668744.302214
docker,naive_bayes,10,8,56.968750000,25.851367187,23.353906250,100,5,1787668760.468214
docker,naive_bayes,10,9,56.871093750,25.781835937,23.292968750,100,5,1787668776.856054
docker,naive_bayes,10,10,56.867187500,25.734960937,23.251562500,100,5,1787668793.062033
docker,naive_bayes,10,11,56.863281250,25.761328125,23.267968750,100,5,1787668809.300168
docker,naive_bayes,10,12,56.851562500,25.761718750,23.269531250,100,5,1787668825.632706
docker,naive_bayes,10,13,56.925781250,25.773437500,23.296875000,100,5,1787668841.979636
docker,naive_bayes,10,14,56.734375000,25.737695313,23.250000000,100,5,1787668858.234701
docker,naive_bayes,10,15,56.828125000,25.780078125,23.296093750,100,5,1787668874.456373
docker,naive_bayes,10,16,56.851562500,25.709960938,23.222656250,100,5,1787668890.588534
docker,naive_bayes,10,17,56.843750000,25.794726562,23.328125000,100,5,1787668906.807683
docker,naive_bayes,10,18,56.781250000,25.795312500,23.312500000,100,5,1787668922.967954
docker,naive_bayes,10,19,56.976562500,25.799218750,23.308593750,100,5,1787668939.250047
docker,naive_bayes,10,20,56.738281250,25.706445313,23.233593750,100,5,1787668955.591416
docker,naive_bayes,20,1,113.730468750,49.560351563,46.627343750,100,5,1787668986.071125
docker,naive_bayes,20,2,114.000000000,49.580078125,46.638281250,100,5,1787669016.858287
docker,naive_bayes,20,3,113.687500000,49.402929687,46.468750000,100,5,1787669047.418618
docker,naive_bayes,20,4,113.835937500,49.405078125,46.478906250,100,5,1787669077.955074
docker,naive_bayes,20,5,113.671875000,49.466992187,46.522656250,100,5,1787669108.699752
docker,naive_bayes,20,6,114.046875000,49.530664063,46.566406250,100,5,1787669139.276220
docker,naive_bayes,20,7,113.996093750,49.611132813,46.664062500,100,5,1787669169.914040
docker,naive_bayes,20,8,113.957031250,49.519531250,46.580468750,100,5,1787669200.741769
docker,naive_bayes,20,9,113.785156250,49.511328125,46.581250000,100,5,1787669231.219355
docker,naive_bayes,20,10,113.875000000,49.585351563,46.648437500,100,5,1787669261.887319
docker,naive_bayes,20,11,113.488281250,49.352929688,46.414062500,100,5,1787669292.367387
docker,naive_bayes,20,12,113.992187500,49.507617188,46.557812500,100,5,1787669322.980087
