backend,model,containers,repetition,rss_mib,pss_mib,private_mib
docker,naive_bayes,1,1,5.546875,3.1150390625,2.265625
docker,naive_bayes,1,2,5.6328125,3.16015625,2.296875
docker,naive_bayes,1,3,5.69140625,3.1822265625,2.3203125
docker,naive_bayes,1,4,5.5234375,3.10078125,2.2734375
docker,naive_bayes,1,5,5.59765625,3.1416015625,2.28046875
docker,naive_bayes,5,1,28.30859375,13.331640625,11.37109375
docker,naive_bayes,5,2,28.0859375,13.342578125,11.37890625
docker,naive_bayes,5,3,28.140625,13.293359375,11.33984375
docker,naive_bayes,5,4,28.15234375,13.3353515625,11.37109375
docker,naive_bayes,5,5,28.0546875,13.2990234375,11.33984375
docker,naive_bayes,10,1,56.30859375,25.1814453125,22.69453125
docker,naive_bayes,10,2,56.26953125,25.184765625,22.678125
docker,naive_bayes,10,3,56.23828125,25.18671875,22.703125
docker,naive_bayes,10,4,56.375,25.2263671875,22.73046875
docker,naive_bayes,10,5,56.23046875,25.1841796875,22.709375
docker,naive_bayes,20,1,112.30078125,48.3150390625,45.390625
docker,naive_bayes,20,2,113.00390625,48.38203125,45.4296875
docker,naive_bayes,20,3,112.8046875,48.3056640625,45.34765625
docker,naive_bayes,20,4,112.7265625,48.2837890625,45.33203125
docker,naive_bayes,20,5,112.765625,48.3884765625,45.4453125
