backend,model,physical_tenants,repetition,rss_mib,pss_mib,private_mib,warmup_requests_per_unit,memory_samples,timestamp_unix
docker,random_forest,1,1,5.761718750,3.244335937,2.357812500,100,5,1787785181.261172
docker,random_forest,1,2,5.691406250,3.201953125,2.316406250,100,5,1787785184.747402
docker,random_forest,1,3,5.730468750,3.213476562,2.343750000,100,5,1787785188.241080
docker,random_forest,1,4,5.632812500,3.162890625,2.328125000,100,5,1787785191.722313
docker,random_forest,1,5,5.769531250,3.217578125,2.320312500,100,5,1787785195.204580
docker,random_forest,1,6,5.703125000,3.200585938,2.316406250,100,5,1787785198.748149
docker,random_forest,1,7,5.687500000,3.200781250,2.347656250,100,5,1787785202.333253
docker,random_forest,1,8,5.746093750,3.258984375,2.375000000,100,5,1787785205.978837
docker,random_forest,1,9,5.644531250,3.193554687,2.320312500,100,5,1787785209.478880
docker,random_forest,1,10,5.695312500,3.223632812,2.355468750,100,5,1787785213.043573
docker,random_forest,1,11,5.761718750,3.205664062,2.324218750,100,5,1787785216.537949
docker,random_forest,1,12,5.687500000,3.199804687,2.316406250,100,5,1787785220.036201
docker,random_forest,1,13,5.652343750,3.216796875,2.367187500,100,5,1787785223.552521
docker,random_forest,1,14,5.699218750,3.221875000,2.347656250,100,5,1787785227.056059
docker,random_forest,1,15,5.726562500,3.212695313,2.332031250,100,5,1787785230.561176
docker,random_forest,1,16,5.750000000,3.204296875,2.324218750,100,5,1787785234.072165
docker,random_forest,1,17,5.710937500,3.229882813,2.351562500,100,5,1787785237.583345
docker,random_forest,1,18,5.730468750,3.258203125,2.378906250,100,5,1787785241.089394
docker,random_forest,1,19,5.761718750,3.214843750,2.332031250,100,5,1787785244.622779
docker,random_forest,1,20,5.718750000,3.196679688,2.328125000,100,5,1787785248.133157
docker,random_forest,20,1,114.152343750,49.494726562,46.562500000,100,5,1787785691.482455
docker,random_forest,20,2,114.335937500,49.530859375,46.597656250,100,5,1787785725.285940
docker,random_forest,20,3,114.062500000,49.419726563,46.449218750,100,5,1787785759.600401
docker,random_forest,20,4,114.183593750,49.500585937,46.535156250,100,5,1787785792.252148
docker,random_forest,20,5,114.382812500,49.478125000,46.511718750,100,5,1787785822.173625
docker,random_forest,20,6,114.050781250,49.504296875,46.554687500,100,5,1787785849.087837
docker,random_forest,20,7,113.824218750,49.393945313,46.440625000,100,5,1787785875.247398
