backend,model,physical_tenants,repetition,rss_mib,pss_mib,private_mib,warmup_requests_per_unit,memory_samples,timestamp_unix
docker,svm,1,1,5.757812500,3.208203125,2.332031250,100,5,1787840065.614306
docker,svm,1,2,5.601562500,3.172460937,2.319531250,100,5,1787840068.985372
docker,svm,1,3,5.617187500,3.139062500,2.316406250,100,5,1787840072.364075
docker,svm,1,4,5.789062500,3.251953125,2.378906250,100,5,1787840075.883039
docker,svm,1,5,5.703125000,3.193554687,2.324218750,100,5,1787840079.373021
docker,svm,1,6,5.753906250,3.223242187,2.355468750,100,5,1787840082.871903
docker,svm,1,7,5.667968750,3.213281250,2.343750000,100,5,1787840086.375115
docker,svm,1,8,5.730468750,3.209375000,2.343750000,100,5,1787840089.921452
docker,svm,1,9,5.625000000,3.178710938,2.328125000,100,5,1787840093.417823
docker,svm,1,10,5.687500000,3.210546875,2.339843750,100,5,1787840096.904792
docker,svm,1,11,5.753906250,3.200585938,2.324218750,100,5,1787840100.425103
docker,svm,1,12,5.660156250,3.180468750,2.320312500,100,5,1787840103.959621
docker,svm,1,13,5.683593750,3.245117188,2.380468750,100,5,1787840107.463335
docker,svm,1,14,5.679687500,3.227148437,2.367187500,100,5,1787840110.997400
docker,svm,1,15,5.761718750,3.214062500,2.328125000,100,5,1787840114.537761
docker,svm,1,16,5.679687500,3.190429688,2.320312500,100,5,1787840118.012750
docker,svm,1,17,5.648437500,3.191796875,2.328125000,100,5,1787840121.538990
docker,svm,1,18,5.695312500,3.197070313,2.328906250,100,5,1787840125.074848
docker,svm,1,19,5.703125000,3.182031250,2.324218750,100,5,1787840128.652236
docker,svm,1,20,5.769531250,3.266992188,2.390625000,100,5,1787840132.164123
docker,svm,20,1,114.648437500,49.516406250,46.563281250,100,5,1787840593.848737
docker,svm,20,2,114.304687500,49.604492188,46.667968750,100,5,1787840627.670393
docker,svm,20,3,113.960937500,49.569140625,46.628906250,100,5,1787840662.120475
docker,svm,20,4,114.218750000,49.656054688,46.687500000,100,5,1787840695.197894
docker,svm,20,5,113.902343750,49.438671875,46.490625000,100,5,1787840726.911505
docker,svm,20,6,113.753906250,49.387500000,46.436718750,100,5,1787840758.500829
docker,svm,20,7,114.117187500,49.483593750,46.535156250,100,5,1787840789.498928
docker,svm,20,8,114.187500000,49.513671875,46.575781250,100,5,1787840820.404485
docker,svm,20,9,114.164062500,49.487500000,46.527343750,100,5,1787840851.374143
docker,svm,20,10,114.191406250,49.443945312,46.486718750,100,5,1787840882.418227
docker,svm,20,11,114.496093750,49.565625000,46.628906250,100,5,1787840913.400604
docker,svm,20,12,114.390625000,49.516406250,46.542968750,100,5,1787840944.046355
docker,svm,20,13,113.910156250,49.499609375,46.553906250,100,5,1787840975.008292
docker,svm,20,14,114.503906250,49.569921875,46.617187500,100,5,1787841006.109587
docker,svm,20,15,114.207031250,49.563476562,46.617187500,100,5,1787841037.128198
docker,svm,20,16,113.855468750,49.506054687,46.593750000,100,5,1787841068.038028
docker,svm,20,17,114.378906250,49.640039063,46.692968750,100,5,1787841099.134841
docker,svm,20,18,114.328125000,49.558984375,46.621093750,100,5,1787841130.109871
docker,svm,20,19,114.230468750,49.473242187,46.535156250,100,5,1787841161.218590
docker,svm,20,20,114.003906250,49.458593750,46.515625000,100,5,1787841192.079654
docker,svm,100,1,571.148437500,236.414843750,232.906250000,100,5,1787841343.757132
docker,svm,100,2,570.886718750,236.323437500,232.820312500,100,5,1787841494.552081
docker,svm,100,3,570.558593750,236.178710938,232.675781250,100,5,1787841645.586444
docker,svm,100,4,571.648437500,236.495117188,232.992187500,100,5,1787841796.903162
docker,svm,100,5,571.445312500,236.507031250,233.003906250,100,5,1787841947.728307
docker,svm,100,6,570.363281250,236.202734375,232.707031250,100,5,1787842099.017987
docker,svm,100,7,571.125000000,236.423828125,232.914062500,100,5,1787842249.934760
docker,svm,100,8,571.136718750,236.651171875,233.148437500,100,5,1787842400.843483
docker,svm,100,9,571.175781250,236.612304688,233.109375000,100,5,1787842551.723144
