backend,model,physical_tenants,repetition,rss_mib,pss_mib,private_mib,warmup_requests_per_unit,memory_samples,timestamp_unix
wasmtime,decision_tree,1,1,35.675781250,33.569335938,33.476562500,100,5,1787704841.905666
wasmtime,decision_tree,1,2,35.414062500,33.335937500,33.261718750,100,5,1787704843.781949
wasmtime,decision_tree,1,3,36.792968750,34.636718750,34.542968750,100,5,1787704845.655437
wasmtime,decision_tree,1,4,35.988281250,33.831054688,33.722656250,100,5,1787704847.530520
wasmtime,decision_tree,1,5,37.277343750,35.121093750,35.011718750,100,5,1787704849.402304
wasmtime,decision_tree,1,6,34.835937500,32.666015625,32.558593750,100,5,1787704851.345219
wasmtime,decision_tree,1,7,35.863281250,33.698242188,33.593750000,100,5,1787704853.224304
wasmtime,decision_tree,1,8,36.375000000,34.209960938,34.105468750,100,5,1787704855.150238
wasmtime,decision_tree,1,9,36.589843750,34.447265625,34.347656250,100,5,1787704857.089024
wasmtime,decision_tree,1,10,35.484375000,33.323242188,33.234375000,100,5,1787704858.967973
wasmtime,decision_tree,1,11,35.980468750,33.819335938,33.730468750,100,5,1787704860.841370
wasmtime,decision_tree,1,12,35.437500000,33.272460938,33.167968750,100,5,1787704862.722810
wasmtime,decision_tree,1,13,35.925781250,33.794921875,33.699218750,100,5,1787704864.604328
wasmtime,decision_tree,1,14,36.628906250,34.516601562,34.429687500,100,5,1787704866.485811
wasmtime,decision_tree,1,15,35.847656250,33.710937500,33.613281250,100,5,1787704868.364342
wasmtime,decision_tree,1,16,35.769531250,33.632812500,33.535156250,100,5,1787704870.304052
wasmtime,decision_tree,1,17,36.234375000,34.064453125,33.957031250,100,5,1787704872.239513
wasmtime,decision_tree,1,18,36.785156250,34.652343750,34.558593750,100,5,1787704874.178254
wasmtime,decision_tree,1,19,35.675781250,33.538867188,33.472656250,100,5,1787704876.114372
wasmtime,decision_tree,1,20,34.679687500,32.567382812,32.480468750,100,5,1787704877.987788
wasmtime,decision_tree,20,1,35.394531250,33.266601562,33.171875000,100,5,1787705211.683650
wasmtime,decision_tree,20,2,35.808593750,33.700195312,33.609375000,100,5,1787705213.982704
wasmtime,decision_tree,20,3,36.320312500,34.179687500,34.093750000,100,5,1787705216.485498
wasmtime,decision_tree,20,4,35.039062500,32.903320312,32.835937500,100,5,1787705219.076583
wasmtime,decision_tree,20,5,35.925781250,33.817382812,33.726562500,100,5,1787705221.624515
wasmtime,decision_tree,20,6,36.316406250,34.179687500,34.113281250,100,5,1787705224.251738
wasmtime,decision_tree,20,7,35.394531250,33.291015625,33.207031250,100,5,1787705226.809416
wasmtime,decision_tree,20,8,35.964843750,33.799804688,33.691406250,100,5,1787705229.378755
wasmtime,decision_tree,20,9,37.359375000,35.194335938,35.085937500,100,5,1787705231.904723
wasmtime,decision_tree,20,10,35.738281250,33.613281250,33.519531250,100,5,1787705234.538470
wasmtime,decision_tree,20,11,37.101562500,34.991210938,34.902343750,100,5,1787705237.063631
wasmtime,decision_tree,20,12,34.902343750,32.769531250,32.691406250,100,5,1787705239.595048
wasmtime,decision_tree,20,13,35.898437500,33.756835938,33.671875000,100,5,1787705242.123974
wasmtime,decision_tree,20,14,35.531250000,33.389648438,33.304687500,100,5,1787705244.640550
wasmtime,decision_tree,20,15,34.167968750,32.002929688,31.894531250,100,5,1787705247.225514
wasmtime,decision_tree,20,16,36.019531250,33.854492188,33.746093750,100,5,1787705249.756007
wasmtime,decision_tree,20,17,35.167968750,33.043945312,32.949218750,100,5,1787705252.273865
wasmtime,decision_tree,20,18,36.000000000,33.864257812,33.792968750,100,5,1787705254.799799
wasmtime,decision_tree,20,19,35.640625000,33.503906250,33.437500000,100,5,1787705257.317050
wasmtime,decision_tree,20,20,34.757812500,32.624023438,32.546875000,100,5,1787705259.966599
wasmtime,decision_tree,100,1,36.906250000,34.770507812,34.703125000,100,5,1787705264.374608
wasmtime,decision_tree,100,2,35.566406250,33.434570312,33.339843750,100,5,1787705268.301993
wasmtime,decision_tree,100,3,36.578125000,34.442382812,34.375000000,100,5,1787705272.274245
wasmtime,decision_tree,100,4,36.289062500,34.161132812,34.093750000,100,5,1787705276.217776
wasmtime,decision_tree,100,5,37.425781250,35.290039062,35.222656250,100,5,1787705280.651551
wasmtime,decision_tree,100,6,36.484375000,34.347656250,34.281250000,100,5,1787705284.594788
wasmtime,decision_tree,100,7,35.746093750,33.609375000,33.542968750,100,5,1787705288.832816
wasmtime,decision_tree,100,8,35.199218750,33.067382812,32.972656250,100,5,1787705292.776922
wasmtime,decision_tree,100,9,35.902343750,33.804687500,33.726562500,100,5,1787705296.967349
wasmtime,decision_tree,100,10,36.023437500,33.891601562,33.796875000,100,5,1787705300.923791
wasmtime,decision_tree,100,11,36.531250000,34.401367188,34.328125000,100,5,1787705304.883602
wasmtime,decision_tree,100,12,35.953125000,33.842773438,33.753906250,100,5,1787705308.828699
wasmtime,decision_tree,100,13,36.675781250,34.546679688,34.453125000,100,5,1787705313.415347
wasmtime,decision_tree,100,14,36.199218750,34.040039062,33.949218750,100,5,1787705317.598842
wasmtime,decision_tree,100,15,37.800781250,35.672851562,35.605468750,100,5,1787705321.846203
wasmtime,decision_tree,100,16,35.160156250,33.049804688,32.960937500,100,5,1787705326.588423
wasmtime,decision_tree,100,17,36.660156250,34.500976562,34.410156250,100,5,1787705330.880431
wasmtime,decision_tree,100,18,34.847656250,32.688476562,32.597656250,100,5,1787705335.058933
wasmtime,decision_tree,100,19,36.429687500,34.295898438,34.218750000,100,5,1787705339.513009
wasmtime,decision_tree,100,20,36.308593750,34.149414062,34.058593750,100,5,1787705343.474851
wasmtime,decision_tree,200,1,35.968750000,33.833007812,33.761718750,100,5,1787705349.814924
wasmtime,decision_tree,200,2,37.277343750,35.145507812,35.050781250,100,5,1787705356.045039
wasmtime,decision_tree,200,3,37.375000000,35.243164062,35.148437500,100,5,1787705362.411342
wasmtime,decision_tree,200,4,38.429687500,36.300000000,36.207031250,100,5,1787705368.415184
wasmtime,decision_tree,200,5,37.988281250,35.848632812,35.769531250,100,5,1787705374.746151
wasmtime,decision_tree,200,6,37.433593750,35.291992188,35.207031250,100,5,1787705380.699358
wasmtime,decision_tree,200,7,38.488281250,36.377929688,36.289062500,100,5,1787705386.937581
wasmtime,decision_tree,200,8,37.808593750,35.678710938,35.605468750,100,5,1787705393.667748
wasmtime,decision_tree,200,9,37.671875000,35.508789062,35.402343750,100,5,1787705399.862614
wasmtime,decision_tree,200,10,37.546875000,35.407226562,35.328125000,100,5,1787705406.126848
wasmtime,decision_tree,200,11,38.324218750,36.165039062,36.074218750,100,5,1787705412.317407
wasmtime,decision_tree,200,12,38.898437500,36.788085938,36.699218750,100,5,1787705418.856187
wasmtime,decision_tree,200,13,38.386718750,36.245117188,36.160156250,100,5,1787705425.168080
wasmtime,decision_tree,200,14,36.531250000,34.403320312,34.335937500,100,5,1787705431.383174
wasmtime,decision_tree,200,15,37.539062500,35.403320312,35.335937500,100,5,1787705437.976615
wasmtime,decision_tree,200,16,37.773437500,35.656250000,35.562500000,100,5,1787705444.050853
wasmtime,decision_tree,200,17,37.878906250,35.798828125,35.726562500,100,5,1787705450.069976
wasmtime,decision_tree,200,18,37.753906250,35.624414063,35.550781250,100,5,1787705456.439913
wasmtime,decision_tree,200,19,38.636718750,36.477539062,36.386718750,100,5,1787705463.224773
wasmtime,decision_tree,200,20,37.328125000,35.193359375,35.125000000,100,5,1787705470.309461
