backend,model,physical_tenants,repetition,rss_mib,pss_mib,private_mib,warmup_requests_per_unit,memory_samples,timestamp_unix
wasmtime,kmeans,20,1,19.710937500,17.549804688,17.460937500,100,5,1788106119.392491
wasmtime,kmeans,20,2,19.660156250,17.543945312,17.476562500,100,5,1788106121.827527
wasmtime,kmeans,20,3,19.640625000,17.507812500,17.429687500,100,5,1788106124.213696
wasmtime,kmeans,20,4,19.675781250,17.541992188,17.472656250,100,5,1788106126.459717
wasmtime,kmeans,20,5,19.601562500,17.458984375,17.375000000,100,5,1788106128.934248
wasmtime,kmeans,20,6,19.511718750,17.377929688,17.308593750,100,5,1788106131.371878
wasmtime,kmeans,20,7,19.816406250,17.649414062,17.546875000,100,5,1788106133.891016
wasmtime,kmeans,20,8,19.589843750,17.456054688,17.386718750,100,5,1788106136.328738
wasmtime,kmeans,20,9,19.617187500,17.450195312,17.347656250,100,5,1788106138.730738
wasmtime,kmeans,20,10,19.687500000,17.546875000,17.453125000,100,5,1788106141.206564
wasmtime,kmeans,20,11,19.652343750,17.518554688,17.449218750,100,5,1788106143.705791
wasmtime,kmeans,20,12,19.570312500,17.430664062,17.351562500,100,5,1788106146.190600
wasmtime,kmeans,20,13,19.675781250,17.535156250,17.441406250,100,5,1788106148.684388
wasmtime,kmeans,20,14,19.589843750,17.447265625,17.363281250,100,5,1788106151.169575
wasmtime,kmeans,20,15,19.531250000,17.403320312,17.328125000,100,5,1788106153.652780
wasmtime,kmeans,20,16,19.636718750,17.502929688,17.433593750,100,5,1788106156.146380
wasmtime,kmeans,20,17,19.648437500,17.518164062,17.453125000,100,5,1788106158.638700
wasmtime,kmeans,20,18,19.675781250,17.555664062,17.476562500,100,5,1788106161.132150
wasmtime,kmeans,20,19,19.718750000,17.582031250,17.515625000,100,5,1788106163.616208
wasmtime,kmeans,20,20,19.828125000,17.655273438,17.550781250,100,5,1788106166.103664
wasmtime,kmeans,100,1,20.585937500,18.450195312,18.378906250,100,5,1788106170.496475
wasmtime,kmeans,100,2,20.597656250,18.483203125,18.398437500,100,5,1788106174.328217
wasmtime,kmeans,100,3,20.484375000,18.339843750,18.246093750,100,5,1788106178.499787
wasmtime,kmeans,100,4,20.460937500,18.299804688,18.210937500,100,5,1788106182.357444
wasmtime,kmeans,100,5,20.464843750,18.324218750,18.230468750,100,5,1788106186.240389
wasmtime,kmeans,100,6,20.531250000,18.370117188,18.281250000,100,5,1788106190.233031
wasmtime,kmeans,100,7,20.585937500,18.446289062,18.367187500,100,5,1788106194.200900
wasmtime,kmeans,100,8,20.480468750,18.346679688,18.277343750,100,5,1788106198.161495
wasmtime,kmeans,100,9,20.621093750,18.454101562,18.351562500,100,5,1788106202.103770
wasmtime,kmeans,100,10,20.558593750,18.418945312,18.324218750,100,5,1788106206.132911
wasmtime,kmeans,100,11,20.453125000,18.339843750,18.253906250,100,5,1788106210.145563
wasmtime,kmeans,100,12,20.617187500,18.474609375,18.390625000,100,5,1788106213.976012
wasmtime,kmeans,100,13,20.488281250,18.361523438,18.292968750,100,5,1788106217.832537
wasmtime,kmeans,100,14,20.550781250,18.424804688,18.355468750,100,5,1788106222.237233
wasmtime,kmeans,100,15,20.449218750,18.334960938,18.265625000,100,5,1788106226.285559
wasmtime,kmeans,100,16,20.585937500,18.445312500,18.351562500,100,5,1788106230.147411
wasmtime,kmeans,100,17,20.527343750,18.399414062,18.324218750,100,5,1788106234.176800
wasmtime,kmeans,100,18,20.410156250,18.269531250,18.175781250,100,5,1788106238.038562
wasmtime,kmeans,100,19,20.394531250,18.260742188,18.191406250,100,5,1788106241.881447
wasmtime,kmeans,100,20,20.511718750,18.371093750,18.277343750,100,5,1788106245.748796
wasmtime,kmeans,200,1,21.554687500,19.421875000,19.343750000,100,5,1788106251.842714
wasmtime,kmeans,200,2,21.484375000,19.349609375,19.277343750,100,5,1788106257.841181
wasmtime,kmeans,200,3,21.726562500,19.559570312,19.457031250,100,5,1788106263.692458
wasmtime,kmeans,200,4,21.546875000,19.432617188,19.347656250,100,5,1788106269.552890
wasmtime,kmeans,200,5,21.507812500,19.381445312,19.312500000,100,5,1788106275.498966
wasmtime,kmeans,200,6,21.605468750,19.470703125,19.378906250,100,5,1788106281.417416
wasmtime,kmeans,200,7,21.656250000,19.541992188,19.457031250,100,5,1788106287.279809
wasmtime,kmeans,200,8,21.550781250,19.422851562,19.347656250,100,5,1788106293.335473
wasmtime,kmeans,200,9,21.609375000,19.448242188,19.359375000,100,5,1788106299.210989
wasmtime,kmeans,200,10,21.585937500,19.446289062,19.367187500,100,5,1788106305.281390
wasmtime,kmeans,200,11,21.554687500,19.420898438,19.328125000,100,5,1788106311.121606
wasmtime,kmeans,200,12,21.640625000,19.498046875,19.414062500,100,5,1788106317.003415
wasmtime,kmeans,200,13,21.578125000,19.443359375,19.371093750,100,5,1788106323.046500
wasmtime,kmeans,200,14,21.734375000,19.560546875,19.457031250,100,5,1788106329.118282
wasmtime,kmeans,200,15,21.636718750,19.464843750,19.359375000,100,5,1788106334.990461
wasmtime,kmeans,200,16,21.664062500,19.519531250,19.425781250,100,5,1788106340.831017
wasmtime,kmeans,200,17,21.660156250,19.526367188,19.457031250,100,5,1788106346.805232
wasmtime,kmeans,200,18,21.531250000,19.396484375,19.328125000,100,5,1788106353.215303
wasmtime,kmeans,200,19,21.636718750,19.475585938,19.386718750,100,5,1788106359.045331
wasmtime,kmeans,200,20,21.652343750,19.509765625,19.425781250,100,5,1788106364.843968
