backend,model,physical_tenants,repetition,rss_mib,pss_mib,private_mib,warmup_requests_per_unit,memory_samples,timestamp_unix
wasmtime,logistic_regression,1,1,19.980468750,17.834960938,17.753906250,100,5,1787946009.009964
wasmtime,logistic_regression,1,2,19.910156250,17.799804688,17.718750000,100,5,1787946010.873579
wasmtime,logistic_regression,1,3,19.855468750,17.701953125,17.601562500,100,5,1787946012.751773
wasmtime,logistic_regression,1,4,19.972656250,17.835937500,17.765625000,100,5,1787946014.616160
wasmtime,logistic_regression,1,5,19.937500000,17.802734375,17.734375000,100,5,1787946016.495770
wasmtime,logistic_regression,1,6,19.914062500,17.787109375,17.718750000,100,5,1787946018.373539
wasmtime,logistic_regression,1,7,19.902343750,17.771679688,17.699218750,100,5,1787946020.251901
wasmtime,logistic_regression,1,8,19.933593750,17.811523438,17.722656250,100,5,1787946022.130975
wasmtime,logistic_regression,1,9,19.937500000,17.802734375,17.734375000,100,5,1787946024.003620
wasmtime,logistic_regression,1,10,19.859375000,17.724609375,17.656250000,100,5,1787946025.883360
wasmtime,logistic_regression,1,11,19.914062500,17.784179688,17.710937500,100,5,1787946027.762675
wasmtime,logistic_regression,1,12,19.894531250,17.751367188,17.675781250,100,5,1787946029.636359
wasmtime,logistic_regression,1,13,19.812500000,17.677734375,17.609375000,100,5,1787946031.517874
wasmtime,logistic_regression,1,14,19.964843750,17.846679688,17.757812500,100,5,1787946033.385741
wasmtime,logistic_regression,1,15,19.957031250,17.795898438,17.710937500,100,5,1787946035.249713
wasmtime,logistic_regression,1,16,19.917968750,17.776367188,17.699218750,100,5,1787946037.122873
wasmtime,logistic_regression,1,17,19.972656250,17.817187500,17.714843750,100,5,1787946038.996215
wasmtime,logistic_regression,1,18,19.867187500,17.722656250,17.640625000,100,5,1787946040.866964
wasmtime,logistic_regression,1,19,19.875000000,17.741210938,17.671875000,100,5,1787946042.746003
wasmtime,logistic_regression,1,20,19.890625000,17.769531250,17.679687500,100,5,1787946044.617738
wasmtime,logistic_regression,20,1,20.152343750,18.024414062,17.949218750,100,5,1787946443.799392
wasmtime,logistic_regression,20,2,20.167968750,18.029296875,17.933593750,100,5,1787946446.164968
wasmtime,logistic_regression,20,3,20.046875000,17.914062500,17.820312500,100,5,1787946448.679805
wasmtime,logistic_regression,20,4,20.074218750,17.941406250,17.847656250,100,5,1787946451.081172
wasmtime,logistic_regression,20,5,20.113281250,17.986328125,17.910156250,100,5,1787946453.602846
wasmtime,logistic_regression,20,6,20.125000000,17.958007812,17.855468750,100,5,1787946456.122230
wasmtime,logistic_regression,20,7,20.023437500,17.889648438,17.820312500,100,5,1787946458.368057
wasmtime,logistic_regression,20,8,20.203125000,18.058007813,17.976562500,100,5,1787946460.769419
wasmtime,logistic_regression,20,9,20.199218750,18.072851562,18.003906250,100,5,1787946463.347583
wasmtime,logistic_regression,20,10,20.066406250,17.937500000,17.863281250,100,5,1787946465.889815
wasmtime,logistic_regression,20,11,20.191406250,18.024414062,17.921875000,100,5,1787946468.459576
wasmtime,logistic_regression,20,12,20.187500000,18.042968750,17.945312500,100,5,1787946470.942951
wasmtime,logistic_regression,20,13,20.117187500,17.983398438,17.914062500,100,5,1787946473.431103
wasmtime,logistic_regression,20,14,20.152343750,18.011718750,17.933593750,100,5,1787946475.910122
wasmtime,logistic_regression,20,15,20.109375000,17.970703125,17.875000000,100,5,1787946478.386376
wasmtime,logistic_regression,20,16,20.195312500,18.050781250,17.953125000,100,5,1787946480.861772
wasmtime,logistic_regression,20,17,20.125000000,17.991210938,17.921875000,100,5,1787946483.317005
wasmtime,logistic_regression,20,18,20.156250000,18.021679688,17.953125000,100,5,1787946485.792419
wasmtime,logistic_regression,20,19,20.238281250,18.098828125,18.003906250,100,5,1787946488.288061
wasmtime,logistic_regression,20,20,20.113281250,17.978515625,17.906250000,100,5,1787946490.759458
wasmtime,logistic_regression,100,1,21.007812500,18.873046875,18.800781250,100,5,1787946494.978028
wasmtime,logistic_regression,100,2,21.046875000,18.913085938,18.835937500,100,5,1787946499.007725
wasmtime,logistic_regression,100,3,20.925781250,18.782226562,18.699218750,100,5,1787946502.952882
wasmtime,logistic_regression,100,4,20.984375000,18.817382812,18.714843750,100,5,1787946506.834356
wasmtime,logistic_regression,100,5,21.039062500,18.905273438,18.835937500,100,5,1787946510.701935
wasmtime,logistic_regression,100,6,21.093750000,18.949023437,18.851562500,100,5,1787946514.559669
wasmtime,logistic_regression,100,7,21.023437500,18.861328125,18.773437500,100,5,1787946518.440371
wasmtime,logistic_regression,100,8,21.074218750,18.941406250,18.847656250,100,5,1787946522.302323
