backend,model,physical_tenants,repetition,rss_mib,pss_mib,private_mib,warmup_requests_per_unit,memory_samples,timestamp_unix
wasmtime,mlp,1,1,20.394531250,18.267578125,18.171875000,100,5,1787863062.468614
wasmtime,mlp,1,2,20.542968750,18.409179688,18.339843750,100,5,1787863064.340580
wasmtime,mlp,1,3,20.472656250,18.345703125,18.253906250,100,5,1787863066.207114
wasmtime,mlp,1,4,20.414062500,18.279296875,18.210937500,100,5,1787863068.077870
wasmtime,mlp,1,5,20.464843750,18.329101562,18.261718750,100,5,1787863069.952511
wasmtime,mlp,1,6,20.539062500,18.403320312,18.335937500,100,5,1787863071.831029
wasmtime,mlp,1,7,20.578125000,18.451171875,18.359375000,100,5,1787863073.715381
wasmtime,mlp,1,8,20.503906250,18.361328125,18.277343750,100,5,1787863075.605217
wasmtime,mlp,1,9,20.582031250,18.452148438,18.359375000,100,5,1787863077.484755
wasmtime,mlp,1,10,20.441406250,18.312500000,18.246093750,100,5,1787863079.359126
wasmtime,mlp,1,11,20.542968750,18.408203125,18.332031250,100,5,1787863081.240008
wasmtime,mlp,1,12,20.628906250,18.467773438,18.378906250,100,5,1787863083.125123
wasmtime,mlp,1,13,20.617187500,18.481250000,18.414062500,100,5,1787863084.997991
wasmtime,mlp,1,14,20.492187500,18.351562500,18.273437500,100,5,1787863086.879005
wasmtime,mlp,1,15,20.566406250,18.431640625,18.363281250,100,5,1787863088.758360
wasmtime,mlp,1,16,20.531250000,18.402343750,18.328125000,100,5,1787863090.638055
wasmtime,mlp,1,17,20.539062500,18.410156250,18.335937500,100,5,1787863092.518298
wasmtime,mlp,1,18,20.550781250,18.416015625,18.347656250,100,5,1787863094.395872
wasmtime,mlp,1,19,20.539062500,18.403320312,18.335937500,100,5,1787863096.267091
wasmtime,mlp,1,20,20.578125000,18.443359375,18.371093750,100,5,1787863098.157499
wasmtime,mlp,20,1,20.914062500,18.705078125,18.628906250,100,5,1787863835.250777
wasmtime,mlp,20,2,20.777343750,18.566406250,18.464843750,100,5,1787863837.687159
wasmtime,mlp,20,3,20.898437500,18.686523438,18.601562500,100,5,1787863840.153437
wasmtime,mlp,20,4,20.847656250,18.637695312,18.566406250,100,5,1787863842.695390
wasmtime,mlp,20,5,20.945312500,18.737304688,18.664062500,100,5,1787863845.229698
