backend,model,physical_tenants,repetition,rss_mib,pss_mib,private_mib,warmup_requests_per_unit,memory_samples,timestamp_unix
wasmtime,naive_bayes,1,1,19.570312500,17.453125000,17.363281250,100,5,1787666872.787282
wasmtime,naive_bayes,1,2,19.660156250,17.525781250,17.449218750,100,5,1787666874.662303
wasmtime,naive_bayes,1,3,19.691406250,17.577734375,17.488281250,100,5,1787666876.536793
wasmtime,naive_bayes,1,4,19.671875000,17.536132812,17.464843750,100,5,1787666878.410077
wasmtime,naive_bayes,1,5,19.710937500,17.576171875,17.507812500,100,5,1787666880.282604
wasmtime,naive_bayes,1,6,19.726562500,17.599609375,17.531250000,100,5,1787666882.160220
wasmtime,naive_bayes,1,7,19.726562500,17.597656250,17.523437500,100,5,1787666884.045226
wasmtime,naive_bayes,1,8,19.671875000,17.544921875,17.476562500,100,5,1787666885.925771
wasmtime,naive_bayes,1,9,19.726562500,17.591796875,17.523437500,100,5,1787666887.800299
wasmtime,naive_bayes,1,10,19.621093750,17.487304688,17.410156250,100,5,1787666889.676572
wasmtime,naive_bayes,1,11,19.769531250,17.633593750,17.566406250,100,5,1787666891.557729
wasmtime,naive_bayes,1,12,19.699218750,17.562500000,17.492187500,100,5,1787666893.435745
wasmtime,naive_bayes,1,13,19.695312500,17.554296875,17.472656250,100,5,1787666895.314753
wasmtime,naive_bayes,1,14,19.750000000,17.598632812,17.496093750,100,5,1787666897.200804
wasmtime,naive_bayes,1,15,19.597656250,17.470703125,17.402343750,100,5,1787666899.072503
wasmtime,naive_bayes,1,16,19.734375000,17.621093750,17.531250000,100,5,1787666900.955817
wasmtime,naive_bayes,1,17,19.714843750,17.580078125,17.511718750,100,5,1787666902.843588
wasmtime,naive_bayes,1,18,19.765625000,17.609375000,17.523437500,100,5,1787666904.715939
wasmtime,naive_bayes,1,19,19.640625000,17.500000000,17.417968750,100,5,1787666906.603727
wasmtime,naive_bayes,1,20,19.726562500,17.585937500,17.507812500,100,5,1787666908.483527
wasmtime,naive_bayes,5,1,19.664062500,17.551757812,17.464843750,100,5,1787667411.664925
wasmtime,naive_bayes,5,2,19.699218750,17.568164062,17.472656250,100,5,1787667413.648449
wasmtime,naive_bayes,5,3,19.765625000,17.629882812,17.535156250,100,5,1787667415.660547
wasmtime,naive_bayes,5,4,19.757812500,17.622070312,17.527343750,100,5,1787667417.669440
wasmtime,naive_bayes,5,5,19.699218750,17.562500000,17.496093750,100,5,1787667419.678789
wasmtime,naive_bayes,5,6,19.679687500,17.543945312,17.476562500,100,5,1787667421.685867
wasmtime,naive_bayes,5,7,19.726562500,17.594726562,17.500000000,100,5,1787667423.711891
wasmtime,naive_bayes,5,8,19.730468750,17.617187500,17.531250000,100,5,1787667425.746237
wasmtime,naive_bayes,5,9,19.703125000,17.537109375,17.433593750,100,5,1787667427.759922
wasmtime,naive_bayes,5,10,19.707031250,17.577148438,17.503906250,100,5,1787667429.773854
wasmtime,naive_bayes,5,11,19.746093750,17.609375000,17.539062500,100,5,1787667431.780205
wasmtime,naive_bayes,5,12,19.820312500,17.676757812,17.593750000,100,5,1787667433.790841
wasmtime,naive_bayes,5,13,19.660156250,17.519531250,17.441406250,100,5,1787667435.820017
wasmtime,naive_bayes,5,14,19.808593750,17.636718750,17.531250000,100,5,1787667437.850360
wasmtime,naive_bayes,5,15,19.750000000,17.619921875,17.546875000,100,5,1787667439.861635
wasmtime,naive_bayes,5,16,19.753906250,17.616210938,17.546875000,100,5,1787667441.889356
wasmtime,naive_bayes,5,17,19.703125000,17.574218750,17.507812500,100,5,1787667443.896824
wasmtime,naive_bayes,5,18,19.710937500,17.574414063,17.503906250,100,5,1787667445.921938
wasmtime,naive_bayes,5,19,19.714843750,17.578125000,17.511718750,100,5,1787667447.949712
wasmtime,naive_bayes,5,20,19.753906250,17.592773438,17.503906250,100,5,1787667449.987158
wasmtime,naive_bayes,10,1,19.679687500,17.566406250,17.480468750,100,5,1787667452.160594
wasmtime,naive_bayes,10,2,19.730468750,17.617187500,17.531250000,100,5,1787667454.332346
wasmtime,naive_bayes,10,3,19.867187500,17.731445312,17.664062500,100,5,1787667456.501450
wasmtime,naive_bayes,10,4,19.882812500,17.721679688,17.632812500,100,5,1787667458.681597
wasmtime,naive_bayes,10,5,19.843750000,17.713867188,17.648437500,100,5,1787667460.872582
wasmtime,naive_bayes,10,6,19.785156250,17.648437500,17.578125000,100,5,1787667463.055954
wasmtime,naive_bayes,10,7,19.804687500,17.667968750,17.597656250,100,5,1787667465.245318
wasmtime,naive_bayes,10,8,19.777343750,17.636718750,17.558593750,100,5,1787667467.424003
wasmtime,naive_bayes,10,9,19.750000000,17.616210938,17.539062500,100,5,1787667469.596167
wasmtime,naive_bayes,10,10,19.769531250,17.629882812,17.550781250,100,5,1787667471.780136
wasmtime,naive_bayes,10,11,19.757812500,17.596679688,17.507812500,100,5,1787667473.962335
wasmtime,naive_bayes,10,12,19.914062500,17.744140625,17.636718750,100,5,1787667476.153009
wasmtime,naive_bayes,10,13,19.734375000,17.599609375,17.531250000,100,5,1787667478.334632
wasmtime,naive_bayes,10,14,19.683593750,17.549804688,17.472656250,100,5,1787667480.532180
wasmtime,naive_bayes,10,15,19.855468750,17.712890625,17.628906250,100,5,1787667482.708557
wasmtime,naive_bayes,10,16,19.730468750,17.594726562,17.527343750,100,5,1787667484.880612
wasmtime,naive_bayes,10,17,19.722656250,17.608398438,17.523437500,100,5,1787667487.057555
wasmtime,naive_bayes,10,18,19.761718750,17.622070312,17.527343750,100,5,1787667489.233363
wasmtime,naive_bayes,10,19,19.890625000,17.758398437,17.664062500,100,5,1787667491.413516
wasmtime,naive_bayes,10,20,19.765625000,17.635937500,17.570312500,100,5,1787667493.594569
wasmtime,naive_bayes,20,1,19.878906250,17.743164062,17.671875000,100,5,1787667496.104186
wasmtime,naive_bayes,20,2,19.902343750,17.771484375,17.675781250,100,5,1787667498.613206
wasmtime,naive_bayes,20,3,19.941406250,17.805664062,17.738281250,100,5,1787667501.130485
wasmtime,naive_bayes,20,4,19.816406250,17.717773438,17.640625000,100,5,1787667503.640841
wasmtime,naive_bayes,20,5,19.941406250,17.797851562,17.714843750,100,5,1787667506.146130
wasmtime,naive_bayes,20,6,19.828125000,17.715820312,17.628906250,100,5,1787667508.654027
wasmtime,naive_bayes,20,7,19.871093750,17.736328125,17.640625000,100,5,1787667511.162642
wasmtime,naive_bayes,20,8,19.871093750,17.758593750,17.671875000,100,5,1787667513.666712
wasmtime,naive_bayes,20,9,19.906250000,17.763476562,17.679687500,100,5,1787667516.163648
wasmtime,naive_bayes,20,10,19.878906250,17.743164062,17.675781250,100,5,1787667518.659240
wasmtime,naive_bayes,20,11,19.960937500,17.821289062,17.726562500,100,5,1787667521.169802
wasmtime,naive_bayes,20,12,20.000000000,17.859375000,17.781250000,100,5,1787667523.668087
wasmtime,naive_bayes,20,13,19.871093750,17.758593750,17.671875000,100,5,1787667526.186170
wasmtime,naive_bayes,20,14,19.816406250,17.673828125,17.589843750,100,5,1787667528.679986
wasmtime,naive_bayes,20,15,19.925781250,17.783203125,17.699218750,100,5,1787667531.188892
wasmtime,naive_bayes,20,16,19.937500000,17.772460938,17.667968750,100,5,1787667533.691633
wasmtime,naive_bayes,20,17,19.796875000,17.660156250,17.593750000,100,5,1787667536.202531
wasmtime,naive_bayes,20,18,19.949218750,17.816406250,17.722656250,100,5,1787667538.711304
wasmtime,naive_bayes,20,19,19.976562500,17.833007812,17.750000000,100,5,1787667541.213932
wasmtime,naive_bayes,20,20,19.898437500,17.763671875,17.695312500,100,5,1787667543.722908
wasmtime,naive_bayes,50,1,20.238281250,18.150390625,18.074218750,100,5,1787667546.904975
wasmtime,naive_bayes,50,2,20.316406250,18.145898438,18.039062500,100,5,1787667550.187035
wasmtime,naive_bayes,50,3,20.261718750,18.125976562,18.058593750,100,5,1787667553.463453
wasmtime,naive_bayes,50,4,20.117187500,17.981445312,17.914062500,100,5,1787667556.349345
wasmtime,naive_bayes,50,5,20.160156250,18.016601562,17.933593750,100,5,1787667559.234766
wasmtime,naive_bayes,50,6,20.199218750,18.063671875,17.968750000,100,5,1787667562.485541
wasmtime,naive_bayes,50,7,20.156250000,18.020507812,17.953125000,100,5,1787667565.572698
wasmtime,naive_bayes,50,8,20.222656250,18.056640625,17.953125000,100,5,1787667568.463125
wasmtime,naive_bayes,50,9,20.214843750,18.075195312,17.996093750,100,5,1787667571.661429
wasmtime,naive_bayes,50,10,20.152343750,18.009765625,17.925781250,100,5,1787667574.566426
wasmtime,naive_bayes,50,11,20.187500000,18.051757812,17.980468750,100,5,1787667577.770113
wasmtime,naive_bayes,50,12,20.171875000,18.041015625,17.945312500,100,5,1787667581.052187
wasmtime,naive_bayes,50,13,20.246093750,18.114843750,18.019531250,100,5,1787667584.339538
wasmtime,naive_bayes,50,14,20.132812500,17.998046875,17.929687500,100,5,1787667587.591489
wasmtime,naive_bayes,50,15,20.343750000,18.178710938,18.074218750,100,5,1787667590.888024
wasmtime,naive_bayes,50,16,20.187500000,18.059570312,17.984375000,100,5,1787667594.288595
wasmtime,naive_bayes,50,17,20.269531250,18.134765625,18.062500000,100,5,1787667597.166440
wasmtime,naive_bayes,50,18,20.156250000,18.021484375,17.925781250,100,5,1787667600.048012
wasmtime,naive_bayes,50,19,20.226562500,18.091796875,18.023437500,100,5,1787667603.262218
wasmtime,naive_bayes,50,20,20.210937500,18.050000000,17.960937500,100,5,1787667606.141005
wasmtime,naive_bayes,100,1,20.699218750,18.556640625,18.472656250,100,5,1787667610.074231
wasmtime,naive_bayes,100,2,20.890625000,18.748046875,18.664062500,100,5,1787667614.303713
wasmtime,naive_bayes,100,3,20.757812500,18.619140625,18.523437500,100,5,1787667618.234504
wasmtime,naive_bayes,100,4,20.750000000,18.615234375,18.546875000,100,5,1787667622.154049
wasmtime,naive_bayes,100,5,20.753906250,18.618164062,18.546875000,100,5,1787667626.151869
wasmtime,naive_bayes,100,6,20.757812500,18.615234375,18.531250000,100,5,1787667630.498812
wasmtime,naive_bayes,100,7,20.796875000,18.668945312,18.601562500,100,5,1787667634.395222
wasmtime,naive_bayes,100,8,20.734375000,18.599609375,18.531250000,100,5,1787667639.103834
wasmtime,naive_bayes,100,9,20.777343750,18.612304688,18.507812500,100,5,1787667643.504132
wasmtime,naive_bayes,100,10,20.761718750,18.632812500,18.558593750,100,5,1787667647.656538
wasmtime,naive_bayes,100,11,20.703125000,18.567382812,18.496093750,100,5,1787667652.388894
wasmtime,naive_bayes,100,12,20.824218750,18.654296875,18.546875000,100,5,1787667657.021442
wasmtime,naive_bayes,100,13,20.847656250,18.708984375,18.613281250,100,5,1787667661.118334
wasmtime,naive_bayes,100,14,20.726562500,18.561523438,18.457031250,100,5,1787667665.829768
wasmtime,naive_bayes,100,15,20.781250000,18.621093750,18.531250000,100,5,1787667670.026076
wasmtime,naive_bayes,100,16,20.800781250,18.666015625,18.597656250,100,5,1787667674.162139
wasmtime,naive_bayes,100,17,20.757812500,18.623046875,18.554687500,100,5,1787667678.456391
wasmtime,naive_bayes,100,18,20.785156250,18.646484375,18.550781250,100,5,1787667682.360634
wasmtime,naive_bayes,100,19,20.820312500,18.691406250,18.617187500,100,5,1787667686.586524
wasmtime,naive_bayes,100,20,20.789062500,18.661132812,18.593750000,100,5,1787667690.515472
wasmtime,naive_bayes,200,1,21.945312500,19.784179688,19.679687500,100,5,1787667696.899587
wasmtime,naive_bayes,200,2,21.941406250,19.781250000,19.691406250,100,5,1787667702.914326
wasmtime,naive_bayes,200,3,21.937500000,19.768554688,19.660156250,100,5,1787667709.559747
wasmtime,naive_bayes,200,4,21.863281250,19.727343750,19.660156250,100,5,1787667715.737058
wasmtime,naive_bayes,200,5,21.808593750,19.679687500,19.605468750,100,5,1787667721.770085
wasmtime,naive_bayes,200,6,21.832031250,19.703125000,19.628906250,100,5,1787667727.727095
wasmtime,naive_bayes,200,7,21.863281250,19.729492188,19.652343750,100,5,1787667733.955171
wasmtime,naive_bayes,200,8,21.863281250,19.732421875,19.636718750,100,5,1787667740.992467
wasmtime,naive_bayes,200,9,21.765625000,19.630859375,19.562500000,100,5,1787667747.261853
wasmtime,naive_bayes,200,10,21.781250000,19.641601562,19.562500000,100,5,1787667753.222155
wasmtime,naive_bayes,200,11,21.898437500,19.733398438,19.628906250,100,5,1787667759.440488
wasmtime,naive_bayes,200,12,21.980468750,19.837890625,19.753906250,100,5,1787667765.422655
wasmtime,naive_bayes,200,13,21.925781250,19.796679687,19.722656250,100,5,1787667771.755369
wasmtime,naive_bayes,200,14,21.898437500,19.762695312,19.691406250,100,5,1787667777.744353
wasmtime,naive_bayes,200,15,21.871093750,19.735351562,19.664062500,100,5,1787667783.695383
wasmtime,naive_bayes,200,16,21.937500000,19.777343750,19.687500000,100,5,1787667789.701961
wasmtime,naive_bayes,200,17,21.839843750,19.704101562,19.632812500,100,5,1787667796.090821
