backend,model,physical_workers,repetition,warmup_requests_per_worker,rss_mib,pss_mib,private_mib
wasmtime,naive_bayes,1,1,100,19.73828125,17.6005859375,17.51171875
wasmtime,naive_bayes,1,2,100,19.71875,17.587890625,17.5
wasmtime,naive_bayes,1,3,100,19.5859375,17.447265625,17.37890625
wasmtime,naive_bayes,1,4,100,19.65625,17.5546875,17.48046875
wasmtime,naive_bayes,1,5,100,19.62890625,17.49296875,17.41796875
wasmtime,naive_bayes,5,1,100,19.765625,17.6279296875,17.5625
wasmtime,naive_bayes,5,2,100,19.6875,17.5517578125,17.4765625
wasmtime,naive_bayes,5,3,100,19.77734375,17.6396484375,17.57421875
wasmtime,naive_bayes,5,4,100,19.69921875,17.5625,17.47265625
wasmtime,naive_bayes,5,5,100,19.76953125,17.6064453125,17.51953125
wasmtime,naive_bayes,10,1,100,19.78125,17.666015625,17.58203125
wasmtime,naive_bayes,10,2,100,19.7890625,17.681640625,17.59765625
wasmtime,naive_bayes,10,3,100,19.80078125,17.66796875,17.578125
wasmtime,naive_bayes,10,4,100,19.90234375,17.7607421875,17.68359375
wasmtime,naive_bayes,10,5,100,19.7578125,17.62109375,17.5546875
wasmtime,naive_bayes,20,1,100,20.03515625,17.8681640625,17.765625
wasmtime,naive_bayes,20,2,100,19.9609375,17.79296875,17.69140625
wasmtime,naive_bayes,20,3,100,19.875,17.767578125,17.68359375
wasmtime,naive_bayes,20,4,100,19.96484375,17.84375,17.78125
wasmtime,naive_bayes,20,5,100,19.8515625,17.736328125,17.65234375
