backend,model,physical_tenants,repetition,rss_mib,pss_mib,private_mib,warmup_requests_per_unit,memory_samples,timestamp_unix
wasmtime,random_forest,1,1,37.406250000,35.250976562,35.156250000,100,5,1787785140.560976
wasmtime,random_forest,1,2,35.777343750,33.650390625,33.554687500,100,5,1787785142.438918
wasmtime,random_forest,1,3,37.289062500,35.158203125,35.062500000,100,5,1787785144.322025
wasmtime,random_forest,1,4,35.218750000,33.062500000,32.953125000,100,5,1787785146.202379
wasmtime,random_forest,1,5,36.273437500,34.146484375,34.050781250,100,5,1787785148.085870
wasmtime,random_forest,1,6,35.992187500,33.855468750,33.757812500,100,5,1787785150.018366
wasmtime,random_forest,1,7,37.074218750,34.937500000,34.839843750,100,5,1787785151.963098
wasmtime,random_forest,1,8,36.351562500,34.214843750,34.140625000,100,5,1787785153.847958
wasmtime,random_forest,1,9,35.871093750,33.737304688,33.660156250,100,5,1787785155.726413
wasmtime,random_forest,1,10,36.710937500,34.577148438,34.500000000,100,5,1787785157.611697
wasmtime,random_forest,1,11,35.976562500,33.811523438,33.707031250,100,5,1787785159.488400
wasmtime,random_forest,1,12,36.433593750,34.297851562,34.230468750,100,5,1787785161.427187
wasmtime,random_forest,1,13,35.414062500,33.271484375,33.187500000,100,5,1787785163.307866
wasmtime,random_forest,1,14,36.816406250,34.646679687,34.539062500,100,5,1787785165.175944
wasmtime,random_forest,1,15,35.527343750,33.399414062,33.332031250,100,5,1787785167.108231
wasmtime,random_forest,1,16,34.566406250,32.429687500,32.332031250,100,5,1787785168.988366
wasmtime,random_forest,1,17,36.324218750,34.159179688,34.054687500,100,5,1787785170.926902
wasmtime,random_forest,1,18,37.515625000,35.379882812,35.312500000,100,5,1787785172.814562
wasmtime,random_forest,1,19,36.902343750,34.769531250,34.691406250,100,5,1787785174.689898
wasmtime,random_forest,1,20,36.445312500,34.312500000,34.234375000,100,5,1787785176.571377
wasmtime,random_forest,20,1,37.031250000,34.300781250,34.187500000,100,5,1787785395.282972
wasmtime,random_forest,20,2,37.734375000,35.004882812,34.906250000,100,5,1787785397.820947
wasmtime,random_forest,20,3,37.875000000,35.170898438,35.050781250,100,5,1787785400.085807
wasmtime,random_forest,20,4,36.414062500,33.685546875,33.585937500,100,5,1787785402.555550
wasmtime,random_forest,20,5,36.410156250,33.713867188,33.601562500,100,5,1787785405.003355
wasmtime,random_forest,20,6,36.992187500,34.280273438,34.160156250,100,5,1787785407.576968
