backend,model,physical_tenants,repetition,rss_mib,pss_mib,private_mib,warmup_requests_per_unit,memory_samples,timestamp_unix
wasmtime,svm,1,1,20.273437500,18.140625000,18.046875000,100,5,1787840025.389669
wasmtime,svm,1,2,20.296875000,18.162109375,18.093750000,100,5,1787840027.264227
wasmtime,svm,1,3,20.355468750,18.190429688,18.085937500,100,5,1787840029.141629
wasmtime,svm,1,4,20.437500000,18.272460938,18.167968750,100,5,1787840031.018720
wasmtime,svm,1,5,20.324218750,18.154296875,18.046875000,100,5,1787840032.899398
wasmtime,svm,1,6,20.277343750,18.144531250,18.066406250,100,5,1787840034.781135
wasmtime,svm,1,7,20.363281250,18.227539062,18.156250000,100,5,1787840036.663356
wasmtime,svm,1,8,20.382812500,18.241210938,18.156250000,100,5,1787840038.543252
wasmtime,svm,1,9,20.390625000,18.255859375,18.187500000,100,5,1787840040.436002
wasmtime,svm,1,10,20.386718750,18.216796875,18.109375000,100,5,1787840042.309649
wasmtime,svm,1,11,20.320312500,18.178710938,18.093750000,100,5,1787840044.186376
wasmtime,svm,1,12,20.320312500,18.190820313,18.097656250,100,5,1787840046.058781
wasmtime,svm,1,13,20.316406250,18.150390625,18.046875000,100,5,1787840047.932573
wasmtime,svm,1,14,20.367187500,18.237304688,18.144531250,100,5,1787840049.811252
wasmtime,svm,1,15,20.285156250,18.124023438,18.035156250,100,5,1787840051.695184
wasmtime,svm,1,16,20.363281250,18.192382812,18.085937500,100,5,1787840053.568532
wasmtime,svm,1,17,20.335937500,18.200195312,18.132812500,100,5,1787840055.452095
wasmtime,svm,1,18,20.332031250,18.196289062,18.128906250,100,5,1787840057.326372
wasmtime,svm,1,19,20.285156250,18.120117188,18.015625000,100,5,1787840059.207533
wasmtime,svm,1,20,20.234375000,18.099609375,18.031250000,100,5,1787840061.100391
wasmtime,svm,20,1,20.679687500,18.391601562,18.304687500,100,5,1787840299.252832
wasmtime,svm,20,2,20.718750000,18.441406250,18.359375000,100,5,1787840301.802163
wasmtime,svm,20,3,20.609375000,18.327148438,18.242187500,100,5,1787840304.346324
