backend,model,repetition,requests,execution_mean_ns,execution_median_ns,execution_p95_ns,execution_p99_ns,inference_mean_ns,timestamp_unix
docker,decision_tree,1,5000,184.4044,151.0,288,361,368.8094,1788014405.7402127
docker,decision_tree,2,5000,197.2278,153.0,342,553,383.4332,1788014411.3628354
docker,decision_tree,3,5000,197.5648,156.0,327,445,379.124,1788014416.950862
docker,decision_tree,4,5000,192.3508,152.0,321,465,385.7196,1788014422.542392
docker,decision_tree,5,5000,196.4352,152.0,334,504,378.4984,1788014428.1829052
docker,decision_tree,6,5000,193.991,153.0,324,470,373.3512,1788014433.8922179
docker,decision_tree,7,5000,188.8432,154.0,308,406,371.2532,1788014439.1398335
docker,decision_tree,8,5000,183.8186,151.0,292,364,373.3948,1788014444.7570968
docker,decision_tree,9,5000,211.471,176.0,358,564,399.5252,1788014450.3291605
docker,decision_tree,10,5000,195.556,152.0,331,466,382.4612,1788014455.9568286
docker,decision_tree,11,5000,200.2978,154.0,343,471,379.6106,1788014461.6282315
docker,decision_tree,12,5000,196.8824,152.0,328,456,379.176,1788014467.261896
docker,decision_tree,13,5000,195.4942,153.0,332,552,379.839,1788014473.0606933
docker,decision_tree,14,5000,203.669,158.0,328,493,387.677,1788014478.501627
docker,decision_tree,15,5000,203.7052,154.0,371,624,386.8622,1788014484.3617177
docker,decision_tree,16,5000,163.3684,146.0,291,414,314.4576,1788014489.4358275
docker,decision_tree,17,5000,186.937,152.0,302,384,369.181,1788014494.0758893
docker,decision_tree,18,5000,237.3238,208.0,545,697,430.3774,1788014501.014862
docker,decision_tree,19,5000,209.108,155.0,385,644,396.6592,1788014507.1835864
docker,decision_tree,20,5000,194.4502,152.0,331,469,380.3154,1788014512.8048425
docker,decision_tree,21,5000,194.5014,152.0,328,484,378.0234,1788014518.3183253
docker,decision_tree,22,5000,186.039,151.0,296,402,370.7048,1788014523.497695
docker,decision_tree,23,5000,224.7598,196.0,456,750,416.2574,1788014530.3386664
docker,decision_tree,24,5000,187.299,151.0,308,400,374.1002,1788014535.2200963
docker,decision_tree,25,5000,192.326,152.0,300,394,375.0134,1788014539.9835181
docker,decision_tree,26,5000,202.0582,152.0,331,516,387.4096,1788014545.2669613
docker,decision_tree,27,5000,198.7692,152.0,348,565,382.5266,1788014550.5272489
docker,decision_tree,28,5000,210.1914,209.0,356,469,370.5524,1788014555.7764962
docker,decision_tree,29,5000,184.7006,151.0,304,392,367.7836,1788014560.1955514
docker,decision_tree,30,5000,183.4526,151.0,288,360,367.4844,1788014564.363777
docker,decision_tree,31,5000,182.8796,151.0,287,355,369.488,1788014569.068803
docker,decision_tree,32,5000,196.154,152.0,332,584,382.0202,1788014574.3755157
