backend,model,repetition,requests,execution_mean_ns,execution_median_ns,execution_p95_ns,execution_p99_ns,inference_mean_ns,timestamp_unix
docker,kmeans,1,5000,148.7086,150.0,166,171,374.6258,1788014731.302594
docker,kmeans,2,5000,110.7752,108.0,120,141,292.4708,1788014736.5433457
docker,kmeans,3,5000,108.1192,108.0,116,193,292.9912,1788014741.7683802
docker,kmeans,4,5000,112.8688,109.0,162,180,295.9308,1788014747.1539865
docker,kmeans,5,5000,117.2006,109.0,121,208,298.4952,1788014752.7719138
docker,kmeans,6,5000,112.383,108.0,116,160,297.2328,1788014758.1698384
docker,kmeans,7,5000,108.311,108.0,116,170,285.4778,1788014763.0747745
docker,kmeans,8,5000,110.1748,108.0,116,127,290.1,1788014768.573301
docker,kmeans,9,5000,113.2352,109.0,122,146,300.1848,1788014774.0866058
docker,kmeans,10,5000,110.079,109.0,120,136,289.944,1788014779.552029
docker,kmeans,11,5000,111.1254,108.0,119,160,313.2018,1788014784.815918
docker,kmeans,12,5000,109.3638,108.0,115,124,288.6468,1788014790.006857
docker,kmeans,13,5000,109.699,108.0,116,155,291.234,1788014795.491807
docker,kmeans,14,5000,109.4064,108.0,140,185,283.9886,1788014800.9650779
docker,kmeans,15,5000,155.401,150.0,240,270,383.5982,1788014808.4007542
docker,kmeans,16,5000,142.4218,148.0,164,194,354.341,1788014814.097482
docker,kmeans,17,5000,112.3622,109.0,120,148,321.2546,1788014819.5719268
docker,kmeans,18,5000,110.4664,108.0,115,136,293.345,1788014824.9607031
docker,kmeans,19,5000,110.8316,108.0,116,172,297.7124,1788014830.1708515
docker,kmeans,20,5000,97.791,108.0,127,199,255.612,1788014835.3027327
docker,kmeans,21,5000,130.9854,115.0,162,200,337.9376,1788014840.5384617
docker,kmeans,22,5000,109.8076,108.0,115,147,290.2134,1788014845.470348
docker,kmeans,23,5000,110.743,109.0,119,169,295.4574,1788014850.5856633
docker,kmeans,24,5000,115.6852,108.0,116,220,298.276,1788014856.0654569
docker,kmeans,25,5000,110.0884,108.0,116,128,290.124,1788014861.2988899
docker,kmeans,26,5000,106.0804,108.0,116,140,278.278,1788014866.2905343
docker,kmeans,27,5000,128.4982,139.5,164,200,324.4678,1788014871.3657026
docker,kmeans,28,5000,111.368,109.0,120,162,296.4778,1788014876.0798972
docker,kmeans,29,5000,106.4422,108.0,116,145,284.3092,1788014881.0357974
docker,kmeans,30,5000,113.8306,109.0,151,178,325.7172,1788014885.8012187
docker,kmeans,31,5000,137.8388,147.0,162,170,349.5048,1788014891.0443342
docker,kmeans,32,5000,111.048,108.0,117,184,292.3322,1788014896.3206687
docker,kmeans,33,5000,113.0914,108.0,116,167,293.1964,1788014901.1501408
docker,kmeans,34,5000,112.781,109.0,123,160,322.3452,1788014906.316152
docker,kmeans,35,5000,114.8054,109.0,154,200,327.4524,1788014911.833456
docker,kmeans,36,5000,109.335,108.0,116,193,286.9388,1788014917.0358648
docker,kmeans,37,5000,150.34,150.0,165,169,366.2332,1788014921.5283365
docker,kmeans,38,5000,107.5826,108.0,116,155,281.684,1788014926.2839913
docker,kmeans,39,5000,112.372,108.0,116,189,295.7988,1788014931.1013305
docker,kmeans,40,5000,109.6194,108.0,115,129,289.471,1788014935.9412258
docker,kmeans,41,5000,109.464,108.0,115,126,289.055,1788014940.9846835
docker,kmeans,42,5000,114.4336,109.0,158,240,324.3304,1788014947.1478887
docker,kmeans,43,5000,111.377,109.0,122,153,310.4624,1788014952.395104
docker,kmeans,44,5000,146.98,149.0,165,169,358.927,1788014956.59625
docker,kmeans,45,5000,111.3308,108.0,116,221,293.1998,1788014962.679816
docker,kmeans,46,5000,141.7424,148.0,166,212,357.844,1788014968.2057824
docker,kmeans,47,5000,153.289,151.0,208,248,381.3968,1788014975.190089
docker,kmeans,48,5000,110.0046,108.0,115,160,287.7946,1788014980.2224884
docker,kmeans,49,5000,113.9144,111.0,125,132,295.3072,1788014984.9683325
docker,kmeans,50,5000,130.324,113.0,161,168,342.419,1788014989.5974202
docker,kmeans,51,5000,112.6358,108.0,119,190,293.5586,1788014995.167307
docker,kmeans,52,5000,108.524,108.0,116,144,283.1878,1788015000.033566
docker,kmeans,53,5000,110.855,108.0,117,124,291.9804,1788015004.4110544
docker,kmeans,54,5000,102.5708,108.0,115,128,270.6692,1788015008.7078025
docker,kmeans,55,5000,142.2312,149.0,165,196,342.5992,1788015013.9257627
docker,kmeans,56,5000,109.3234,108.0,115,122,290.8138,1788015018.342785
docker,kmeans,57,5000,132.918,145.0,161,192,345.8488,1788015023.2127028
docker,kmeans,58,5000,111.2334,109.0,124,136,290.6656,1788015027.572821
docker,kmeans,59,5000,110.9696,108.0,116,195,296.4956,1788015032.969439
docker,kmeans,60,5000,110.2976,109.0,116,135,290.1256,1788015038.1641114
