backend,model,repetition,requests,execution_mean_ns,execution_median_ns,execution_p95_ns,execution_p99_ns,inference_mean_ns,timestamp_unix
docker,logistic_regression,1,5000,182.3854,182.0,187,191,356.3418,1788013307.3240528
docker,logistic_regression,2,5000,191.8806,182.0,187,190,364.7958,1788013311.1478157
docker,logistic_regression,3,5000,173.2152,181.0,193,230,331.4968,1788013315.0061235
docker,logistic_regression,4,5000,184.3632,182.0,188,192,357.276,1788013319.9668348
docker,logistic_regression,5,5000,188.1192,182.0,188,334,363.795,1788013324.478934
docker,logistic_regression,6,5000,161.367,179.0,260,273,301.0254,1788013329.1576242
docker,logistic_regression,7,5000,190.7008,182.0,187,190,388.2898,1788013334.59378
docker,logistic_regression,8,5000,204.681,182.0,265,783,386.1756,1788013341.3568037
docker,logistic_regression,9,5000,186.9764,182.0,188,313,364.273,1788013346.6688256
docker,logistic_regression,10,5000,179.902,182.0,187,191,354.3986,1788013351.6850986
docker,logistic_regression,11,5000,156.1494,180.0,186,206,307.8336,1788013355.9643855
docker,logistic_regression,12,5000,181.6528,182.0,188,238,359.5096,1788013360.8642132
docker,logistic_regression,13,5000,188.266,182.0,187,284,363.0746,1788013365.7414274
docker,logistic_regression,14,5000,181.3666,182.0,187,190,357.794,1788013370.388023
docker,logistic_regression,15,5000,186.9582,182.0,188,250,364.1662,1788013375.1734707
docker,logistic_regression,16,5000,187.9128,182.0,192,283,364.7004,1788013380.3518283
docker,logistic_regression,17,5000,188.8534,182.0,188,276,364.3796,1788013385.5072474
docker,logistic_regression,18,5000,186.6368,182.0,188,283,362.8502,1788013390.5071893
docker,logistic_regression,19,5000,183.764,183.0,189,220,366.363,1788013395.4494693
docker,logistic_regression,20,5000,185.6454,182.0,187,238,362.456,1788013400.5431073
docker,logistic_regression,21,5000,184.5602,182.0,187,248,364.3558,1788013405.497296
docker,logistic_regression,22,5000,182.705,182.0,186,189,373.2858,1788013409.9251726
