backend,model,repetition,requests,execution_mean_ns,execution_median_ns,execution_p95_ns,execution_p99_ns,inference_mean_ns,timestamp_unix
docker,mlp,1,5000,3895.5214,3836.0,3931,3958,4076.4162,1788015713.987519
docker,mlp,2,5000,3489.486,3830.0,3876,4508,3656.4134,1788015719.4506652
docker,mlp,3,5000,3817.558,3835.0,3893,4176,4005.4942,1788015724.9713497
docker,mlp,4,5000,3785.1232,3832.0,3905,4469,3964.2048,1788015730.2748697
docker,mlp,5,5000,3032.4594,3820.0,3896,4324,3189.8222,1788015735.968243
docker,mlp,6,5000,3891.5182,3836.0,3918,4252,4078.3562,1788015741.6219323
docker,mlp,7,5000,3875.909,3836.0,3897,4233,4056.948,1788015747.1413724
docker,mlp,8,5000,3871.135,3834.0,3906,4076,4051.7132,1788015752.766543
docker,mlp,9,5000,3881.6072,3832.0,3893,4176,4071.1192,1788015758.248761
docker,mlp,10,5000,3707.0204,3830.0,3851,4435,3883.8738,1788015763.8628871
docker,mlp,11,5000,3692.0204,3832.0,3860,4253,3868.314,1788015769.4068193
docker,mlp,12,5000,3390.3342,3824.0,3852,4076,3548.173,1788015774.8779218
docker,mlp,13,5000,3877.4106,3833.0,3897,4045,4058.14,1788015780.3287582
docker,mlp,14,5000,3867.2616,3836.0,3938,4829,4048.012,1788015785.8693042
docker,mlp,15,5000,3787.6788,3832.0,3904,4057,3965.1868,1788015791.3358052
docker,mlp,16,5000,3860.8212,3833.0,3912,4336,4041.0624,1788015796.9434333
docker,mlp,17,5000,3866.387,3832.0,3859,4000,4045.5122,1788015802.4838464
docker,mlp,18,5000,3850.553,3832.0,3900,4187,4032.0364,1788015808.0190587
docker,mlp,19,5000,3892.215,3833.0,3876,4000,4074.4852,1788015813.5998929
docker,mlp,20,5000,3895.92,3838.0,3924,4200,4076.2228,1788015819.2942057
docker,mlp,21,5000,3865.3082,3834.0,3920,4400,4052.539,1788015824.7859619
docker,mlp,22,5000,3865.0538,3832.0,3887,4094,4044.6274,1788015829.9964845
