backend,model,repetition,requests,execution_mean_ns,execution_median_ns,execution_p95_ns,execution_p99_ns,inference_mean_ns,timestamp_unix
docker,naive_bayes,1,5000,1096.0102,1093.0,1126,1153,1275.7314,1788013944.5401938
docker,naive_bayes,2,5000,1101.1138,1095.0,1130,1474,1281.0566,1788013950.0913162
docker,naive_bayes,3,5000,1105.2744,1095.0,1124,1204,1291.5204,1788013955.0675783
docker,naive_bayes,4,5000,1110.502,1092.0,1122,1476,1291.2396,1788013960.5487406
docker,naive_bayes,5,5000,1115.6986,1090.0,1130,1912,1297.9648,1788013966.4151862
docker,naive_bayes,6,5000,1045.6622,1089.0,1124,1591,1220.977,1788013971.8587837
docker,naive_bayes,7,5000,1113.0162,1098.0,1127,1540,1292.0394,1788013977.2660654
docker,naive_bayes,8,5000,1103.4036,1092.0,1124,1384,1290.3904,1788013982.7647178
docker,naive_bayes,9,5000,1103.7142,1080.0,1120,1224,1284.0596,1788013988.2085388
docker,naive_bayes,10,5000,1104.0386,1094.0,1130,1252,1284.763,1788013993.5712311
docker,naive_bayes,11,5000,1072.54,1088.0,1122,1306,1248.12,1788013998.9337325
docker,naive_bayes,12,5000,1119.4236,1093.0,1123,1280,1301.722,1788014004.2487304
docker,naive_bayes,13,5000,1019.6924,1076.0,1126,1729,1190.4486,1788014009.5578918
docker,naive_bayes,14,5000,1111.829,1096.0,1125,1764,1297.8144,1788014015.237511
docker,naive_bayes,15,5000,1118.4878,1100.0,1190,2048,1300.2702,1788014021.0209036
docker,naive_bayes,16,5000,1117.0654,1106.0,1138,1705,1296.7806,1788014026.54522
docker,naive_bayes,17,5000,1092.9082,1096.0,1126,1240,1274.8318,1788014031.4696841
docker,naive_bayes,18,5000,1075.6674,1089.0,1118,1140,1252.0042,1788014035.8298512
docker,naive_bayes,19,5000,1085.9632,1090.0,1118,1146,1265.5244,1788014040.1117325
docker,naive_bayes,20,5000,1097.4272,1097.0,1133,1160,1275.603,1788014044.4198897
