backend,model,repetition,requests,execution_mean_ns,execution_median_ns,execution_p95_ns,execution_p99_ns,inference_mean_ns,timestamp_unix
docker,svm,1,5000,10980.3838,11084.0,11132,15122,11156.6422,1788015466.2022405
docker,svm,2,5000,10495.6812,11068.0,11132,14881,10666.2572,1788015470.4111419
docker,svm,3,5000,10164.102,11061.0,11130,13706,10329.222,1788015474.6171794
docker,svm,4,5000,11154.9728,11087.0,11135,12760,11334.3948,1788015479.9509447
docker,svm,5,5000,11161.8588,11088.0,11148,12456,11342.6562,1788015485.543847
docker,svm,6,5000,11012.6742,11091.0,11147,15769,11210.6862,1788015491.174048
docker,svm,7,5000,10916.7514,11085.0,11136,14760,11094.8864,1788015496.8239434
docker,svm,8,5000,9471.9142,11063.0,11134,12637,9627.0558,1788015502.4164593
docker,svm,9,5000,10965.1254,11085.0,11131,12516,11144.2336,1788015507.5606897
docker,svm,10,5000,11120.0544,11085.0,11130,14661,11305.6208,1788015512.5534234
docker,svm,11,5000,11245.2962,11089.0,11359,18178,11435.8346,1788015519.4024
docker,svm,12,5000,11157.7056,11087.0,11142,16638,11359.4542,1788015525.2383537
docker,svm,13,5000,10212.8708,11082.0,11135,14192,10399.3208,1788015530.8821664
docker,svm,14,5000,10900.0896,11079.0,11131,12612,11074.5678,1788015536.3334246
docker,svm,15,5000,11187.561,11088.0,11140,14791,11369.056,1788015541.7576535
docker,svm,16,5000,11128.825,11084.0,11127,14746,11318.7762,1788015546.7090483
docker,svm,17,5000,11220.69,11086.0,11138,16340,11402.9062,1788015552.2389178
docker,svm,18,5000,11091.7428,11084.0,11127,14016,11269.0652,1788015557.4435406
docker,svm,19,5000,11160.6602,11084.0,11136,16380,11339.7204,1788015562.517958
docker,svm,20,5000,9092.8224,11052.0,11124,11172,9246.7174,1788015566.7391608
docker,svm,21,5000,10559.1094,11060.0,11124,11746,10728.0896,1788015570.8888261
docker,svm,22,5000,11183.0134,11091.0,11134,14885,11360.963,1788015575.5271115
