backend,model,repetition,requests,execution_mean_ns,execution_median_ns,execution_p95_ns,execution_p99_ns,inference_mean_ns,timestamp_unix
wasmtime,decision_tree,1,5000,431.7232,411.0,511,729,982.379,1788014331.70889
wasmtime,decision_tree,2,5000,471.5468,422.0,526,575,978.9054,1788014334.3351338
wasmtime,decision_tree,3,5000,425.5784,405.0,495,601,847.2594,1788014336.9497206
wasmtime,decision_tree,4,5000,413.8218,405.0,487,521,796.977,1788014339.552211
wasmtime,decision_tree,5,5000,454.0298,414.0,534,604,910.5924,1788014342.198957
wasmtime,decision_tree,6,5000,475.7592,473.0,580,627,936.6364,1788014345.125996
wasmtime,decision_tree,7,5000,417.6116,407.0,498,531,823.4814,1788014347.725353
wasmtime,decision_tree,8,5000,409.026,395.0,485,533,834.356,1788014350.3189254
wasmtime,decision_tree,9,5000,414.1982,406.0,487,518,829.7984,1788014352.9147823
wasmtime,decision_tree,10,5000,464.7066,440.0,575,630,911.3368,1788014355.7345853
wasmtime,decision_tree,11,5000,433.6638,414.0,498,552,839.135,1788014358.3303397
wasmtime,decision_tree,12,5000,419.3186,397.0,482,524,832.4972,1788014360.9206629
wasmtime,decision_tree,13,5000,425.5032,404.0,493,545,854.8806,1788014363.4971206
wasmtime,decision_tree,14,5000,392.5022,391.0,485,523,742.3442,1788014366.090973
wasmtime,decision_tree,15,5000,432.9588,410.0,490,537,1023.2206,1788014368.6788669
wasmtime,decision_tree,16,5000,426.0992,408.0,492,540,836.964,1788014371.2610345
wasmtime,decision_tree,17,5000,441.0244,406.0,522,607,854.1124,1788014373.9136424
wasmtime,decision_tree,18,5000,525.382,502.0,738,871,1030.2106,1788014376.8174915
wasmtime,decision_tree,19,5000,414.4604,406.0,483,504,821.746,1788014379.4013364
wasmtime,decision_tree,20,5000,404.8982,395.0,476,506,910.02,1788014381.985742
wasmtime,decision_tree,21,5000,425.0754,410.0,512,586,889.6132,1788014384.5716472
wasmtime,decision_tree,22,5000,420.2656,409.0,497,560,845.2364,1788014387.1561544
wasmtime,decision_tree,23,5000,420.8282,408.0,502,576,1001.0108,1788014389.745476
wasmtime,decision_tree,24,5000,443.7858,421.0,527,587,1035.073,1788014392.3358479
wasmtime,decision_tree,25,5000,425.3428,410.0,493,551,999.279,1788014394.924619
wasmtime,decision_tree,26,5000,423.8534,405.0,486,526,819.3064,1788014397.5015972
wasmtime,decision_tree,27,5000,422.0512,410.0,498,549,828.5064,1788014400.0905604
