backend,model,repetition,requests,execution_mean_ns,execution_median_ns,execution_p95_ns,execution_p99_ns,inference_mean_ns,timestamp_unix
wasmtime,kmeans,1,5000,240.1046,228.0,285,313,693.3384,1788014578.8184931
wasmtime,kmeans,2,5000,184.5202,176.0,231,258,562.6336,1788014581.4924784
wasmtime,kmeans,3,5000,196.7332,180.0,215,244,540.5214,1788014584.0273967
wasmtime,kmeans,4,5000,183.2326,180.0,202,249,515.0994,1788014586.5548604
wasmtime,kmeans,5,5000,190.4694,183.0,249,260,562.0104,1788014589.0805302
wasmtime,kmeans,6,5000,196.3882,182.0,234,259,600.7698,1788014591.7132475
wasmtime,kmeans,7,5000,211.6726,216.0,256,315,652.7228,1788014594.454391
wasmtime,kmeans,8,5000,235.1278,227.0,296,316,716.8072,1788014597.4270837
wasmtime,kmeans,9,5000,190.3516,182.0,246,285,561.8264,1788014600.0680058
wasmtime,kmeans,10,5000,195.7864,180.0,229,254,555.5954,1788014602.5847998
wasmtime,kmeans,11,5000,184.1534,180.0,221,248,621.612,1788014605.100552
wasmtime,kmeans,12,5000,179.8784,178.0,202,242,522.6556,1788014607.6135275
wasmtime,kmeans,13,5000,193.9168,180.0,211,251,551.7734,1788014610.1333728
wasmtime,kmeans,14,5000,198.145,182.0,249,266,582.4428,1788014612.737142
wasmtime,kmeans,15,5000,179.5478,178.0,207,244,519.0152,1788014615.2601304
wasmtime,kmeans,16,5000,198.4168,176.0,238,256,585.6256,1788014617.787084
wasmtime,kmeans,17,5000,189.624,182.0,229,244,537.5002,1788014620.2997396
wasmtime,kmeans,18,5000,184.6884,180.0,213,245,533.2638,1788014622.8014812
wasmtime,kmeans,19,5000,185.889,182.0,214,244,632.7876,1788014625.3222287
wasmtime,kmeans,20,5000,215.0176,184.0,242,292,588.9696,1788014627.9387999
wasmtime,kmeans,21,5000,187.3156,182.0,240,253,553.1364,1788014630.4557648
wasmtime,kmeans,22,5000,183.7074,180.0,209,247,555.966,1788014632.961158
wasmtime,kmeans,23,5000,173.6888,167.0,222,248,514.0192,1788014635.4669135
wasmtime,kmeans,24,5000,178.5456,176.0,210,248,505.0872,1788014637.9907262
wasmtime,kmeans,25,5000,193.931,180.0,223,253,573.3172,1788014640.5049262
wasmtime,kmeans,26,5000,194.9344,180.0,223,250,555.3916,1788014643.012061
wasmtime,kmeans,27,5000,200.7214,178.0,225,262,541.8826,1788014645.625135
wasmtime,kmeans,28,5000,192.821,180.0,240,290,569.8298,1788014648.161846
wasmtime,kmeans,29,5000,182.3572,177.0,227,260,567.398,1788014650.670766
wasmtime,kmeans,30,5000,210.1978,184.0,238,262,576.4402,1788014653.2975774
wasmtime,kmeans,31,5000,183.6722,168.0,215,242,514.7904,1788014655.8057241
wasmtime,kmeans,32,5000,187.9304,182.0,233,254,535.8914,1788014658.4002244
wasmtime,kmeans,33,5000,257.8926,220.0,390,455,591.8314,1788014661.0138447
wasmtime,kmeans,34,5000,222.678,223.0,255,306,669.9972,1788014663.8693433
wasmtime,kmeans,35,5000,200.056,184.0,235,279,542.2392,1788014666.374411
wasmtime,kmeans,36,5000,185.345,180.0,230,254,570.0382,1788014668.887168
wasmtime,kmeans,37,5000,180.9254,176.0,212,248,522.9328,1788014671.4064453
wasmtime,kmeans,38,5000,191.2784,178.0,227,256,540.3972,1788014673.9196982
wasmtime,kmeans,39,5000,185.1842,182.0,220,251,529.2616,1788014676.4399686
wasmtime,kmeans,40,5000,181.717,170.0,204,242,504.596,1788014678.9494774
wasmtime,kmeans,41,5000,198.1198,184.0,228,249,523.3872,1788014681.4774656
wasmtime,kmeans,42,5000,205.1656,184.0,244,285,553.2742,1788014684.0083194
wasmtime,kmeans,43,5000,190.7258,182.0,253,262,585.903,1788014686.540329
wasmtime,kmeans,44,5000,187.6798,181.0,225,261,537.467,1788014689.0688686
wasmtime,kmeans,45,5000,191.543,180.0,232,254,539.3148,1788014691.585467
wasmtime,kmeans,46,5000,235.9326,194.0,373,452,547.939,1788014694.1240413
wasmtime,kmeans,47,5000,220.93,187.0,307,358,558.8018,1788014696.657115
wasmtime,kmeans,48,5000,253.7858,227.0,260,308,688.2922,1788014699.6230383
wasmtime,kmeans,49,5000,221.0534,223.0,246,302,645.583,1788014702.5114548
wasmtime,kmeans,50,5000,188.4362,183.0,238,254,510.574,1788014705.019527
wasmtime,kmeans,51,5000,183.7438,180.0,207,253,562.8268,1788014707.522127
wasmtime,kmeans,52,5000,194.2278,182.0,206,245,524.7978,1788014710.050215
wasmtime,kmeans,53,5000,190.5126,182.0,227,249,539.7054,1788014712.5724096
wasmtime,kmeans,54,5000,212.233,199.0,268,288,566.6894,1788014715.164445
wasmtime,kmeans,55,5000,191.3576,180.0,238,262,532.1824,1788014717.674815
wasmtime,kmeans,56,5000,184.2756,182.0,210,250,519.3102,1788014720.1908638
wasmtime,kmeans,57,5000,186.8954,180.0,234,274,537.8478,1788014722.692989
wasmtime,kmeans,58,5000,189.6408,182.0,240,260,554.3562,1788014725.1904638
