backend,model,repetition,requests,execution_mean_ns,execution_median_ns,execution_p95_ns,execution_p99_ns,inference_mean_ns,timestamp_unix
wasmtime,logistic_regression,1,5000,299.0252,290.0,338,368,650.5864,1788013128.6846938
wasmtime,logistic_regression,2,5000,295.0962,290.0,341,376,649.259,1788013130.9552267
wasmtime,logistic_regression,3,5000,289.3926,289.0,314,349,642.378,1788013133.2136536
wasmtime,logistic_regression,4,5000,316.2044,290.0,345,374,655.495,1788013135.545868
wasmtime,logistic_regression,5,5000,292.5368,289.0,318,351,635.7106,1788013137.7924662
wasmtime,logistic_regression,6,5000,291.0692,290.0,325,366,632.2044,1788013140.0384433
wasmtime,logistic_regression,7,5000,272.554,267.0,316,365,585.2802,1788013142.2687402
wasmtime,logistic_regression,8,5000,296.7526,289.0,332,368,633.1542,1788013144.5031245
wasmtime,logistic_regression,9,5000,288.3702,289.0,314,346,635.6628,1788013146.743636
wasmtime,logistic_regression,10,5000,271.0676,266.0,304,336,603.2086,1788013149.035381
wasmtime,logistic_regression,11,5000,279.5914,283.0,308,340,605.954,1788013151.2653556
wasmtime,logistic_regression,12,5000,283.0908,286.0,316,360,613.7616,1788013153.4983926
wasmtime,logistic_regression,13,5000,285.2812,289.0,312,352,624.6746,1788013155.729776
wasmtime,logistic_regression,14,5000,292.3254,290.0,313,350,638.4786,1788013157.9611423
wasmtime,logistic_regression,15,5000,289.0618,289.0,311,348,626.1838,1788013160.187883
wasmtime,logistic_regression,16,5000,290.526,289.0,329,367,648.488,1788013162.4186592
wasmtime,logistic_regression,17,5000,342.803,347.0,384,432,743.573,1788013164.9046328
wasmtime,logistic_regression,18,5000,288.0674,290.0,311,344,636.0806,1788013167.1351657
wasmtime,logistic_regression,19,5000,292.4204,288.0,310,349,635.6004,1788013169.3601003
wasmtime,logistic_regression,20,5000,289.1068,289.0,314,349,631.712,1788013171.6066737
