backend,model,repetition,requests,execution_mean_ns,execution_median_ns,execution_p95_ns,execution_p99_ns,inference_mean_ns,timestamp_unix
wasmtime,mlp,1,5000,4111.4214,4069.0,4520,5232,4497.6896,1788015578.9650154
wasmtime,mlp,2,5000,3966.6768,3858.0,4379,4580,4376.227,1788015581.5725045
wasmtime,mlp,3,5000,3916.8468,4064.0,4536,5348,4329.6508,1788015584.2006567
wasmtime,mlp,4,5000,4175.4934,4091.0,4512,5416,4637.0992,1788015586.8171399
wasmtime,mlp,5,5000,4288.3588,4198.0,4616,4770,4720.123,1788015589.41895
wasmtime,mlp,6,5000,4141.8292,4095.0,4620,4840,4538.7212,1788015592.020608
wasmtime,mlp,7,5000,4184.768,3874.0,5455,5774,4581.2258,1788015594.8223472
wasmtime,mlp,8,5000,4129.1732,4072.0,4481,4674,4558.155,1788015597.4281373
wasmtime,mlp,9,5000,3977.5844,3908.0,4456,5404,4352.523,1788015600.0164642
wasmtime,mlp,10,5000,3938.6502,3870.0,4427,5387,4308.9562,1788015602.6225257
wasmtime,mlp,11,5000,4118.4434,4064.0,4563,5360,4539.2418,1788015605.2328022
wasmtime,mlp,12,5000,4041.9686,3973.0,4436,4619,4423.0416,1788015607.8334255
wasmtime,mlp,13,5000,4588.2278,4681.5,5540,5832,5011.637,1788015610.6326928
wasmtime,mlp,14,5000,5232.0724,5160.0,5620,5820,5721.2342,1788015613.726732
wasmtime,mlp,15,5000,4655.4756,4806.5,5550,5796,5086.9888,1788015616.6155832
wasmtime,mlp,16,5000,4168.5818,4128.0,4507,4680,4588.3146,1788015619.2410915
wasmtime,mlp,17,5000,3880.8968,3811.0,4302,4526,4265.1736,1788015621.827537
wasmtime,mlp,18,5000,3963.8062,3831.0,4458,5403,4347.5452,1788015624.4164243
wasmtime,mlp,19,5000,4031.6366,4008.0,4520,4716,4413.936,1788015627.010846
wasmtime,mlp,20,5000,3997.5654,3894.5,5530,6487,4424.7024,1788015629.7864125
wasmtime,mlp,21,5000,4201.1654,3995.5,5355,5712,4582.1964,1788015632.5197916
wasmtime,mlp,22,5000,3387.121,3535.5,5502,5720,3789.8696,1788015635.325436
wasmtime,mlp,23,5000,4221.6872,4149.5,4614,4820,4613.225,1788015637.9411838
wasmtime,mlp,24,5000,5258.1754,5178.0,5636,5825,5845.0566,1788015641.0283978
wasmtime,mlp,25,5000,4619.0118,4491.0,5528,5780,5101.2288,1788015643.921891
wasmtime,mlp,26,5000,3755.9922,3812.5,4487,5436,4112.3086,1788015646.4947782
wasmtime,mlp,27,5000,4075.195,4082.5,4487,5070,4488.4864,1788015649.103637
wasmtime,mlp,28,5000,4208.6208,4136.0,4584,5380,4641.0158,1788015651.7134752
wasmtime,mlp,29,5000,4026.8254,3938.0,4453,4880,4433.2606,1788015654.3074503
wasmtime,mlp,30,5000,4157.1032,4091.0,4496,4691,4570.0266,1788015656.9047058
wasmtime,mlp,31,5000,4106.847,4064.5,4464,4627,4495.5458,1788015659.5222106
wasmtime,mlp,32,5000,3993.3786,3930.0,4452,4680,4396.9258,1788015662.1128895
wasmtime,mlp,33,5000,4482.328,4230.5,5441,5668,4956.647,1788015664.912582
wasmtime,mlp,34,5000,4124.2964,4088.0,4534,4698,4530.4664,1788015667.5085838
wasmtime,mlp,35,5000,4054.02,3965.0,4439,4637,4453.7938,1788015670.1159644
wasmtime,mlp,36,5000,3961.1772,3880.0,4400,4656,4375.226,1788015672.6950324
wasmtime,mlp,37,5000,5234.3514,5165.5,5622,5814,5762.0132,1788015675.7730174
wasmtime,mlp,38,5000,4167.4278,4100.0,4490,4624,4562.1826,1788015678.3930142
wasmtime,mlp,39,5000,3816.2672,3788.0,4178,4431,4192.5116,1788015680.9806213
wasmtime,mlp,40,5000,3841.943,3764.0,4180,4450,4210.302,1788015683.5715432
wasmtime,mlp,41,5000,4100.559,4057.5,4463,4609,4520.5662,1788015686.1909707
wasmtime,mlp,42,5000,4140.2196,4086.0,4589,5543,4544.515,1788015688.784193
wasmtime,mlp,43,5000,3981.1838,3930.0,4426,4582,4412.6914,1788015691.3799734
wasmtime,mlp,44,5000,4394.8458,4178.0,5426,5707,4811.3238,1788015694.109312
wasmtime,mlp,45,5000,4765.0122,4478.0,5705,6032,5247.9744,1788015696.9421833
wasmtime,mlp,46,5000,3921.0804,3845.0,4432,5405,4311.3946,1788015699.534778
wasmtime,mlp,47,5000,4239.9286,4150.0,4550,4784,4664.3242,1788015702.1526291
wasmtime,mlp,48,5000,4205.9502,4114.0,4513,4889,4631.3776,1788015704.7665951
wasmtime,mlp,49,5000,4205.5252,4153.0,4545,4702,4641.9572,1788015707.3649268
