backend,model,repetition,requests,execution_mean_ns,execution_median_ns,execution_p95_ns,execution_p99_ns,inference_mean_ns,timestamp_unix
wasmtime,naive_bayes,1,5000,1493.13,1396.0,1760,1853,1924.5826,1788013712.5768018
wasmtime,naive_bayes,2,5000,1468.7154,1400.0,1795,1862,1927.418,1788013715.3285522
wasmtime,naive_bayes,3,5000,1393.5292,1366.0,1494,1558,1841.8454,1788013717.9319918
wasmtime,naive_bayes,4,5000,1362.5126,1358.0,1454,1527,1759.732,1788013720.5310888
wasmtime,naive_bayes,5,5000,1434.901,1369.0,1623,1763,1886.6866,1788013723.229652
wasmtime,naive_bayes,6,5000,1398.971,1349.0,1704,1767,1810.134,1788013725.871055
wasmtime,naive_bayes,7,5000,1390.023,1357.0,1465,1689,1793.7716,1788013728.456552
wasmtime,naive_bayes,8,5000,1744.4422,1688.0,1812,1878,2260.4336,1788013731.492679
wasmtime,naive_bayes,9,5000,1749.1456,1704.0,1852,1931,2326.7546,1788013734.764926
wasmtime,naive_bayes,10,5000,1426.4726,1347.0,1698,1784,1837.7994,1788013737.6102052
wasmtime,naive_bayes,11,5000,1357.4786,1358.0,1500,1709,1745.956,1788013740.170504
wasmtime,naive_bayes,12,5000,1835.7432,1915.0,2055,2127,2394.4866,1788013743.0943599
wasmtime,naive_bayes,13,5000,1424.9376,1382.0,1502,1653,1888.4796,1788013745.684653
wasmtime,naive_bayes,14,5000,1388.0024,1353.0,1466,1527,1808.098,1788013748.268516
wasmtime,naive_bayes,15,5000,1351.3374,1342.0,1462,1556,1753.7616,1788013750.8535645
wasmtime,naive_bayes,16,5000,1475.9128,1497.0,1581,1600,1894.3392,1788013753.4447877
wasmtime,naive_bayes,17,5000,1391.3226,1356.0,1526,1714,1821.0594,1788013756.0555837
wasmtime,naive_bayes,18,5000,1760.44,1714.0,1852,1928,2262.3286,1788013759.1255786
wasmtime,naive_bayes,19,5000,1707.978,1682.0,1800,1920,2229.194,1788013762.1751943
wasmtime,naive_bayes,20,5000,1395.795,1371.0,1526,1764,1801.5348,1788013764.7500002
wasmtime,naive_bayes,21,5000,1376.2586,1356.0,1445,1496,1817.6846,1788013767.3137088
wasmtime,naive_bayes,22,5000,1390.878,1366.0,1490,1642,1809.2076,1788013769.8888996
wasmtime,naive_bayes,23,5000,1379.7534,1358.0,1476,1560,1798.679,1788013772.4714365
wasmtime,naive_bayes,24,5000,1415.2406,1362.0,1478,1540,1846.5586,1788013775.0528038
wasmtime,naive_bayes,25,5000,1369.4904,1357.0,1480,1544,1779.3826,1788013777.6316497
wasmtime,naive_bayes,26,5000,1371.224,1362.0,1480,1531,1803.4556,1788013780.2067218
wasmtime,naive_bayes,27,5000,1452.8904,1680.0,1798,1863,1930.2928,1788013783.0194545
wasmtime,naive_bayes,28,5000,1620.1438,1668.0,1806,1897,2145.1684,1788013785.9395673
wasmtime,naive_bayes,29,5000,1413.8208,1373.5,1486,1547,1805.5192,1788013788.523975
wasmtime,naive_bayes,30,5000,1638.2966,1672.0,1832,1918,2121.3484,1788013791.454222
wasmtime,naive_bayes,31,5000,1499.3802,1360.0,1829,1876,1968.566,1788013794.1820877
wasmtime,naive_bayes,32,5000,1699.0646,1694.0,1802,1864,2245.6996,1788013797.190964
wasmtime,naive_bayes,33,5000,1410.5124,1370.0,1487,1665,1816.722,1788013799.7803786
wasmtime,naive_bayes,34,5000,1395.383,1372.0,1488,1555,1850.126,1788013802.35896
wasmtime,naive_bayes,35,5000,1386.5524,1358.0,1487,1611,1831.4444,1788013804.945504
wasmtime,naive_bayes,36,5000,1369.8316,1354.0,1448,1516,1828.717,1788013807.530917
wasmtime,naive_bayes,37,5000,1372.3386,1347.0,1460,1526,1779.306,1788013810.1155057
wasmtime,naive_bayes,38,5000,1511.489,1393.0,1774,1851,1957.1764,1788013812.8469384
wasmtime,naive_bayes,39,5000,1364.6872,1347.0,1448,1518,1761.3472,1788013815.4346185
wasmtime,naive_bayes,40,5000,1392.6424,1371.0,1473,1532,1789.9866,1788013818.0047853
wasmtime,naive_bayes,41,5000,1396.4648,1358.0,1456,1500,1840.5458,1788013820.5725653
wasmtime,naive_bayes,42,5000,1412.3096,1372.0,1495,1695,1861.4982,1788013823.1462238
wasmtime,naive_bayes,43,5000,1201.6696,1334.5,1482,1712,1584.6464,1788013825.7143445
wasmtime,naive_bayes,44,5000,1411.1832,1351.0,1493,1702,1816.6418,1788013828.2979436
wasmtime,naive_bayes,45,5000,1383.2574,1350.0,1467,1511,1849.5228,1788013830.8700964
wasmtime,naive_bayes,46,5000,1401.973,1372.0,1489,1619,1824.4344,1788013833.4512541
wasmtime,naive_bayes,47,5000,1418.0926,1388.0,1498,1566,1834.779,1788013836.0370612
wasmtime,naive_bayes,48,5000,1363.998,1369.0,1461,1534,1763.6042,1788013838.6148183
wasmtime,naive_bayes,49,5000,1360.9804,1344.0,1455,1492,1743.3432,1788013841.198525
wasmtime,naive_bayes,50,5000,1395.1892,1353.0,1496,1675,1807.185,1788013843.7865326
wasmtime,naive_bayes,51,5000,1390.7548,1360.0,1480,1527,1848.6722,1788013846.3753033
