backend,model,repetition,throughput_rps,p95_latency_ms,p99_latency_ms,error_rate,timestamp_unix
docker,decision_tree,1,5666.967152004312,5.91723965,6.514159800000057,0.0,1788124688.865668
docker,decision_tree,2,5786.196069641898,5.8355945,6.517893630000016,0.0,1788124705.7369232
docker,decision_tree,3,5770.051301678968,5.8060063,6.503690990000009,0.0,1788124722.4500318
docker,decision_tree,4,5718.406150868128,5.88966795,6.545508720000006,0.0,1788124739.2086484
docker,decision_tree,5,5739.939893318704,5.85502825,6.624584580000017,0.0,1788124755.789987
docker,decision_tree,6,5744.158497531067,5.8754665,6.5040810200000285,0.0,1788124772.131936
docker,decision_tree,7,5554.092520436821,6.0763203,6.89177722000001,0.0,1788124788.5484223
docker,decision_tree,8,5788.856432558184,5.813278,6.424396730000025,0.0,1788124804.794771
docker,decision_tree,9,5807.456729430003,5.872413900000001,6.551857840000025,0.0,1788124821.0605125
docker,decision_tree,10,5751.393414016425,5.82771785,6.526382090000036,0.0,1788124837.4338644
docker,decision_tree,11,5629.610650184763,5.95607135,6.685305110000007,0.0,1788124853.7602327
docker,decision_tree,12,5731.74148814067,5.87758855,6.635841430000022,0.0,1788124870.1515443
docker,decision_tree,13,5774.875077784731,5.8116334,6.621954740000004,0.0,1788124886.3818626
docker,decision_tree,14,5672.323988184432,5.9130834000000005,6.594384260000015,0.0,1788124902.753021
docker,decision_tree,15,5767.73214926016,5.836690000000001,6.6927325300000025,0.0,1788124919.1202393
docker,decision_tree,16,5810.3478717176,5.8287647,6.355625900000011,0.0,1788124935.5130084
docker,decision_tree,17,5692.702584435875,5.893269999999999,6.608704860000005,0.0,1788124951.9039958
docker,decision_tree,18,5722.312033198208,5.88615395,6.573635530000001,0.0,1788124968.3015056
docker,decision_tree,19,5775.138341460246,5.83585815,6.471535530000012,0.0,1788124984.6371713
docker,decision_tree,20,5650.66576635215,5.92044995,6.669058920000028,0.0,1788125000.5715504
