backend,pair,model_a,model_b,repetition,a_throughput_rps,a_p95_latency_ms,a_p99_latency_ms,a_error_rate,b_throughput_rps,b_p95_latency_ms,b_p99_latency_ms,b_error_rate,timestamp_unix
docker,lr_svm,logistic_regression,svm,1,2782.713204254346,11.9019733,13.37605562,0.0,2757.864978723497,11.922242749999999,13.670942020000018,0.0,1788122216.849733
docker,lr_svm,logistic_regression,svm,2,2775.8359606427593,11.897040749999999,13.35478130000001,0.0,2751.3989844817665,11.907601900000001,13.141167230000047,0.0,1788122248.4553454
docker,lr_svm,logistic_regression,svm,3,2739.1481013007697,12.284343050000002,13.505628050000004,0.0,2714.977304180799,12.31473845,13.537660010000032,0.0,1788122280.1039474
docker,lr_svm,logistic_regression,svm,4,2697.4875526192855,12.395767200000002,14.339817590000026,0.0,2674.08543815922,12.389378,13.952692800000074,0.0,1788122311.5147254
docker,lr_svm,logistic_regression,svm,5,2817.48745858297,11.7793798,13.130448480000018,0.0,2788.760811236296,11.793643150000001,12.79906972000005,0.0,1788122343.0789893
docker,lr_svm,logistic_regression,svm,6,2805.3867657932783,11.87175805,14.074209590000084,0.0,2776.7343630668365,11.8538669,13.980946830000017,0.0,1788122374.5209687
docker,lr_svm,logistic_regression,svm,7,2776.6487756719102,11.91210865,13.313152460000005,0.0,2749.6717285012683,11.911420549999999,13.235488870000003,0.0,1788122405.5815082
docker,lr_svm,logistic_regression,svm,8,2838.908368957388,11.66977615,13.397177470000027,0.0,2813.1576646135873,11.6901411,13.35337129000005,0.0,1788122437.2077243
docker,lr_svm,logistic_regression,svm,9,2710.696027852346,12.23774375,13.126273380000004,0.0,2686.904227235199,12.2645397,13.175412740000064,0.0,1788122468.8106453
docker,lr_svm,logistic_regression,svm,10,2820.98202956134,11.6949751,13.20475313,0.0,2795.622628845159,11.726025349999999,13.100283600000012,0.0,1788122500.2635875
docker,lr_svm,logistic_regression,svm,11,2734.399745113448,12.13596525,13.291015910000004,0.0,2708.5607357131253,12.159835750000001,13.060327150000012,0.0,1788122531.6423712
docker,lr_svm,logistic_regression,svm,12,2792.1377017274813,11.8695272,13.060161280000003,0.0,2792.3181761387364,11.88585675,13.39238561,0.0,1788122563.0323713
docker,lr_svm,logistic_regression,svm,13,2818.0650834875623,11.7401217,13.107407230000014,0.0,2790.331986196703,11.77380625,12.860337080000004,0.0,1788122594.5773084
docker,lr_svm,logistic_regression,svm,14,2818.6981564024345,11.735382900000001,13.515421540000027,0.0,2818.920314650494,11.735655249999999,13.255945250000046,0.0,1788122625.527547
docker,lr_svm,logistic_regression,svm,15,2737.1091187390953,12.10077305,13.347944030000024,0.0,2711.0211782310007,12.13617435,13.228778130000052,0.0,1788122657.156071
docker,lr_svm,logistic_regression,svm,16,2791.590168757332,11.858760049999999,13.359344870000058,0.0,2765.6711074569926,11.89379095,13.21062491,0.0,1788122688.706808
docker,lr_svm,logistic_regression,svm,17,2782.3124074334296,11.9590265,13.082508070000024,0.0,2757.382153996316,11.94606285,13.133739480000013,0.0,1788122720.1691415
docker,lr_svm,logistic_regression,svm,18,2838.7917988321474,11.613306350000002,12.881732500000082,0.0,2812.034526502169,11.621443650000002,12.62170928000002,0.0,1788122751.5221267
docker,lr_svm,logistic_regression,svm,19,2788.8902335143403,11.883168849999999,13.300691830000035,0.0,2761.4536976051536,11.9162322,13.564390350000023,0.0,1788122782.9679885
docker,lr_svm,logistic_regression,svm,20,2729.494991847087,12.09862045,13.554998680000002,0.0,2701.020377702613,12.09830955,13.220308590000002,0.0,1788122814.6107666
