backend,model,repetition,throughput_rps,p95_latency_ms,p99_latency_ms,error_rate,timestamp_unix
wasmtime,decision_tree,1,5732.650596419018,5.5602896,6.220923910000007,0.0,1788124414.0196526
wasmtime,decision_tree,2,7579.986210129948,5.1239723,6.3069586399999995,0.0,1788124416.1351883
wasmtime,decision_tree,3,7305.450740731366,5.1699884,6.26276219,0.0,1788124418.2716227
wasmtime,decision_tree,4,8178.443558414807,5.1384427,6.267750130000001,0.0,1788124420.332976
wasmtime,decision_tree,5,9342.585085403964,5.06733055,5.1689203699999995,0.0,1788124422.2221146
wasmtime,decision_tree,6,7453.205223096337,5.1746319000000005,6.32450515,0.0,1788124424.344383
wasmtime,decision_tree,7,8090.466417972287,5.22166645,6.388427660000004,0.0,1788124426.413873
wasmtime,decision_tree,8,9278.744899301148,5.0688645,5.216752240000001,0.0,1788124428.3165526
wasmtime,decision_tree,9,8136.311438716887,5.1484096,6.31331164,0.0,1788124430.379896
wasmtime,decision_tree,10,9314.993506547744,5.0426454000000005,5.13129467,0.0,1788124432.2714427
wasmtime,decision_tree,11,9371.7962554217,5.0543693,5.14731846,0.0,1788124434.1590526
wasmtime,decision_tree,12,7947.031840125614,5.159944500000001,6.31150502,0.0,1788124436.2415848
wasmtime,decision_tree,13,7674.463760603132,5.13884555,6.25240934,0.0,1788124438.3455245
wasmtime,decision_tree,14,7986.416513084631,5.1602856,6.39547934,0.0,1788124440.4192185
wasmtime,decision_tree,15,8346.977651118412,5.150092450000001,6.27658136,0.0,1788124442.4682858
wasmtime,decision_tree,16,9367.686452454956,5.0421802499999995,5.137073160000001,0.0,1788124444.3513823
wasmtime,decision_tree,17,7437.654633004447,5.1832593000000005,6.28489102,0.0,1788124446.4763012
wasmtime,decision_tree,18,7551.376843758209,5.20193155,6.268179000000001,0.0,1788124448.5873842
wasmtime,decision_tree,19,9397.521067615044,5.066714500000001,5.15261177,0.0,1788124450.4677522
wasmtime,decision_tree,20,8217.224859112875,5.1730913,6.34747221,0.0,1788124452.5214226
wasmtime,decision_tree,21,9367.115543395535,5.0638298,5.16446675,0.0,1788124454.4086306
wasmtime,decision_tree,22,9288.501661317941,5.07130425,5.17156874,0.0,1788124456.3019428
wasmtime,decision_tree,23,8057.183414566069,5.1758980999999995,6.311387140000001,0.0,1788124458.3722448
wasmtime,decision_tree,24,9343.197869306898,5.0512097,5.1499216500000005,0.0,1788124460.2607665
wasmtime,decision_tree,25,8128.672160341336,5.1316048,6.3036666299999995,0.0,1788124462.3229644
wasmtime,decision_tree,26,8133.680101300634,5.1142516,6.27832823,0.0,1788124464.3873227
wasmtime,decision_tree,27,9369.626207942936,5.05071035,5.1504994900000005,0.0,1788124466.2704594
wasmtime,decision_tree,28,9261.899804709707,5.12465385,5.19838773,0.0,1788124468.1631045
wasmtime,decision_tree,29,9288.452221591418,5.096867550000001,5.21503063,0.0,1788124470.0563166
wasmtime,decision_tree,30,9277.69154352839,5.12502925,5.17804977,0.0,1788124471.9484718
wasmtime,decision_tree,31,8441.225289716753,5.12688835,6.365517049999999,0.0,1788124473.9895546
wasmtime,decision_tree,32,8139.395776626359,5.18470395,6.326832960000001,0.0,1788124476.050221
wasmtime,decision_tree,33,9337.4918758854,5.0698387,5.15734407,0.0,1788124477.9377713
wasmtime,decision_tree,34,7796.091992733076,5.1648137,6.316074690000001,0.0,1788124480.0303175
wasmtime,decision_tree,35,7829.481997308008,5.190854150000001,6.33435297,0.0,1788124482.1187067
wasmtime,decision_tree,36,9265.597290232896,5.08444835,5.14218145,0.0,1788124484.0113184
wasmtime,decision_tree,37,7601.647604018784,5.13577485,6.35924837,0.0,1788124486.1161275
wasmtime,decision_tree,38,9356.816070817657,5.0816149,5.17023978,0.0,1788124488.003289
wasmtime,decision_tree,39,8195.704318038333,5.1375746,6.257130650000001,0.0,1788124490.060036
wasmtime,decision_tree,40,9373.16780944544,5.07775005,5.1701599,0.0,1788124491.9485488
wasmtime,decision_tree,41,9229.578898775577,5.0980422,5.224991650000001,0.0,1788124493.8446226
wasmtime,decision_tree,42,9365.801744448134,5.037795750000001,5.13956819,0.0,1788124495.7277937
wasmtime,decision_tree,43,7019.796901774549,5.16222615,6.28464612,0.0,1788124497.8916588
wasmtime,decision_tree,44,9309.210987473463,5.0755922,5.13263926,0.0,1788124499.7836
wasmtime,decision_tree,45,9404.625018278943,5.034849500000001,5.13125243,0.0,1788124501.669042
wasmtime,decision_tree,46,9299.053786380875,5.0625746000000005,5.20708155,0.0,1788124503.5607662
wasmtime,decision_tree,47,9274.17773462519,3.455639150000002,5.180279620000001,0.0,1788124505.4717507
wasmtime,decision_tree,48,9267.39311325992,5.113997100000001,5.19226921,0.0,1788124507.3653822
wasmtime,decision_tree,49,9350.791158372149,5.0788598,5.17825454,0.0,1788124509.2525942
wasmtime,decision_tree,50,9342.173681291877,5.0703052,5.16586327,0.0,1788124511.1417298
wasmtime,decision_tree,51,9331.952158553635,5.0809598000000005,5.1564166,0.0,1788124513.0311728
wasmtime,decision_tree,52,9380.83541494455,5.04393155,5.141679229999999,0.0,1788124514.9233897
wasmtime,decision_tree,53,9328.01730436965,5.0904267,5.1590673,0.0,1788124516.8187196
wasmtime,decision_tree,54,6808.704651143711,5.2058398,6.2959039,0.0,1788124519.0047636
wasmtime,decision_tree,55,9400.910951399053,5.01850555,5.10618512,0.0,1788124520.889216
wasmtime,decision_tree,56,9332.069899492264,5.07702955,5.18036532,0.0,1788124522.781949
wasmtime,decision_tree,57,9273.780574937316,5.09129365,5.19084113,0.0,1788124524.6741278
wasmtime,decision_tree,58,8259.600950751117,5.2068803500000005,6.336515230000001,0.0,1788124526.730039
wasmtime,decision_tree,59,9314.746686946444,5.0516784,5.1714348999999995,0.0,1788124528.6185129
wasmtime,decision_tree,60,9373.576285325633,5.07825245,5.15591448,0.0,1788124530.5052054
