backend,pair,model_a,model_b,repetition,a_throughput_rps,a_p95_latency_ms,a_p99_latency_ms,a_error_rate,b_throughput_rps,b_p95_latency_ms,b_p99_latency_ms,b_error_rate,timestamp_unix
wasmtime,dt_mlp,decision_tree,mlp,1,4803.210229188714,6.76409705,6.984355540000002,0.0,4769.793695112306,6.77431995,6.966387410000004,0.0,1788124570.353596
wasmtime,dt_mlp,decision_tree,mlp,2,4747.551674375206,6.73816885,7.0310759300000045,0.0,4713.730876421074,6.793986299999999,7.005369300000003,0.0,1788124572.844886
wasmtime,dt_mlp,decision_tree,mlp,3,4748.3064634180155,6.78922575,6.9686938,0.0,4748.9168272902625,6.77602875,7.02428726,0.0,1788124575.3418837
wasmtime,dt_mlp,decision_tree,mlp,4,4768.754206259214,6.75893505,7.374957660000012,0.0,4769.400965508938,6.77408565,7.02384454,0.0,1788124577.8285358
wasmtime,dt_mlp,decision_tree,mlp,5,4759.654587576398,6.82329995,7.065411130000001,0.0,4726.544571870836,6.83648895,7.0843596300000025,0.0,1788124580.3129206
wasmtime,dt_mlp,decision_tree,mlp,6,4756.259380796403,6.803111050000001,7.0749804,0.0,4722.869673021593,6.80885225,7.020719970000001,0.0,1788124582.8016236
wasmtime,dt_mlp,decision_tree,mlp,7,4684.7821393507475,6.75342015,7.05880886,0.0,4685.353512623054,6.7747935,7.04060594,0.0,1788124585.3103387
wasmtime,dt_mlp,decision_tree,mlp,8,4702.829293751711,6.788077900000001,6.93504188,0.0,4670.727214462095,6.8305092,7.008542850000001,0.0,1788124587.8123918
wasmtime,dt_mlp,decision_tree,mlp,9,4770.491083738325,6.785487900000001,7.24027684000001,0.0,4771.575875581008,6.7837987,7.033150710000001,0.0,1788124590.3000615
wasmtime,dt_mlp,decision_tree,mlp,10,4811.897874511588,6.7674725,7.2396843800000115,0.0,4778.3111930680625,6.77651815,7.019796570000003,0.0,1788124592.7746193
wasmtime,dt_mlp,decision_tree,mlp,11,4661.123925690443,6.8493569500000016,7.635219220000011,0.0,4661.726243803706,6.8335679,7.07971798,0.0,1788124595.2891319
wasmtime,dt_mlp,decision_tree,mlp,12,4812.28619477082,6.77951205,7.9434953600000116,0.0,4778.7506602436715,6.79993285,7.0401168900000055,0.0,1788124597.7645786
wasmtime,dt_mlp,decision_tree,mlp,13,4756.8931747934985,6.7847341,7.094085380000001,0.0,4723.888271295095,6.78899765,7.01713773,0.0,1788124600.2533865
wasmtime,dt_mlp,decision_tree,mlp,14,4688.841069657809,6.8386632,7.627453150000003,0.0,4689.45496595435,6.86374445,7.34326962,0.0,1788124602.7593963
wasmtime,dt_mlp,decision_tree,mlp,15,4079.8663001959417,10.30095245,10.65704654,0.0,4052.781181919717,10.293435350000001,10.629369570000001,0.0,1788124605.5279303
wasmtime,dt_mlp,decision_tree,mlp,16,4642.066196227933,6.91947855,8.11270194000001,0.0,4610.082771264935,6.9125362500000005,7.148163220000001,0.0,1788124608.0490043
wasmtime,dt_mlp,decision_tree,mlp,17,4670.966044042098,6.79184785,7.11804618,0.0,4638.453944644428,6.78325725,7.135786410000001,0.0,1788124610.5595636
wasmtime,dt_mlp,decision_tree,mlp,18,4695.963312114861,6.7944418,7.01081442,0.0,4696.571502809597,6.771763050000001,7.02537296,0.0,1788124613.0668328
wasmtime,dt_mlp,decision_tree,mlp,19,4739.328982327396,6.82334735,7.937578850000011,0.0,4739.922198874204,6.822022,7.07797531,0.0,1788124615.565389
wasmtime,dt_mlp,decision_tree,mlp,20,4781.796690097292,6.76754675,7.01323893,0.0,4782.452276972842,6.7743758000000005,6.9915841400000005,0.0,1788124618.0503285
wasmtime,dt_mlp,decision_tree,mlp,21,4721.65542479478,6.82874325,7.11874307,0.0,4688.993771537801,6.8192266,7.12033809,0.0,1788124620.5499105
wasmtime,dt_mlp,decision_tree,mlp,22,4813.608690171152,6.78518035,7.355446180000014,0.0,4779.856211054687,6.781215,7.0549744500000005,0.0,1788124623.026974
wasmtime,dt_mlp,decision_tree,mlp,23,4743.125108947211,6.7989393,7.0204768500000005,0.0,4706.655506814738,6.7918154500000005,7.006924690000001,0.0,1788124625.5238519
wasmtime,dt_mlp,decision_tree,mlp,24,4693.13151495862,6.912238400000001,7.884870850000004,0.0,4660.677944558956,6.87693945,8.261886860000002,0.0,1788124628.0377944
wasmtime,dt_mlp,decision_tree,mlp,25,4787.23966809176,6.815934100000001,8.031782280000002,0.0,4753.764085184832,6.82487535,8.808189850000002,0.0,1788124630.5176184
wasmtime,dt_mlp,decision_tree,mlp,26,4814.755536964954,6.77415905,7.01121076,0.0,4781.189131325322,6.759351649999999,7.010355920000003,0.0,1788124632.9928665
wasmtime,dt_mlp,decision_tree,mlp,27,4681.215813381913,6.8183265,7.146638020000002,0.0,4645.291941300238,6.835665,7.14490911,0.0,1788124635.5060143
wasmtime,dt_mlp,decision_tree,mlp,28,4678.948945029861,6.8868939000000005,7.792166320000008,0.0,4647.47619602674,6.8885701,8.071008830000002,0.0,1788124638.0177078
wasmtime,dt_mlp,decision_tree,mlp,29,4783.547590220982,6.79750935,7.07618167,0.0,4784.1714565647335,6.79195205,7.054267230000001,0.0,1788124640.4966977
wasmtime,dt_mlp,decision_tree,mlp,30,4717.673440417112,6.7911082,7.0989607800000005,0.0,4685.588984209222,6.79535885,7.08750614,0.0,1788124642.9965975
wasmtime,dt_mlp,decision_tree,mlp,31,4779.462248229833,6.8239959,7.052464840000001,0.0,4780.071153553628,6.8157545,7.070511080000002,0.0,1788124645.4878798
wasmtime,dt_mlp,decision_tree,mlp,32,4795.667908592804,6.8247361,7.817064180000001,0.0,4761.897441002554,6.811542,8.188149190000006,0.0,1788124647.970744
wasmtime,dt_mlp,decision_tree,mlp,33,4743.147691318174,6.81409925,7.10705672,0.0,4743.767554282589,6.8080676,7.119602800000001,0.0,1788124650.4669328
wasmtime,dt_mlp,decision_tree,mlp,34,4825.840995927556,6.80466715,9.240358230000002,0.0,4791.5839625911685,6.80611095,7.682731130000012,0.0,1788124652.9419065
wasmtime,dt_mlp,decision_tree,mlp,35,4717.866804668422,6.8121107499999995,7.0783175400000005,0.0,4681.4470422139275,6.8213348,7.0915032600000005,0.0,1788124655.45148
wasmtime,dt_mlp,decision_tree,mlp,36,4660.037571442441,6.9232942,8.287661520000006,0.0,4660.621711591114,7.006005999999999,7.8079451900000025,0.0,1788124657.9656737
wasmtime,dt_mlp,decision_tree,mlp,37,4818.921652084475,6.74860815,7.023587399999999,0.0,4785.338711168306,6.7606757,6.990414370000002,0.0,1788124660.444711
wasmtime,dt_mlp,decision_tree,mlp,38,4801.163887360123,6.80202035,7.060135130000004,0.0,4767.116069217142,6.79496775,7.014138700000001,0.0,1788124662.9234746
wasmtime,dt_mlp,decision_tree,mlp,39,4681.106400283929,6.8391376,7.04260434,0.0,4645.6977244022,6.85879495,7.04138332,0.0,1788124665.4329739
wasmtime,dt_mlp,decision_tree,mlp,40,4795.913763708669,6.8111486,7.576759340000012,0.0,4762.574186340251,6.812262400000001,7.045390820000001,0.0,1788124667.9129002
wasmtime,dt_mlp,decision_tree,mlp,41,4778.824555303323,6.74792145,7.021817580000007,0.0,4746.001709973016,6.769018900000001,6.994661939999999,0.0,1788124670.3999257
wasmtime,dt_mlp,decision_tree,mlp,42,4628.873815657889,6.791763400000001,7.07618234,0.0,4629.462655598626,6.78246855,7.09126263,0.0,1788124672.925482
