backend,model,repetition,throughput_rps,p95_latency_ms,p99_latency_ms,error_rate,timestamp_unix
wasmtime,kmeans,1,6074.181703076426,5.2520751500000005,6.08220743,0.0,1788122817.1658518
wasmtime,kmeans,2,6806.932588957145,5.251655049999999,6.235024180000001,0.0,1788122819.39984
wasmtime,kmeans,3,8668.447809780604,4.80132825,5.799301880000003,0.0,1788122821.423068
wasmtime,kmeans,4,8425.626562983774,4.8347348000000006,5.848462970000001,0.0,1788122823.4634552
wasmtime,kmeans,5,7956.3826765303065,4.84989445,5.75301234,0.0,1788122825.5561323
wasmtime,kmeans,6,7806.917447583085,4.8198439,5.7907801,0.0,1788122827.6450417
wasmtime,kmeans,7,10019.090172197704,4.6269326,4.67984663,0.0,1788122829.4965603
wasmtime,kmeans,8,9996.240491222025,4.63364575,4.68505509,0.0,1788122831.347493
wasmtime,kmeans,9,8463.044362882556,4.8690994,5.84229764,0.0,1788122833.3854744
wasmtime,kmeans,10,8338.143218652112,4.8280182,8.663012029999999,0.0,1788122835.4570458
wasmtime,kmeans,11,7708.012129467625,4.85930875,5.776753090000001,0.0,1788122837.5547304
wasmtime,kmeans,12,9944.18169537389,4.63366085,4.71409946,0.0,1788122839.4103813
wasmtime,kmeans,13,8210.051609194104,4.8119961,5.74142261,0.0,1788122841.466521
wasmtime,kmeans,14,9132.093302449151,4.795459950000001,5.7413236,0.0,1788122843.4606838
wasmtime,kmeans,15,9739.308071491958,4.71232255,10.734260490000006,0.0,1788122845.3305688
wasmtime,kmeans,16,9840.726426098001,4.6855941,4.739846020000001,0.0,1788122847.1939943
wasmtime,kmeans,17,8620.663927878344,4.8060177,5.76914282,0.0,1788122849.2222147
wasmtime,kmeans,18,8742.419302973696,4.78208535,5.77666272,0.0,1788122851.2391846
wasmtime,kmeans,19,9906.318560290323,4.67504415,4.7047032600000005,0.0,1788122853.095728
wasmtime,kmeans,20,8067.838021326286,4.8670669,5.8233609600000005,0.0,1788122855.167676
wasmtime,kmeans,21,9955.08294491317,4.6586635,4.72586579,0.0,1788122857.0255547
wasmtime,kmeans,22,9877.416169387985,4.676002550000001,4.75283364,0.0,1788122858.882797
wasmtime,kmeans,23,8503.281291760066,4.8092305,5.7158361300000005,0.0,1788122860.9211292
wasmtime,kmeans,24,7890.740286752134,4.8660633,5.788558050000001,0.0,1788122863.0032153
wasmtime,kmeans,25,9941.00167089906,4.66491655,4.727898640000001,0.0,1788122864.8663912
wasmtime,kmeans,26,8456.248354641742,4.78115185,5.7078007500000005,0.0,1788122866.9081829
wasmtime,kmeans,27,8804.026448823495,4.77335965,5.7047418500000004,0.0,1788122868.9254727
wasmtime,kmeans,28,8208.817717598768,4.90830125,5.86364764,0.0,1788122870.9840696
wasmtime,kmeans,29,10060.979802896114,3.2321528500000003,4.71339275,0.0,1788122872.929531
wasmtime,kmeans,30,8369.10265550972,4.8206938,5.77758104,0.0,1788122874.9805996
wasmtime,kmeans,31,9884.153115248411,4.677151,4.73726662,0.0,1788122876.8401473
wasmtime,kmeans,32,8907.415347798991,4.7450035,5.710516200000001,0.0,1788122878.8518395
wasmtime,kmeans,33,9905.129136132873,4.68790675,4.73726228,0.0,1788122880.7078798
wasmtime,kmeans,34,8701.575055102136,4.77098455,5.741813350000001,0.0,1788122882.7305267
wasmtime,kmeans,35,8349.578385072089,4.8361918500000005,5.82510293,0.0,1788122884.7791595
wasmtime,kmeans,36,9892.932055742942,4.6349789,4.69576297,0.0,1788122886.6383815
wasmtime,kmeans,37,8680.872979746693,4.811450150000001,5.81304899,0.0,1788122888.6620178
wasmtime,kmeans,38,7736.185242742548,4.80084045,5.763504870000001,0.0,1788122890.762501
wasmtime,kmeans,39,9891.376365825121,4.67562775,4.74638043,0.0,1788122892.6228092
wasmtime,kmeans,40,7364.941601916511,4.8423934,5.76376062,0.0,1788122894.7485516
wasmtime,kmeans,41,9042.666452325839,4.852930000000001,5.83253821,0.0,1788122896.753089
wasmtime,kmeans,42,9999.571833466538,4.6492788,4.7056255700000005,0.0,1788122898.607545
wasmtime,kmeans,43,9936.37373347876,4.6478132,4.7147211,0.0,1788122900.4600072
wasmtime,kmeans,44,9910.958303425741,4.6334589,4.7679181999999996,0.0,1788122902.3176806
wasmtime,kmeans,45,9890.469049028346,4.64499035,4.712155119999999,0.0,1788122904.1733255
wasmtime,kmeans,46,9952.320500160991,4.6431866,4.709843710000001,0.0,1788122906.0227742
wasmtime,kmeans,47,9991.153730234466,4.625900000000001,4.69388702,0.0,1788122907.8747113
wasmtime,kmeans,48,8517.953253243522,4.82721,5.761904990000001,0.0,1788122909.9107308
wasmtime,kmeans,49,9968.165748388841,4.6177794,4.71297347,0.0,1788122911.7637866
wasmtime,kmeans,50,9962.904754241192,4.642292950000001,4.69709112,0.0,1788122913.6173823
wasmtime,kmeans,51,9766.516863878254,3.2757653500000004,4.71880078,0.0,1788122915.5150938
wasmtime,kmeans,52,9877.428054276208,4.6301644,4.73350538,0.0,1788122917.3746839
wasmtime,kmeans,53,9948.123543225187,4.66144945,4.768080060000001,0.0,1788122919.2263212
wasmtime,kmeans,54,9891.864173322316,4.70247425,4.785151020000001,0.0,1788122921.0854802
wasmtime,kmeans,55,9932.668088003826,4.6748969,4.76422757,0.0,1788122922.938629
wasmtime,kmeans,56,9963.95274740358,4.66533935,4.7205162099999995,0.0,1788122924.7953053
wasmtime,kmeans,57,9926.329342691752,4.65102465,4.7422737999999995,0.0,1788122926.6524897
wasmtime,kmeans,58,9920.376892008131,4.6585891,4.73050291,0.0,1788122928.5111215
wasmtime,kmeans,59,10037.26178710053,3.27802425,4.73819724,0.0,1788122930.3790545
wasmtime,kmeans,60,9973.29621825202,4.66333825,4.74341914,0.0,1788122932.2332344
