backend,model,repetition,throughput_rps,p95_latency_ms,p99_latency_ms,error_rate,timestamp_unix
wasmtime,logistic_regression,1,10025.545227731072,4.6196871,4.7321323400000015,0.0,1788119489.3222742
wasmtime,logistic_regression,2,8714.356670703472,4.75113165,5.71405312,0.0,1788119491.342555
wasmtime,logistic_regression,3,8538.641789025301,4.86270625,5.80239078,0.0,1788119493.3758411
wasmtime,logistic_regression,4,7365.315644756282,4.83955665,5.27348423,0.0,1788119495.5197365
wasmtime,logistic_regression,5,8025.1228445270535,4.8489946999999995,5.74386519,0.0,1788119497.5886812
wasmtime,logistic_regression,6,9940.912543484059,4.64745035,4.716984890000001,0.0,1788119499.4452786
wasmtime,logistic_regression,7,8397.416338658806,4.8274864,5.786404290000003,0.0,1788119501.489564
wasmtime,logistic_regression,8,8187.013780557436,4.812664300000001,5.74312805,0.0,1788119503.5490618
wasmtime,logistic_regression,9,10082.846253732228,3.2582399000000004,4.72862956,0.0,1788119505.499571
wasmtime,logistic_regression,10,8156.171779034704,4.79747315,5.7560340100000005,0.0,1788119507.568389
wasmtime,logistic_regression,11,9885.272226625919,4.66139215,4.7136020599999995,0.0,1788119509.4363832
wasmtime,logistic_regression,12,9971.137203433904,4.6498327,4.71025782,0.0,1788119511.2889552
wasmtime,logistic_regression,13,10003.148255782033,4.63348085,4.70077444,0.0,1788119513.1403
wasmtime,logistic_regression,14,8874.001166228254,4.8063791,5.87290239,0.0,1788119515.1541958
wasmtime,logistic_regression,15,8228.760445401736,4.8461521,5.78650065,0.0,1788119517.2103245
wasmtime,logistic_regression,16,9953.939574941156,4.6663778,4.81801489,0.0,1788119519.0641344
wasmtime,logistic_regression,17,9954.75421056513,4.65480085,4.73610712,0.0,1788119520.917949
wasmtime,logistic_regression,18,9868.023556353222,4.68493085,4.763638660000001,0.0,1788119522.7758446
wasmtime,logistic_regression,19,8501.159553533103,4.8424154999999995,5.77591075,0.0,1788119524.8170898
wasmtime,logistic_regression,20,8208.764104745129,4.85784315,5.77493734,0.0,1788119526.8768113
wasmtime,logistic_regression,21,9998.04314342058,4.64300005,4.73422048,0.0,1788119528.7315552
wasmtime,logistic_regression,22,9936.555955911403,4.6386028,4.680695330000001,0.0,1788119530.5881937
wasmtime,logistic_regression,23,8545.478687497436,4.85667745,5.780710040000002,0.0,1788119532.6205318
wasmtime,logistic_regression,24,9954.093134286011,4.66463685,4.72114614,0.0,1788119534.4771836
wasmtime,logistic_regression,25,7575.010713510059,4.8233802,5.76455182,0.0,1788119536.5958056
wasmtime,logistic_regression,26,8422.947812054223,4.8054267,5.77324325,0.0,1788119538.634759
wasmtime,logistic_regression,27,10016.80117911209,4.6202585,4.6626058,0.0,1788119540.4791968
wasmtime,logistic_regression,28,8411.924342760476,4.7807353500000005,5.72324225,0.0,1788119542.5233195
wasmtime,logistic_regression,29,7657.136693041032,4.85768275,5.73720909,0.0,1788119544.6230338
wasmtime,logistic_regression,30,8644.346611548803,4.7854858,5.75985858,0.0,1788119546.6518323
wasmtime,logistic_regression,31,10070.384207323445,4.6334226,4.75386996,0.0,1788119548.4979732
wasmtime,logistic_regression,32,8437.631615285967,4.8160027,5.75747794,0.0,1788119550.538947
wasmtime,logistic_regression,33,9969.313398014792,4.651414450000001,4.7291069,0.0,1788119552.398176
wasmtime,logistic_regression,34,9996.944054079362,4.64875875,4.72473167,0.0,1788119554.251795
wasmtime,logistic_regression,35,9975.848850443455,4.64493735,4.72087837,0.0,1788119556.1085541
wasmtime,logistic_regression,36,8571.077918876528,4.82921875,5.7899418,0.0,1788119558.1408482
wasmtime,logistic_regression,37,9971.936477102427,4.6584110999999995,4.72765613,0.0,1788119559.994008
wasmtime,logistic_regression,38,10010.737419244539,4.6124719999999995,4.67226232,0.0,1788119561.846167
wasmtime,logistic_regression,39,9950.146241667799,4.6694635,4.77886388,0.0,1788119563.7037637
wasmtime,logistic_regression,40,9933.569415948528,4.6570364,4.74427824,0.0,1788119565.5663266
wasmtime,logistic_regression,41,8071.839317046725,4.7990292,5.76882562,0.0,1788119567.6376853
wasmtime,logistic_regression,42,9952.900144937112,4.63607115,4.7095273,0.0,1788119569.4956062
wasmtime,logistic_regression,43,8563.965107737371,4.8722501,5.862819630000001,0.0,1788119571.5294862
wasmtime,logistic_regression,44,9900.753994054048,4.688477,4.75190038,0.0,1788119573.3863156
wasmtime,logistic_regression,45,9997.764701602404,4.6484017,4.69883036,0.0,1788119575.2465336
wasmtime,logistic_regression,46,9988.280892188042,4.65665105,4.785573950000001,0.0,1788119577.0979636
wasmtime,logistic_regression,47,9870.007377545435,4.6639015,4.71945628,0.0,1788119578.958252
wasmtime,logistic_regression,48,8425.05495888607,4.85825475,5.81875178,0.0,1788119581.0007565
wasmtime,logistic_regression,49,9870.362403867994,4.68888985,4.76391762,0.0,1788119582.8594742
wasmtime,logistic_regression,50,8524.61314794628,4.78244985,5.806599190000001,0.0,1788119584.9007447
wasmtime,logistic_regression,51,9903.562455816229,4.6782841500000005,4.76022628,0.0,1788119586.7640636
wasmtime,logistic_regression,52,8166.4976512654475,4.82741765,5.748087770000001,0.0,1788119588.8248835
wasmtime,logistic_regression,53,10015.524222727676,4.63310015,4.6953565600000005,0.0,1788119590.67708
wasmtime,logistic_regression,54,9922.058460864304,4.6649748,4.745329880000001,0.0,1788119592.5321054
wasmtime,logistic_regression,55,9986.122313840522,4.627229099999999,4.71827831,0.0,1788119594.3848445
wasmtime,logistic_regression,56,10009.061366633541,4.63696875,4.74402698,0.0,1788119596.2402287
wasmtime,logistic_regression,57,9964.388845186404,4.64639335,4.7469141200000005,0.0,1788119598.0989702
