backend,pair,model_a,model_b,repetition,a_throughput_rps,a_p95_latency_ms,a_p99_latency_ms,a_error_rate,b_throughput_rps,b_p95_latency_ms,b_p99_latency_ms,b_error_rate,timestamp_unix
wasmtime,lr_lr,logistic_regression,logistic_regression,1,5140.012421916531,6.356579399999999,7.782812720000001,0.0,5101.588611346086,6.343060449999999,7.522563830000001,0.0,1788119599.5046291
wasmtime,lr_lr,logistic_regression,logistic_regression,2,4119.403287642246,9.6256887,10.03881922,0.0,4120.000238280757,9.65917705,10.078987530000001,0.0,1788119602.2548842
wasmtime,lr_lr,logistic_regression,logistic_regression,3,5127.695340212841,6.3702234,7.59595159000001,0.0,5089.312941640165,6.37515395,6.700328970000003,0.0,1788119604.6664884
wasmtime,lr_lr,logistic_regression,logistic_regression,4,4274.4644391960255,9.57602235,10.062425890000002,0.0,4247.323777400331,9.57368505,10.10697457,0.0,1788119607.3756964
wasmtime,lr_lr,logistic_regression,logistic_regression,5,5083.605701191946,6.4429643,7.390644390000006,0.0,5045.759738481613,6.4332651499999995,7.678332220000002,0.0,1788119609.796107
wasmtime,lr_lr,logistic_regression,logistic_regression,6,4853.245956721645,9.4112414,9.99193934,0.0,4819.139958060699,9.40599035,10.02529199,0.0,1788119612.3619905
wasmtime,lr_lr,logistic_regression,logistic_regression,7,5080.503070849065,6.3807815,6.6504784,0.0,5042.808635717392,6.39318385,6.598497500000002,0.0,1788119614.7826204
wasmtime,lr_lr,logistic_regression,logistic_regression,8,5097.952220585358,6.30039705,6.509924350000001,0.0,5060.357429233643,6.290879299999999,6.514423650000002,0.0,1788119617.2048678
wasmtime,lr_lr,logistic_regression,logistic_regression,9,5112.751643195417,6.33164325,6.520653790000001,0.0,5075.171651600217,6.3256079000000005,6.5193673500000004,0.0,1788119619.6176124
wasmtime,lr_lr,logistic_regression,logistic_regression,10,4706.9171582659155,9.47516635,9.90672667,0.0,4674.759398347828,9.474049449999999,9.840908129999999,0.0,1788119622.2156441
wasmtime,lr_lr,logistic_regression,logistic_regression,11,5170.1250610363495,6.30011675,7.80605621000001,0.0,5131.043480659257,6.3178614500000005,6.6904164300000035,0.0,1788119624.6165187
wasmtime,lr_lr,logistic_regression,logistic_regression,12,5124.87162552251,6.339239850000001,6.861976470000009,0.0,5086.834306134616,6.3521707,6.561980170000002,0.0,1788119627.0280828
wasmtime,lr_lr,logistic_regression,logistic_regression,13,5142.05235267019,6.362434800000001,8.21562669000001,0.0,5103.63067417251,6.36295455,6.85412172000001,0.0,1788119629.4337301
wasmtime,lr_lr,logistic_regression,logistic_regression,14,4772.236798908603,9.4913389,9.909744170000002,0.0,4738.962291963588,9.479924650000001,9.915966070000001,0.0,1788119632.0158434
wasmtime,lr_lr,logistic_regression,logistic_regression,15,5111.7456264074835,6.35733735,6.5486639900000005,0.0,5073.922299404116,6.3414792,6.576674700000005,0.0,1788119634.4306931
wasmtime,lr_lr,logistic_regression,logistic_regression,16,5080.548391684623,6.39453005,6.599100760000001,0.0,5081.253662393223,6.39897385,6.64396208,0.0,1788119636.8529084
wasmtime,lr_lr,logistic_regression,logistic_regression,17,5018.194124185478,6.47556665,7.51753948000001,0.0,4980.8417901125185,6.438791200000001,6.6940768,0.0,1788119639.288052
wasmtime,lr_lr,logistic_regression,logistic_regression,18,5129.459757711693,6.317660849999999,6.548286680000002,0.0,5130.193863941368,6.3337576,6.59151848,0.0,1788119641.696712
wasmtime,lr_lr,logistic_regression,logistic_regression,19,5125.680232771192,6.3898170499999996,7.941471010000008,0.0,5086.873932090626,6.388356750000001,6.728843670000001,0.0,1788119644.1099958
wasmtime,lr_lr,logistic_regression,logistic_regression,20,5090.686666388407,6.359732,7.31974360000001,0.0,5053.178055388115,6.37337285,6.58729952,0.0,1788119646.5299554
wasmtime,lr_lr,logistic_regression,logistic_regression,21,5145.156847681828,6.353752350000001,6.939324890000011,0.0,5106.583280042431,6.34514525,6.547306220000006,0.0,1788119648.9389694
wasmtime,lr_lr,logistic_regression,logistic_regression,22,5112.771068133319,6.36632435,6.534231080000003,0.0,5074.745211750849,6.3505394,6.603893450000001,0.0,1788119651.3539348
wasmtime,lr_lr,logistic_regression,logistic_regression,23,5136.855001743496,6.32019555,6.861428070000009,0.0,5099.014703629809,6.314853,6.5602382000000015,0.0,1788119653.7630916
wasmtime,lr_lr,logistic_regression,logistic_regression,24,5135.33244275716,6.352245,8.03417026000001,0.0,5136.069022091484,6.369581,6.7649956000000016,0.0,1788119656.1702259
wasmtime,lr_lr,logistic_regression,logistic_regression,25,5002.195902689913,6.4496398,6.703413440000001,0.0,4965.565826770062,6.4620476,6.682644850000001,0.0,1788119658.609201
wasmtime,lr_lr,logistic_regression,logistic_regression,26,5064.612160759247,6.48358275,9.355330020000004,0.0,5065.355803332513,6.4356018,8.034222610000011,0.0,1788119661.0343246
wasmtime,lr_lr,logistic_regression,logistic_regression,27,5038.134496950269,6.3949425,6.587854800000001,0.0,5000.838822290774,6.4096662,6.607988700000001,0.0,1788119663.458582
wasmtime,lr_lr,logistic_regression,logistic_regression,28,5033.645496628279,6.45550665,6.63338159,0.0,4992.668869625792,6.4672708000000005,6.648471110000001,0.0,1788119665.9343467
wasmtime,lr_lr,logistic_regression,logistic_regression,29,5157.496023977386,6.3251537,7.53242474000001,0.0,5118.793411855102,6.315902650000001,6.613344920000001,0.0,1788119668.3375187
wasmtime,lr_lr,logistic_regression,logistic_regression,30,5158.889840022187,6.3127634,6.6039249600000005,0.0,5120.584746951162,6.30696805,6.50866374,0.0,1788119670.7450361
wasmtime,lr_lr,logistic_regression,logistic_regression,31,5035.814504746961,6.43704225,7.16732806000001,0.0,4999.284511386013,6.4165009,6.6203984600000005,0.0,1788119673.1771758
wasmtime,lr_lr,logistic_regression,logistic_regression,32,4400.807256211999,9.741717249999999,10.18080385,0.0,4368.46208544989,9.761637,10.17312234,0.0,1788119675.860327
wasmtime,lr_lr,logistic_regression,logistic_regression,33,5121.134118347574,6.3304187,6.55534527,0.0,5082.73906836843,6.3311683,6.59001738,0.0,1788119678.2753122
wasmtime,lr_lr,logistic_regression,logistic_regression,34,5089.61493679532,6.413393300000001,7.07863391000001,0.0,5090.325907702461,6.39567375,6.657755850000003,0.0,1788119680.6966116
wasmtime,lr_lr,logistic_regression,logistic_regression,35,5063.909130309851,6.33973385,7.936222980000008,0.0,5026.828252068345,6.3511123000000005,6.700036980000001,0.0,1788119683.121879
wasmtime,lr_lr,logistic_regression,logistic_regression,36,5119.626755726845,6.368539050000001,7.48579671000001,0.0,5076.545185023198,6.3671321,6.58804607,0.0,1788119685.541179
wasmtime,lr_lr,logistic_regression,logistic_regression,37,5115.228484101855,6.35005425,6.593953860000001,0.0,5076.796120101634,6.36427125,6.5774149200000025,0.0,1788119687.9578521
wasmtime,lr_lr,logistic_regression,logistic_regression,38,5115.536394757114,6.4090444,6.612168730000001,0.0,5075.420339716856,6.39950385,6.6079704500000025,0.0,1788119690.3901384
wasmtime,lr_lr,logistic_regression,logistic_regression,39,5112.7292970307,6.33570355,8.15719239000001,0.0,5075.105641131183,6.31918625,6.840121280000008,0.0,1788119692.8063257
wasmtime,lr_lr,logistic_regression,logistic_regression,40,5063.431600847272,6.42335965,9.199644870000009,0.0,5020.945986674006,6.4297565,7.891827490000011,0.0,1788119695.2396386
wasmtime,lr_lr,logistic_regression,logistic_regression,41,5131.119813434456,6.3376617,7.03512184000001,0.0,5092.726390795951,6.32327335,6.54192721,0.0,1788119697.6536474
wasmtime,lr_lr,logistic_regression,logistic_regression,42,4925.5614245712495,6.3544021,6.615066240000002,0.0,4926.230990734753,6.355938500000001,6.647763210000001,0.0,1788119700.1069927
wasmtime,lr_lr,logistic_regression,logistic_regression,43,5137.92703756543,6.33547435,7.829033920000006,0.0,5138.654477785296,6.33833655,7.736564810000003,0.0,1788119702.5185618
wasmtime,lr_lr,logistic_regression,logistic_regression,44,5097.027921346107,6.3822783,6.80005831,0.0,5053.408122843285,6.3911935,6.652220280000001,0.0,1788119704.9430292
wasmtime,lr_lr,logistic_regression,logistic_regression,45,5131.216922717209,6.3695084,7.428614140000011,0.0,5131.944651881205,6.34735345,6.623833490000003,0.0,1788119707.355905
wasmtime,lr_lr,logistic_regression,logistic_regression,46,5119.785563180679,6.3956985,7.323658300000011,0.0,5081.238888606462,6.378722450000001,6.6404388,0.0,1788119709.7686417
wasmtime,lr_lr,logistic_regression,logistic_regression,47,5129.891004558629,6.35341895,7.81470867000001,0.0,5130.619436330046,6.34716365,7.363492300000006,0.0,1788119712.1798139
wasmtime,lr_lr,logistic_regression,logistic_regression,48,4964.837201586708,6.78540115,8.42021227000001,0.0,4965.498478106482,6.78799405,7.27011182,0.0,1788119714.6314673
wasmtime,lr_lr,logistic_regression,logistic_regression,49,3322.6983771434457,9.7326425,10.04244616,0.0,3297.864983760922,9.7657931,10.090036040000001,0.0,1788119717.6990087
wasmtime,lr_lr,logistic_regression,logistic_regression,50,5092.864846620492,6.39314,7.0174526800000105,0.0,5054.682658317108,6.3815149,6.621495910000001,0.0,1788119720.1195574
wasmtime,lr_lr,logistic_regression,logistic_regression,51,5039.345755993966,6.5161413,7.914486920000001,0.0,5002.916945271273,6.5302710500000005,7.6129741700000055,0.0,1788119722.54379
wasmtime,lr_lr,logistic_regression,logistic_regression,52,4604.622992720147,9.4971548,9.907275440000001,0.0,4573.952543696997,9.51108595,9.89410943,0.0,1788119725.170593
wasmtime,lr_lr,logistic_regression,logistic_regression,53,5170.852489061759,6.33898395,8.79372453000001,0.0,5131.658240880073,6.3449314,7.466896280000009,0.0,1788119727.577618
wasmtime,lr_lr,logistic_regression,logistic_regression,54,5169.534139739681,6.32299085,7.86875059000001,0.0,5130.363233333218,6.31275895,6.679197650000001,0.0,1788119729.982718
wasmtime,lr_lr,logistic_regression,logistic_regression,55,4290.334618421037,9.531626549999999,10.114369040000001,0.0,4290.968809922487,9.5385906,10.16346713,0.0,1788119732.6847823
wasmtime,lr_lr,logistic_regression,logistic_regression,56,5111.668717947138,6.38259785,7.4287832100000095,0.0,5067.601074195755,6.3843505,6.642732810000001,0.0,1788119735.1089065
wasmtime,lr_lr,logistic_regression,logistic_regression,57,5108.8767521533555,6.3478971,6.570033580000001,0.0,5070.869273041725,6.357686999999999,6.581827540000002,0.0,1788119737.5290456
wasmtime,lr_lr,logistic_regression,logistic_regression,58,4628.434949969267,9.531537700000001,9.844439490000001,0.0,4597.517797446972,9.54461935,9.82375624,0.0,1788119740.1443298
wasmtime,lr_lr,logistic_regression,logistic_regression,59,5149.720724813649,6.34585885,8.177352300000008,0.0,5110.548879661156,6.341722,7.057323870000001,0.0,1788119742.5527995
wasmtime,lr_lr,logistic_regression,logistic_regression,60,5123.698710074322,6.347773549999999,7.27722233000001,0.0,5080.135795895462,6.35596885,6.582037050000003,0.0,1788119744.9732988
