backend,pair,model_a,model_b,repetition,a_throughput_rps,a_p95_latency_ms,a_p99_latency_ms,a_error_rate,b_throughput_rps,b_p95_latency_ms,b_p99_latency_ms,b_error_rate,timestamp_unix
wasmtime,lr_svm,logistic_regression,svm,1,3984.76788379624,10.974267600000001,11.46098698,0.0,3985.3228248530686,10.973909,11.4415003,0.0,1788121703.749312
wasmtime,lr_svm,logistic_regression,svm,2,3569.9109590799585,10.14936905,10.6144779,0.0,3570.341583492988,10.1214534,10.64264541,0.0,1788121706.6433277
wasmtime,lr_svm,logistic_regression,svm,3,4253.910092301432,10.00216865,10.45557436,0.0,4227.242944528987,9.995252350000001,10.462732650000001,0.0,1788121709.350379
wasmtime,lr_svm,logistic_regression,svm,4,4911.959593687184,6.62502665,6.81159151,0.0,4876.201470847494,6.62120325,6.831692550000004,0.0,1788121711.8038747
wasmtime,lr_svm,logistic_regression,svm,5,3999.2494620755283,10.0373549,10.459850370000002,0.0,3975.580654711368,10.064963350000001,10.50225238,0.0,1788121714.5922093
wasmtime,lr_svm,logistic_regression,svm,6,4116.9758493508925,9.98554315,10.42515735,0.0,4092.4642298027265,9.9972858,10.441610630000001,0.0,1788121717.3480284
wasmtime,lr_svm,logistic_regression,svm,7,3939.9597259772536,10.0830543,10.482930790000001,0.0,3940.500380273568,10.089594049999999,10.510149,0.0,1788121720.1704886
wasmtime,lr_svm,logistic_regression,svm,8,4259.4581763871865,9.9276281,10.369916780000002,0.0,4232.887256773076,9.9579977,10.32716748,0.0,1788121722.8814242
wasmtime,lr_svm,logistic_regression,svm,9,4554.339429579503,9.8748643,10.29751697,0.0,4520.619438192454,9.8657382,10.27619172,0.0,1788121725.5223904
wasmtime,lr_svm,logistic_regression,svm,10,4842.077559605858,6.6420403,6.891671630000001,0.0,4808.248623150826,6.61804755,6.86518806,0.0,1788121728.0018053
