backend,model,repetition,throughput_rps,p95_latency_ms,p99_latency_ms,error_rate,timestamp_unix
wasmtime,naive_bayes,1,9281.212019294882,4.103937600000011,5.23745758,0.0,1788168289.705913
wasmtime,naive_bayes,2,9273.316919243083,5.09342585,5.16619501,0.0,1788168291.5983005
wasmtime,naive_bayes,3,7495.54463528585,5.1818745,6.26136224,0.0,1788168293.7155395
wasmtime,naive_bayes,4,7695.3596906520825,5.17738925,6.35789472,0.0,1788168295.8143187
wasmtime,naive_bayes,5,7652.2594029687625,5.1240048499999995,6.273404220000001,0.0,1788168297.9161913
wasmtime,naive_bayes,6,7816.784856480058,5.1908215,6.34049653,0.0,1788168300.00902
wasmtime,naive_bayes,7,7837.370958866934,5.1479393,6.28419525,0.0,1788168302.0933182
wasmtime,naive_bayes,8,7964.288763652716,5.1352249,6.23842842,0.0,1788168304.1730223
wasmtime,naive_bayes,9,8280.25693081406,5.13654575,6.2791612699999995,0.0,1788168306.2256725
wasmtime,naive_bayes,10,9410.528589546404,5.048766250000001,5.123630670000001,0.0,1788168308.1082866
wasmtime,naive_bayes,11,8268.658702531724,5.2358968,6.3866757,0.0,1788168310.1620126
wasmtime,naive_bayes,12,9316.629485707308,5.072388300000002,5.21903059,0.0,1788168312.05456
wasmtime,naive_bayes,13,6820.076896754047,5.2229254,6.36909831,0.0,1788168314.239562
wasmtime,naive_bayes,14,9345.839211406854,5.112076999999999,5.17489989,0.0,1788168316.119712
wasmtime,naive_bayes,15,9355.68953223777,5.026963450000005,5.23206787,0.0,1788168318.0102792
wasmtime,naive_bayes,16,7491.658634803228,5.1777481000000005,6.319153380000001,0.0,1788168320.1283913
wasmtime,naive_bayes,17,8175.093488530444,5.1666070500000005,6.322437,0.0,1788168322.1887283
wasmtime,naive_bayes,18,9355.300317882238,5.02718225,5.1557499700000005,0.0,1788168324.0784752
wasmtime,naive_bayes,19,7765.222097276226,5.1611946,6.30397244,0.0,1788168326.1712203
wasmtime,naive_bayes,20,8423.34940707084,5.1189147,6.27814473,0.0,1788168328.2097914
wasmtime,naive_bayes,21,9339.444693813262,5.04367835,5.1410054,0.0,1788168330.0996087
wasmtime,naive_bayes,22,8136.686609257063,5.2083461,6.37791028,0.0,1788168332.1645656
wasmtime,naive_bayes,23,9319.380792625121,5.0837591,5.19138491,0.0,1788168334.058723
wasmtime,naive_bayes,24,8369.985645094435,5.1401218,6.25073034,0.0,1788168336.104508
wasmtime,naive_bayes,25,9225.824200253457,5.076446250000001,5.208693220000001,0.0,1788168337.9993904
wasmtime,naive_bayes,26,8425.814091092725,5.1185102,6.258850550000001,0.0,1788168340.044031
wasmtime,naive_bayes,27,8131.849933463126,5.124961300000001,6.27379928,0.0,1788168342.1073833
wasmtime,naive_bayes,28,8096.213490159237,5.1844104,6.36905951,0.0,1788168344.178379
wasmtime,naive_bayes,29,7927.457737815897,5.21140425,6.332287930000001,0.0,1788168346.2669907
wasmtime,naive_bayes,30,9332.590681469492,5.0531862,5.1523422000000005,0.0,1788168348.1557095
wasmtime,naive_bayes,31,6784.99898633397,5.14911725,6.35480659,0.0,1788168350.3405025
wasmtime,naive_bayes,32,8001.863615622824,5.20972205,6.3973806799999995,0.0,1788168352.4207861
wasmtime,naive_bayes,33,9317.941208943188,5.05180795,5.16930968,0.0,1788168354.3118863
wasmtime,naive_bayes,34,7818.296395745271,5.2085396500000005,6.34471989,0.0,1788168356.4007204
wasmtime,naive_bayes,35,8183.731903331137,5.15022785,6.2883451,0.0,1788168358.4612331
wasmtime,naive_bayes,36,9303.542581180818,5.09591935,5.17941676,0.0,1788168360.351156
wasmtime,naive_bayes,37,9217.959386021867,5.102374,5.21750526,0.0,1788168362.2474735
wasmtime,naive_bayes,38,9304.923644484712,5.0544086,5.15476147,0.0,1788168364.139151
wasmtime,naive_bayes,39,9385.49307426715,5.02877785,5.140049950000001,0.0,1788168366.0230265
wasmtime,naive_bayes,40,9384.630640290305,5.0169708,5.1034013,0.0,1788168367.9079084
wasmtime,naive_bayes,41,9293.63409753585,5.0926246,5.14724813,0.0,1788168369.7983181
wasmtime,naive_bayes,42,9299.412304019099,5.0621314,5.1745862,0.0,1788168371.6802003
wasmtime,naive_bayes,43,9336.960332866114,5.08153595,5.17738789,0.0,1788168373.5735161
wasmtime,naive_bayes,44,9382.210411394663,5.06128465,5.199756710000001,0.0,1788168375.4630988
wasmtime,naive_bayes,45,7858.026557177793,5.2217534,6.365530430000001,0.0,1788168377.5520804
wasmtime,naive_bayes,46,8118.888772317099,5.1782553,6.3272621099999995,0.0,1788168379.6175961
wasmtime,naive_bayes,47,9323.483882783354,5.03528315,5.1249297,0.0,1788168381.5079355
wasmtime,naive_bayes,48,9344.304072226943,5.05422835,5.13885937,0.0,1788168383.3912737
wasmtime,naive_bayes,49,9379.799411285325,5.040938,5.16249802,0.0,1788168385.2770934
wasmtime,naive_bayes,50,9266.549287238096,5.065157500000001,5.3176983,0.0,1788168387.1704812
wasmtime,naive_bayes,51,9175.272040748263,5.1103074,5.24978105,0.0,1788168389.0710285
wasmtime,naive_bayes,52,9409.952413733965,5.026721,5.10292287,0.0,1788168390.9539366
