backend,pair,model_a,model_b,repetition,a_throughput_rps,a_p95_latency_ms,a_p99_latency_ms,a_error_rate,b_throughput_rps,b_p95_latency_ms,b_p99_latency_ms,b_error_rate,timestamp_unix
wasmtime,nb_nb,naive_bayes,naive_bayes,1,4782.613827614779,6.81424225,7.1733180400000025,0.0,4743.320942425687,6.8043629999999995,7.057021780000001,0.0,1788168392.441863
wasmtime,nb_nb,naive_bayes,naive_bayes,2,4768.262286973579,6.80874425,7.0400687600000005,0.0,4734.711835518018,6.800312750000001,7.08049985,0.0,1788168394.9270165
wasmtime,nb_nb,naive_bayes,naive_bayes,3,4795.502979723371,6.7624414,7.039584770000001,0.0,4762.11498906352,6.76410655,7.01853278,0.0,1788168397.4040556
wasmtime,nb_nb,naive_bayes,naive_bayes,4,4798.28184139274,6.799744349999999,7.767599220000015,0.0,4764.712257503609,6.79300735,7.061893630000001,0.0,1788168399.877991
wasmtime,nb_nb,naive_bayes,naive_bayes,5,4652.862634878328,6.8011152500000005,7.0662361,0.0,4616.251363089988,6.77582775,7.04808516,0.0,1788168402.3952777
wasmtime,nb_nb,naive_bayes,naive_bayes,6,4760.231458061038,6.8439893,7.3962764199999995,0.0,4726.936151568023,6.8473008,7.247389930000001,0.0,1788168404.8849235
wasmtime,nb_nb,naive_bayes,naive_bayes,7,4797.5903792729805,6.77899685,7.180986290000007,0.0,4764.151154110041,6.799301450000001,7.025761830000004,0.0,1788168407.3631618
wasmtime,nb_nb,naive_bayes,naive_bayes,8,4752.092726929435,6.7682949,7.00301604,0.0,4719.077329452491,6.782193550000001,6.99533381,0.0,1788168409.854496
wasmtime,nb_nb,naive_bayes,naive_bayes,9,4681.641073427919,6.797250550000001,8.796739830000012,0.0,4682.225213465832,6.7773922,7.1764511500000125,0.0,1788168412.371061
wasmtime,nb_nb,naive_bayes,naive_bayes,10,3939.9159544488894,10.3573563,10.77691737,0.0,3917.389573470653,10.3649736,10.75392694,0.0,1788168415.1782784
wasmtime,nb_nb,naive_bayes,naive_bayes,11,4136.586795840284,10.3149284,10.69119478,0.0,4137.182308495274,10.319615500000001,10.700135560000001,0.0,1788168417.923045
wasmtime,nb_nb,naive_bayes,naive_bayes,12,4683.274594816309,6.855380800000001,7.0395911500000015,0.0,4683.889545384357,6.81225695,7.0685287,0.0,1788168420.428583
wasmtime,nb_nb,naive_bayes,naive_bayes,13,4645.539367763319,6.9029488500000005,7.04548436,0.0,4646.129369696959,6.85043455,7.066592280000001,0.0,1788168422.9470248
wasmtime,nb_nb,naive_bayes,naive_bayes,14,4777.975393328799,6.82272925,7.171177250000005,0.0,4745.3952263190595,6.810778600000001,7.06224733,0.0,1788168425.4308999
wasmtime,nb_nb,naive_bayes,naive_bayes,15,4779.844963556511,6.79810935,7.072040540000001,0.0,4780.480196055862,6.7991459,7.06817719,0.0,1788168427.910739
wasmtime,nb_nb,naive_bayes,naive_bayes,16,4786.077011379435,6.7984937,7.0520389,0.0,4752.574880579775,6.79688505,7.02611272,0.0,1788168430.389795
wasmtime,nb_nb,naive_bayes,naive_bayes,17,4715.045289980708,6.9069284500000006,7.098574660000001,0.0,4715.800905799577,6.9059082,7.13028773,0.0,1788168432.9922137
wasmtime,nb_nb,naive_bayes,naive_bayes,18,4711.872021072584,6.77092225,7.075899140000001,0.0,4679.543416067532,6.7912393,7.066127170000001,0.0,1788168435.490406
wasmtime,nb_nb,naive_bayes,naive_bayes,19,4820.335327084997,6.7875008,8.47594835000001,0.0,4786.585294527979,6.7831792,7.135719630000004,0.0,1788168437.9666119
wasmtime,nb_nb,naive_bayes,naive_bayes,20,4743.408409865316,6.7682583,7.0695083400000005,0.0,4744.035067106797,6.7620369,7.0178664699999995,0.0,1788168440.4562428
wasmtime,nb_nb,naive_bayes,naive_bayes,21,4780.899185827351,6.8324776,7.346619420000011,0.0,4743.153141039274,6.83585175,7.07921774,0.0,1788168442.9470131
wasmtime,nb_nb,naive_bayes,naive_bayes,22,4775.887855543707,6.7838572500000005,7.011690270000001,0.0,4742.854076512772,6.79565185,7.01595879,0.0,1788168445.431527
wasmtime,nb_nb,naive_bayes,naive_bayes,23,4622.6174282232905,6.782855,7.083093320000001,0.0,4623.197819741949,6.79869285,7.11810563,0.0,1788168447.947961
wasmtime,nb_nb,naive_bayes,naive_bayes,24,4828.422000452029,6.7663531,8.45278563000001,0.0,4794.256296575243,6.77283775,7.102386020000006,0.0,1788168450.4210823
wasmtime,nb_nb,naive_bayes,naive_bayes,25,4747.678796950795,6.80130635,7.23032658,0.0,4710.898634200779,6.8147701,7.1708432700000015,0.0,1788168452.9157915
