backend,model,repetition,throughput_rps,p95_latency_ms,p99_latency_ms,error_rate,timestamp_unix
wasmtime,random_forest,1,9422.03015784608,5.022944850000001,5.142743970000001,0.0,1788122934.119893
wasmtime,random_forest,2,9353.30147056439,5.0769096000000005,5.15397893,0.0,1788122936.0070453
wasmtime,random_forest,3,9268.881800370096,5.0560017,5.446430620000006,0.0,1788122937.8999631
wasmtime,random_forest,4,9330.719386510596,5.0833618000000005,5.1554673300000005,0.0,1788122939.7910273
wasmtime,random_forest,5,9356.162733610588,5.07310445,5.17915918,0.0,1788122941.679378
wasmtime,random_forest,6,9344.17226350442,5.06369155,5.17234208,0.0,1788122943.5697174
wasmtime,random_forest,7,9252.958166752103,3.4510259,5.18756634,0.0,1788122945.4841886
wasmtime,random_forest,8,9383.764748258556,5.0679053000000005,5.15186866,0.0,1788122947.369383
wasmtime,random_forest,9,9337.056391649077,5.0847734,5.18589108,0.0,1788122949.2582996
wasmtime,random_forest,10,9221.443505931524,5.08542865,5.25737426,0.0,1788122951.156113
wasmtime,random_forest,11,9408.486421233845,5.0534035,5.18571638,0.0,1788122953.0429392
wasmtime,random_forest,12,9384.217591737297,5.0513385500000005,5.16077218,0.0,1788122954.9347382
wasmtime,random_forest,13,9290.043588377177,5.094261250000001,5.21133371,0.0,1788122956.8270907
wasmtime,random_forest,14,9323.14575215742,5.05514745,5.1624474000000005,0.0,1788122958.7150402
wasmtime,random_forest,15,9353.268929141055,5.07271535,5.179720980000001,0.0,1788122960.6022432
wasmtime,random_forest,16,9275.56760072875,5.10054485,5.2029203200000005,0.0,1788122962.496191
wasmtime,random_forest,17,8367.995085019591,5.1643968,6.33096697,0.0,1788122964.5418425
wasmtime,random_forest,18,9356.847511705379,5.0636457,5.131416890000001,0.0,1788122966.431471
wasmtime,random_forest,19,9226.452333279509,5.084367350000001,5.15832449,0.0,1788122968.3275309
wasmtime,random_forest,20,9414.221198476334,5.0481024,5.1306983100000005,0.0,1788122970.210882
wasmtime,random_forest,21,9401.17302614526,5.0290815,5.13721057,0.0,1788122972.094687
wasmtime,random_forest,22,9404.956703497764,5.078993650000003,5.2277386,0.0,1788122973.976307
wasmtime,random_forest,23,9344.399981287212,5.0866404,5.194792170000001,0.0,1788122975.8613143
wasmtime,random_forest,24,9401.236168259753,5.064138,5.21457117,0.0,1788122977.7497213
wasmtime,random_forest,25,9358.812635806775,5.069786250000001,5.15428563,0.0,1788122979.6375458
wasmtime,random_forest,26,9374.8782942723,5.09262815,5.18192964,0.0,1788122981.5242698
wasmtime,random_forest,27,9317.138407482915,5.0721664,5.1830872999999995,0.0,1788122983.4223852
