backend,model,repetition,throughput_rps,p95_latency_ms,p99_latency_ms,error_rate,timestamp_unix
wasmtime,svm,1,5665.172150425702,5.6492335,6.3790095200000065,0.0,1788120703.2138753
wasmtime,svm,2,7637.641494565553,5.60067845,6.67139311,0.0,1788120705.357721
wasmtime,svm,3,7123.645145686529,5.1471424,6.29748126,0.0,1788120707.5115728
wasmtime,svm,4,7612.100824126729,5.2215001,6.329790580000001,0.0,1788120709.6163025
wasmtime,svm,5,8206.463415931941,5.1133185999999995,6.32896111,0.0,1788120711.673051
wasmtime,svm,6,8060.213873561648,5.10138755,6.31539004,0.0,1788120713.7434661
wasmtime,svm,7,7526.280153231899,5.198811249999999,6.417297390000002,0.0,1788120715.8592446
wasmtime,svm,8,7832.268780517925,5.1588742,6.34196067,0.0,1788120717.9468417
wasmtime,svm,9,8131.419935082445,5.1099188,6.19450502,0.0,1788120720.0116136
wasmtime,svm,10,9306.090899643043,5.05716575,5.1760024100000015,0.0,1788120721.9023855
wasmtime,svm,11,9341.389600463875,5.04699435,5.12729429,0.0,1788120723.7934935
wasmtime,svm,12,9352.658961939664,5.0396671,5.12629909,0.0,1788120725.680087
wasmtime,svm,13,8295.980692338782,5.1437308,6.31384525,0.0,1788120727.7312844
wasmtime,svm,14,9289.678294083384,5.0818730500000004,5.1748249500000005,0.0,1788120729.6209183
wasmtime,svm,15,7494.7502739756055,5.2074792500000004,6.42065529,0.0,1788120731.739973
wasmtime,svm,16,9237.729906554834,5.11332195,5.26101476,0.0,1788120733.6327329
wasmtime,svm,17,7787.371098272814,5.1451552,5.918467530000007,0.0,1788120735.6620467
wasmtime,svm,18,7951.800902848906,5.1312767,6.2979767,0.0,1788120737.7383842
wasmtime,svm,19,9367.85456762631,5.07744015,5.16553021,0.0,1788120739.6261122
wasmtime,svm,20,9349.719371228113,5.0712325499999995,5.233689099999999,0.0,1788120741.5146203
wasmtime,svm,21,9346.172660970416,5.003403500000015,5.14733964,0.0,1788120743.4037607
wasmtime,svm,22,7241.941036675415,5.18092365,5.46734935,0.0,1788120745.5637
wasmtime,svm,23,8048.586744170157,5.1746482,6.3064357200000005,0.0,1788120747.6361
wasmtime,svm,24,7846.328304068117,5.1873399000000004,6.289068309999999,0.0,1788120749.725059
wasmtime,svm,25,8154.142202503321,5.162796,6.32406047,0.0,1788120751.7894819
wasmtime,svm,26,9359.537060269835,5.040907100000001,5.155779790000001,0.0,1788120753.6750772
wasmtime,svm,27,8040.379611305703,5.1592625000000005,6.335996860000001,0.0,1788120755.7558303
wasmtime,svm,28,7047.380222566842,5.179361500000001,6.27846409,0.0,1788120757.9184966
wasmtime,svm,29,9351.824200837817,4.99500295,5.136309040000001,0.0,1788120759.8072524
wasmtime,svm,30,9311.975244518288,5.0855778,5.18196153,0.0,1788120761.6984673
wasmtime,svm,31,9353.420581926688,5.05491305,5.17511699,0.0,1788120763.5869794
wasmtime,svm,32,8371.979365285186,5.1017278500000005,6.28005661,0.0,1788120765.6363394
wasmtime,svm,33,9379.666419029649,5.05256605,5.158178070000001,0.0,1788120767.5191834
wasmtime,svm,34,9329.35791602138,5.0834609,5.16963301,0.0,1788120769.4074569
wasmtime,svm,35,8270.110350561283,5.135002500000001,6.29338447,0.0,1788120771.461885
wasmtime,svm,36,9354.775156443482,5.04811505,5.17382993,0.0,1788120773.349319
wasmtime,svm,37,9309.305846581892,5.001308800000014,5.215308470000001,0.0,1788120775.2488565
wasmtime,svm,38,9217.909554855074,5.1197321,5.23064419,0.0,1788120777.1473172
wasmtime,svm,39,9264.30429051434,5.05830495,5.14988929,0.0,1788120779.041801
wasmtime,svm,40,9268.098157646791,5.0708322500000005,5.156831650000001,0.0,1788120780.936771
wasmtime,svm,41,9302.502696633048,5.1125421,5.23057988,0.0,1788120782.8280387
wasmtime,svm,42,9280.011479697123,5.086053300000001,5.17035243,0.0,1788120784.723317
wasmtime,svm,43,8116.43517239347,5.15296995,6.37028788,0.0,1788120786.789811
wasmtime,svm,44,8082.473651680474,5.1640438,6.368861440000001,0.0,1788120788.861221
wasmtime,svm,45,9375.991447151548,5.068942050000001,5.181090270000001,0.0,1788120790.74627
wasmtime,svm,46,9345.886612020151,5.0697935,5.18773171,0.0,1788120792.6308422
wasmtime,svm,47,8277.120151366682,5.13272635,6.28601357,0.0,1788120794.6831923
wasmtime,svm,48,9310.972100117606,5.061517800000004,5.18863524,0.0,1788120796.5739403
wasmtime,svm,49,9240.74322293491,5.108085549999999,5.19790259,0.0,1788120798.4691248
wasmtime,svm,50,9328.103697812605,5.06480275,5.15542043,0.0,1788120800.3618393
wasmtime,svm,51,9282.11905111873,5.0588623,5.181836350000001,0.0,1788120802.2545345
wasmtime,svm,52,9144.648081360552,5.12675855,5.24245913,0.0,1788120804.1526434
wasmtime,svm,53,6106.578241686402,5.2355668,6.33288504,0.0,1788120806.4353907
wasmtime,svm,54,9317.022570990724,5.0894119,5.1899070599999995,0.0,1788120808.327049
wasmtime,svm,55,9347.480836256074,5.038787000000001,5.13316463,0.0,1788120810.2157729
wasmtime,svm,56,9352.054311800717,5.0629841,5.168086800000001,0.0,1788120812.104085
wasmtime,svm,57,9277.329175811725,5.085397550000001,5.2488293100000005,0.0,1788120813.997796
wasmtime,svm,58,8180.114033189193,5.1238693,6.27499863,0.0,1788120816.0577002
wasmtime,svm,59,9323.698084806569,5.04875805,5.13333669,0.0,1788120817.9495368
wasmtime,svm,60,9405.029164159852,5.04607585,5.1246589899999995,0.0,1788120819.8367758
