backend,model,repetition,requests,throughput_rps,e2e_mean_ns,inference_mean_ns,execution_mean_ns,non_execution_e2e_ns,outside_inference_ns,server_non_execution_ns,timestamp_unix
docker,decision_tree,1,5000,5261.222447981574,183837.4646,343.1694,162.6758,183674.7888,183494.2952,180.4936,1788100661.1393633
docker,decision_tree,2,5000,5197.03194908999,186112.9108,343.7074,162.6926,185950.2182,185769.2034,181.0148,1788100664.333473
docker,decision_tree,3,5000,5215.218873799872,185491.422,345.8098,163.3238,185328.09819999998,185145.6122,182.486,1788100667.56009
docker,decision_tree,4,5000,5213.8004809699705,185636.2378,344.3404,162.58,185473.65780000002,185291.89740000002,181.76039999999998,1788100670.808352
docker,decision_tree,5,5000,5189.987765262898,186356.4924,339.7132,161.0474,186195.44499999998,186016.7792,178.66579999999996,1788100673.9718256
docker,decision_tree,6,5000,5141.114711917551,188362.7658,346.7914,164.168,188198.5978,188015.9744,182.6234,1788100677.2362783
docker,decision_tree,7,5000,5253.744402238279,184225.6832,340.7024,160.5774,184065.1058,183884.9808,180.125,1788100680.4670525
docker,decision_tree,8,5000,5231.896710912281,184922.782,337.8422,159.6764,184763.1056,184584.9398,178.1658,1788100683.6978076
docker,decision_tree,9,5000,5191.037305599811,186394.148,345.6524,162.971,186231.177,186048.4956,182.6814,1788100686.9350884
docker,decision_tree,10,5000,5194.523124028136,186301.021,338.3076,159.5098,186141.5112,185962.7134,178.79779999999997,1788100690.1822276
docker,decision_tree,11,5000,4749.1652220915585,204344.5008,348.1334,166.5408,204177.96000000002,203996.36740000002,181.5926,1788100693.511919
docker,decision_tree,12,5000,5222.699456149538,185395.4856,344.3548,163.9024,185231.58320000002,185051.1308,180.4524,1788100696.7808802
docker,decision_tree,13,5000,5218.4431594782645,185465.5882,343.2848,162.6216,185302.96659999999,185122.3034,180.66320000000002,1788100700.0797162
docker,decision_tree,14,5000,5268.514376016746,183733.777,344.2332,162.684,183571.093,183389.5438,181.5492,1788100703.3020716
docker,decision_tree,15,5000,5207.030866275955,185905.2914,345.7344,162.8608,185742.4306,185559.557,182.87359999999998,1788100706.4676368
docker,decision_tree,16,5000,5176.230696845126,186935.8422,340.402,159.7488,186776.0934,186595.4402,180.6532,1788100709.6670554
docker,decision_tree,17,5000,5199.475927574805,186209.9442,344.3072,162.2478,186047.6964,185865.637,182.0594,1788100712.8203187
docker,decision_tree,18,5000,5188.276924443891,186531.5356,345.2448,161.8346,186369.701,186186.29080000002,183.4102,1788100716.0680814
docker,decision_tree,19,5000,5199.63883360523,186138.071,341.5792,160.625,185977.446,185796.4918,180.95420000000001,1788100719.258671
docker,decision_tree,20,5000,5186.748318301736,186638.3466,343.785,162.3192,186476.0274,186294.5616,181.46580000000003,1788100722.4928637
