backend,model,repetition,requests,throughput_rps,e2e_mean_ns,inference_mean_ns,execution_mean_ns,non_execution_e2e_ns,outside_inference_ns,server_non_execution_ns,timestamp_unix
docker,kmeans,1,5000,5534.331303407622,174393.4218,289.2252,110.1538,174283.268,174104.19660000002,179.07139999999998,1788100776.299816
docker,kmeans,2,5000,5527.502894259876,174809.7028,288.6346,109.2862,174700.4166,174521.0682,179.34839999999997,1788100779.4602165
docker,kmeans,3,5000,5531.861095889054,174809.622,298.4246,110.3764,174699.2456,174511.1974,188.0482,1788100782.6243157
docker,kmeans,4,5000,5536.809936386559,174519.0998,290.2834,109.9228,174409.177,174228.8164,180.36059999999998,1788100785.7689471
docker,kmeans,5,5000,5561.774416909645,173635.7118,291.1624,110.0518,173525.66,173344.5494,181.11059999999998,1788100788.9524875
docker,kmeans,6,5000,5483.482759823187,176314.801,290.268,109.2504,176205.55060000002,176024.533,181.01759999999996,1788100792.117541
docker,kmeans,7,5000,5420.804829727261,178376.0816,291.7002,109.3752,178266.7064,178084.3814,182.325,1788100795.37178
docker,kmeans,8,5000,5483.662565313938,176329.045,289.8652,110.0924,176218.95260000002,176039.1798,179.77280000000002,1788100798.5475292
docker,kmeans,9,5000,5466.244946590519,176735.5598,293.4028,112.2136,176623.3462,176442.15699999998,181.18920000000003,1788100801.7417033
docker,kmeans,10,5000,5513.33068943045,175309.453,289.0448,109.0622,175200.39080000002,175020.4082,179.9826,1788100804.9033124
docker,kmeans,11,5000,5463.91945180914,176913.1088,294.0812,113.9732,176799.13559999998,176619.0276,180.108,1788100807.976824
docker,kmeans,12,5000,5367.0593101198365,180238.0362,289.8926,109.539,180128.4972,179948.1436,180.35360000000003,1788100811.1847224
docker,kmeans,13,5000,5496.592373704555,175834.9422,290.6804,109.6536,175725.2886,175544.26179999998,181.02680000000004,1788100814.3650079
docker,kmeans,14,5000,5473.993962930157,176676.7438,289.9432,110.3694,176566.3744,176386.8006,179.5738,1788100817.5220761
docker,kmeans,15,5000,5555.477481351828,173962.4852,290.598,109.3004,173853.1848,173671.8872,181.29760000000002,1788100820.6690528
docker,kmeans,16,5000,5524.474726126473,174939.8722,291.544,109.7592,174830.113,174648.32820000002,181.78479999999996,1788100823.804682
docker,kmeans,17,5000,5510.815918386876,175436.705,290.504,110.6454,175326.05959999998,175146.201,179.85860000000002,1788100826.8863435
docker,kmeans,18,5000,5531.606925903622,174605.4182,292.6634,112.8196,174492.5986,174312.7548,179.84380000000004,1788100830.032004
docker,kmeans,19,5000,5469.466321369824,176686.5896,292.508,109.8608,176576.7288,176394.0816,182.6472,1788100833.0767946
docker,kmeans,20,5000,5537.00371507442,174598.204,287.103,108.8992,174489.30479999998,174311.101,178.2038,1788100836.257224
