backend,model,repetition,requests,throughput_rps,e2e_mean_ns,inference_mean_ns,execution_mean_ns,non_execution_e2e_ns,outside_inference_ns,server_non_execution_ns,timestamp_unix
docker,logistic_regression,1,5000,3630.7024154625437,265493.6382,359.3108,185.7768,265307.8614,265134.3274,173.53399999999996,1788100260.7970092
docker,logistic_regression,2,5000,5511.907102321299,175169.011,453.5816,214.7998,174954.2112,174715.4294,238.78179999999998,1788100263.8195837
docker,logistic_regression,3,5000,5462.210349147525,176819.5008,357.7662,183.1472,176636.3536,176461.7346,174.61900000000003,1788100266.9512453
docker,logistic_regression,4,5000,5541.812936739507,174351.3786,357.5354,182.7522,174168.6264,173993.8432,174.7832,1788100270.0239182
docker,logistic_regression,5,5000,5578.982067116545,173133.5416,360.2932,183.6938,172949.8478,172773.2484,176.5994,1788100273.1028988
docker,logistic_regression,6,5000,5478.1432318363495,176311.1146,358.484,183.0908,176128.0238,175952.6306,175.39319999999998,1788100276.2292857
docker,logistic_regression,7,5000,5194.148260084394,186386.724,357.4366,180.9218,186205.80219999998,186029.2874,176.5148,1788100279.3937047
docker,logistic_regression,8,5000,5575.934021330192,173291.4142,359.0354,183.9238,173107.4904,172932.3788,175.11159999999998,1788100282.515578
docker,logistic_regression,9,5000,5404.992129516467,178767.82,362.4038,185.0052,178582.8148,178405.4162,177.3986,1788100285.6578574
docker,logistic_regression,10,5000,5547.692572392238,174115.4584,357.9728,182.7398,173932.7186,173757.4856,175.233,1788100288.7987487
docker,logistic_regression,11,5000,5548.048443302015,174114.7472,360.1972,185.669,173929.07820000002,173754.55000000002,174.5282,1788100291.95784
docker,logistic_regression,12,5000,5434.91645704222,177807.5522,357.7374,183.5746,177623.9776,177449.8148,174.16279999999998,1788100295.19051
docker,logistic_regression,13,5000,5566.543139118096,173493.9266,358.3668,183.3334,173310.5932,173135.55980000002,175.0334,1788100298.3455672
docker,logistic_regression,14,5000,5534.640831788167,174537.126,359.494,184.104,174353.022,174177.63199999998,175.39000000000001,1788100301.5124454
docker,logistic_regression,15,5000,5524.870004375983,174827.1384,357.6156,183.835,174643.3034,174469.5228,173.78059999999996,1788100304.6866078
docker,logistic_regression,16,5000,5560.717244363912,173737.3358,359.306,184.6912,173552.6446,173378.0298,174.61479999999997,1788100307.8073313
docker,logistic_regression,17,5000,5535.080764892178,174490.658,362.5244,184.77,174305.888,174128.1336,177.7544,1788100310.948097
docker,logistic_regression,18,5000,5488.578637354163,176082.5524,357.6298,182.7014,175899.851,175724.9226,174.92839999999998,1788100314.1575856
docker,logistic_regression,19,5000,5493.876734449023,175990.1684,351.1864,180.3662,175809.8022,175638.982,170.8202,1788100317.2555978
docker,logistic_regression,20,5000,5622.170106253101,171833.5776,361.2032,183.9156,171649.66199999998,171472.3744,177.28759999999997,1788100320.3359082
docker,logistic_regression,21,5000,5544.617399331087,174198.682,357.8068,182.5244,174016.1576,173840.8752,175.2824,1788100323.544022
docker,logistic_regression,22,5000,5504.028726480495,175640.8478,356.9306,182.6838,175458.164,175283.9172,174.24680000000004,1788100326.7290194
docker,logistic_regression,23,5000,5578.667808648968,173242.0218,360.9398,184.6984,173057.3234,172881.082,176.2414,1788100329.8488784
docker,logistic_regression,24,5000,5660.797839792518,170497.3666,353.2154,180.2256,170317.141,170144.15120000002,172.9898,1788100332.9337385
docker,logistic_regression,25,5000,5501.402632412435,175557.746,358.354,182.4272,175375.3188,175199.39200000002,175.9268,1788100336.0413198
docker,logistic_regression,26,5000,5500.961269754751,175689.1076,362.7934,187.4394,175501.6682,175326.3142,175.354,1788100339.1781082
docker,logistic_regression,27,5000,5569.885346957432,173438.6782,358.2464,182.6806,173255.9976,173080.4318,175.5658,1788100342.2637062
