backend,model,repetition,requests,throughput_rps,e2e_mean_ns,inference_mean_ns,execution_mean_ns,non_execution_e2e_ns,outside_inference_ns,server_non_execution_ns,timestamp_unix
docker,mlp,1,5000,5067.108936016796,191041.9938,3995.9812,3816.707,187225.2868,187046.0126,179.2742000000003,1788101128.063621
docker,mlp,2,5000,5063.993674243443,191243.4484,4027.4092,3848.4652,187394.9832,187216.0392,178.94399999999996,1788101131.3083782
docker,mlp,3,5000,5022.504417443794,192814.4348,4040.518,3861.1112,188953.32359999997,188773.91679999998,179.4068000000002,1788101134.5842972
docker,mlp,4,5000,5148.959200403586,188092.291,4040.097,3861.033,184231.258,184052.194,179.0640000000003,1788101137.7705953
docker,mlp,5,5000,5129.559578169211,188758.8688,4057.9452,3878.8574,184880.0114,184700.9236,179.08780000000024,1788101141.0031252
docker,mlp,6,5000,5105.454293044237,189586.1638,4044.2784,3864.363,185721.8008,185541.8854,179.91540000000032,1788101144.2603133
docker,mlp,7,5000,5098.537386791908,189965.4808,4035.4206,3853.9718,186111.509,185930.06019999998,181.44880000000012,1788101147.5662878
docker,mlp,8,5000,5150.717519793665,188001.9856,4030.3514,3848.8656,184153.12000000002,183971.6342,181.48579999999993,1788101150.8183024
docker,mlp,9,5000,5057.298514564951,191581.4144,4036.8336,3855.6382,187725.77620000002,187544.5808,181.19540000000006,1788101154.1230676
docker,mlp,10,5000,5054.252650436145,191606.9772,4004.378,3828.12,187778.8572,187602.5992,176.25800000000027,1788101157.3848271
docker,mlp,11,5000,5102.914704040232,189819.487,4031.3218,3852.6146,185966.8724,185788.1652,178.70720000000028,1788101160.5927892
docker,mlp,12,5000,5131.949334301381,188680.3164,4040.6312,3858.885,184821.4314,184639.6852,181.7461999999996,1788101163.84766
docker,mlp,13,5000,5090.208926235587,190173.2308,4042.782,3861.017,186312.2138,186130.44879999998,181.76500000000033,1788101167.1007729
docker,mlp,14,5000,5169.900475713766,187301.3974,4030.942,3851.7434,183449.65399999998,183270.45539999998,179.19860000000017,1788101170.33812
docker,mlp,15,5000,5100.408913073271,189888.3382,4033.121,3853.979,186034.3592,185855.21719999998,179.14200000000028,1788101173.6032217
docker,mlp,16,5000,5057.626290886335,191384.4424,4038.8138,3853.9978,187530.4446,187345.6286,184.8159999999998,1788101176.894043
docker,mlp,17,5000,5196.591558608754,186229.0166,3984.1748,3807.9378,182421.0788,182244.8418,176.23699999999963,1788101180.170978
docker,mlp,18,5000,5107.042295529338,189518.3756,4009.1568,3828.663,185689.7126,185509.2188,180.4938000000002,1788101183.4233255
docker,mlp,19,5000,5081.246924727862,190510.5602,4038.2278,3858.986,186651.5742,186472.3324,179.24180000000024,1788101186.7251382
docker,mlp,20,5000,5070.877063261136,190922.6946,4044.6886,3863.9796,187058.715,186878.006,180.70899999999983,1788101190.0089612
