backend,model,repetition,requests,throughput_rps,e2e_mean_ns,inference_mean_ns,execution_mean_ns,non_execution_e2e_ns,outside_inference_ns,server_non_execution_ns,timestamp_unix
docker,naive_bayes,1,5000,5188.889202466368,186593.3738,1276.7466,1096.0284,185497.3454,185316.6272,180.71820000000002,1788100544.62691
docker,naive_bayes,2,5000,5166.592705677325,187453.1466,1281.6436,1099.0116,186354.135,186171.503,182.63200000000006,1788100547.8028278
docker,naive_bayes,3,5000,5191.533879434477,186452.9658,1279.3188,1098.194,185354.77180000002,185173.647,181.12480000000005,1788100551.0657508
docker,naive_bayes,4,5000,5162.182199371312,187593.9252,1276.5904,1096.9718,186496.9534,186317.3348,179.61860000000001,1788100554.3284495
docker,naive_bayes,5,5000,5176.26874336785,187061.2284,1278.1388,1097.7816,185963.4468,185783.0896,180.35719999999992,1788100557.5928214
docker,naive_bayes,6,5000,5227.250447144355,185159.403,1273.0904,1090.2774,184069.1256,183886.3126,182.8130000000001,1788100560.812138
docker,naive_bayes,7,5000,5168.063021587032,187374.1192,1268.3892,1088.238,186285.88119999997,186105.72999999998,180.15120000000002,1788100564.0428944
docker,naive_bayes,8,5000,5161.119805589992,187618.7536,1260.2168,1082.2288,186536.52479999998,186358.5368,177.98799999999983,1788100567.226484
docker,naive_bayes,9,5000,5171.8304040325265,187191.79,1276.8526,1096.9614,186094.8286,185914.9374,179.89120000000003,1788100570.4539263
docker,naive_bayes,10,5000,5158.461436045043,187671.1492,1279.418,1098.217,186572.9322,186391.7312,181.2009999999998,1788100573.7509787
docker,naive_bayes,11,5000,5229.939767901957,185034.026,1279.1226,1092.8884,183941.13760000002,183754.9034,186.23419999999987,1788100577.004423
docker,naive_bayes,12,5000,5233.680572084154,184904.1698,1271.7198,1092.0816,183812.0882,183632.45,179.6382000000001,1788100580.266809
docker,naive_bayes,13,5000,5131.618463489619,188732.0348,1275.1698,1095.1422,187636.8926,187456.865,180.0275999999999,1788100583.5594718
docker,naive_bayes,14,5000,5199.450548388954,186150.36,1287.516,1107.762,185042.598,184862.84399999998,179.75400000000013,1788100586.842374
docker,naive_bayes,15,5000,5143.490263170654,188181.8174,1277.6722,1094.1194,187087.698,186904.1452,183.55279999999993,1788100590.0296044
docker,naive_bayes,16,5000,5208.121119172951,185821.2384,1279.6668,1099.0784,184722.16,184541.5716,180.58839999999987,1788100593.2417107
docker,naive_bayes,17,5000,5160.8383741213665,187686.7,1274.892,1095.1534,186591.5466,186411.80800000002,179.73860000000013,1788100596.44299
docker,naive_bayes,18,5000,5187.624955074463,186474.955,1262.7646,1084.6828,185390.27219999998,185212.1904,178.08179999999993,1788100599.6029756
docker,naive_bayes,19,5000,5089.866598655134,190308.3664,1276.7474,1097.0882,189211.2782,189031.619,179.65920000000006,1788100602.8016958
docker,naive_bayes,20,5000,5171.940198477336,187196.2264,1266.4174,1086.6264,186109.6,185929.809,179.79099999999994,1788100605.9716454
