backend,model,repetition,requests,throughput_rps,e2e_mean_ns,inference_mean_ns,execution_mean_ns,non_execution_e2e_ns,outside_inference_ns,server_non_execution_ns,timestamp_unix
docker,random_forest,1,5000,5185.284856093202,186567.7898,1898.7686,1720.1174,184847.6724,184669.0212,178.65120000000002,1788100891.7281196
docker,random_forest,2,5000,5193.657265424864,186442.5842,1909.0712,1729.062,184713.5222,184533.513,180.0092000000002,1788100894.9366956
docker,random_forest,3,5000,5109.420922578799,189538.028,1915.021,1734.8606,187803.16739999998,187623.00699999998,180.16039999999998,1788100898.1833394
docker,random_forest,4,5000,5002.212462225898,193691.7098,1925.392,1746.3694,191945.34040000002,191766.31780000002,179.0226,1788100901.461931
docker,random_forest,5,5000,5141.916075123886,188235.7914,1894.8094,1716.646,186519.14539999998,186340.982,178.16340000000014,1788100904.7025623
docker,random_forest,6,5000,5134.689978632206,188399.6886,1901.5988,1721.9222,186677.7664,186498.0898,179.6766,1788100907.8603973
docker,random_forest,7,5000,5158.276988450261,187672.672,1899.1472,1716.5736,185956.0984,185773.52479999998,182.57360000000017,1788100911.123811
docker,random_forest,8,5000,5141.224771709017,188218.2346,1922.1662,1741.0308,186477.2038,186296.0684,181.1353999999999,1788100914.420752
docker,random_forest,9,5000,5144.269916976078,188209.3344,1912.364,1732.7812,186476.5532,186296.9704,179.58280000000013,1788100917.7244034
docker,random_forest,10,5000,5213.421748784086,185630.0344,1922.0132,1740.1826,183889.8518,183708.02120000002,181.8306,1788100920.981499
docker,random_forest,11,5000,5180.580581662705,186873.9202,1922.3428,1740.7056,185133.2146,184951.57739999998,181.6371999999999,1788100924.2251596
docker,random_forest,12,5000,5158.157276803036,187640.5152,1907.956,1727.0514,185913.4638,185732.5592,180.90459999999985,1788100927.4825509
docker,random_forest,13,5000,5123.382804846277,188874.5692,1910.6522,1726.2616,187148.3076,186963.917,184.39059999999995,1788100930.7413127
docker,random_forest,14,5000,5128.2262622731105,188835.7574,1903.7102,1720.7642,187114.9932,186932.0472,182.9459999999999,1788100933.9816957
docker,random_forest,15,5000,5140.863947784301,188329.848,1920.5666,1739.9812,186589.8668,186409.2814,180.58540000000016,1788100937.227935
docker,random_forest,16,5000,5146.20026543831,188187.0386,1920.8984,1742.1018,186444.9368,186266.1402,178.79660000000013,1788100940.451907
docker,random_forest,17,5000,4989.272772760372,194132.7676,1914.9236,1735.2232,192397.54439999998,192217.84399999998,179.70040000000017,1788100943.7566948
docker,random_forest,18,5000,5168.638068911757,187258.0516,1914.3808,1733.07,185524.9816,185343.6708,181.31079999999997,1788100947.0484834
docker,random_forest,19,5000,5202.690544163114,186017.2374,1910.4144,1726.581,184290.6564,184106.823,183.83339999999998,1788100950.2683148
docker,random_forest,20,5000,5170.194701659303,187274.467,1927.1566,1746.4042,185528.0628,185347.31040000002,180.75240000000008,1788100953.4827313
