backend,model,repetition,requests,throughput_rps,e2e_mean_ns,inference_mean_ns,execution_mean_ns,non_execution_e2e_ns,outside_inference_ns,server_non_execution_ns,timestamp_unix
docker,svm,1,5000,4375.671004579439,222293.1442,11365.4986,11147.1446,211145.9996,210927.64560000002,218.35400000000118,1788101009.6827173
docker,svm,2,5000,4912.639696594453,197402.4702,11314.8624,11124.961,186277.5092,186087.6078,189.90140000000065,1788101012.9946573
docker,svm,3,5000,4555.495081171876,213259.7234,11246.9152,11059.1244,202200.599,202012.8082,187.79079999999885,1788101016.3646538
docker,svm,4,5000,4370.442251628339,222457.1556,11302.4638,11123.6746,211333.481,211154.6918,178.78919999999925,1788101019.7946017
docker,svm,5,5000,4618.127755359704,210293.5342,11268.99,11088.3872,199205.147,199024.5442,180.60280000000057,1788101023.1890914
docker,svm,6,5000,4850.180014689632,199917.8352,11291.3942,11113.3902,188804.445,188626.441,178.00400000000081,1788101026.5573761
docker,svm,7,5000,4812.6733610979545,201572.1664,11299.8894,11114.128,190458.0384,190272.277,185.7613999999994,1788101029.8761332
docker,svm,8,5000,4900.161273008386,197833.0162,11280.316,11100.9142,186732.102,186552.70020000002,179.40180000000146,1788101033.1763237
docker,svm,9,5000,4906.379720112884,197510.5166,11188.596,11009.8436,186500.673,186321.9206,178.7523999999994,1788101036.464644
docker,svm,10,5000,4867.306489172023,199293.586,11305.2,11126.6808,188166.9052,187988.386,178.51920000000064,1788101039.7505066
docker,svm,11,5000,4862.407979032107,199476.728,11290.7202,11112.3888,188364.3392,188186.0078,178.33139999999912,1788101043.0292203
docker,svm,12,5000,4864.904889424677,199365.5486,11313.3086,11134.3012,188231.24740000002,188052.24000000002,179.00740000000042,1788101046.3323278
docker,svm,13,5000,4883.501978234278,198464.0346,11324.4322,11146.1358,187317.89880000002,187139.6024,178.29639999999927,1788101049.6452446
docker,svm,14,5000,4878.1530159387385,198810.5276,11300.1902,11105.5884,187704.9392,187510.3374,194.60179999999855,1788101052.8926551
docker,svm,15,5000,4866.640692438897,199281.7654,11286.134,11101.8664,188179.899,187995.6314,184.26759999999922,1788101056.179955
docker,svm,16,5000,4857.56850378598,199603.437,11305.8166,11125.9366,188477.50040000002,188297.6204,179.8799999999992,1788101059.466547
docker,svm,17,5000,4900.178950649732,197823.702,11307.7056,11128.9356,186694.7664,186515.9964,178.76999999999862,1788101062.730569
docker,svm,18,5000,4866.28641105583,199254.6812,11301.4428,11123.1924,188131.4888,187953.2384,178.2504000000008,1788101066.0367112
docker,svm,19,5000,4876.674361097781,198839.5822,11231.7046,11045.3274,187794.2548,187607.8776,186.377199999999,1788101069.3634915
docker,svm,20,5000,4830.363308248714,200670.7666,11299.7936,11119.2392,189551.5274,189370.973,180.5544000000009,1788101072.725459
